"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"한국아델리움아파트",공공용,"광주광역시 북구 양산제로 30(연제동, 한국레이크빌)",광주광역시 북구 연제동 33-7,35.20007491,126.8718328,11636,14104,Y,지하주차장,062-410-8873,광주광역시 북구 양산동행정복지센터,2020-12-20
"연제1차대주피오레아파트",공공용,"광주광역시 북구 양일로 70(연제동, 대주피오레1차)",광주광역시 북구 연제동 1007,35.1967827,126.8713856,9917,12021,Y,지하주차장,062-410-8873,광주광역시 북구 양산동행정복지센터,2020-12-20
"지에스그린자이1차아파트",공공용,"광주광역시 북구 양산로71번길 10(양산동, 지에스그린자이1차)",광주광역시 북구 양산동 776,35.21134661,126.8837335,10463,12682,Y,지하주차장,062-410-8873,광주광역시 북구 양산동행정복지센터,2020-12-20
"주식회사케이티앤지(한국담배인삼공사)",공공용,광주광역시 북구 하서로 300(양산동),광주광역시 북구 양산동 330,35.2028673193,126.8743427525,2380,2885,Y,지하실,062-410-8873,광주광역시 북구 양산동행정복지센터,2020-12-20
"호반리젠시빌아파트",공공용,"광주광역시 북구 양산로 71번길33(양산동, 호반리젠시빌)",광주광역시 북구 양산동 18-3,35.21215256,126.8820102,8727,10578,Y,지하주차장,062-410-8873,광주광역시 북구 양산동행정복지센터,2020-12-20
"두암천주교회",공공용,광주광역시 북구 서방로159번길 11(두암동),광주광역시 북구 두암동 873-12,35.17031274,126.9297728,374,453,Y,"지하회의, 교육장",062-410-8763,광주광역시 북구 두암1동주민센터,2020-12-20
"동강빌딩",공공용,광주광역시 북구 동문대로 152(두암동),광주광역시 북구 두암동 821-2,35.17602631,126.9280694,1578,1913,Y,지하주차장,062-410-8779,광주광역시 북구 두암2동행정복지센터,2020-12-20
"무등파크2차",공공용,"광주광역시 북구 월동로 50(두암동, 두암2차 무등파크맨션)",광주광역시 북구 두암동 54,35.17586155,126.9363899,2182,2645,Y,지하주차장,062-410-8779,광주광역시 북구 두암2동행정복지센터,2020-12-20
"광주병원",공공용,광주광역시 북구 면앙로139번길 51(두암동),광주광역시 북구 두암동 565-1,35.17887829,126.9281538,1950,2364,Y,지하주차장,062-410-8779,광주광역시 북구 두암2동행정복지센터,2020-12-20
"현대아파트",공공용,"광주광역시 북구 삼정로108(두암동, 현대)",광주광역시 북구 두암동 72-4,35.17302072,126.9368619,6413,7773,Y,지하주차장,062-410-8779,광주광역시 북구 두암2동행정복지센터,2020-12-20
"라인동산아파트",공공용,"광주광역시 북구 삼정로 112(두암동, 라인동산)",광주광역시 북구 두암동 73,35.17241482,126.9365023,3242,3930,Y,지하주차장,062-410-8779,광주광역시 북구 두암2동행정복지센터,2020-12-20
"북구노인종합복지회관",공공용,광주광역시 북구 군왕로130번길 30(두암동),광주광역시 북구 두암동 456-9,35.17236111,126.9343389,139,168,Y,지하체력단련실,062-410-8779,광주광역시 북구 두암2동행정복지센터,2020-12-20
"두암중앙교회",공공용,광주광역시 북구 삼정로87번길 70(두암동),광주광역시 북구 두암동 408-16,35.17115153,126.9339127,473,573,Y,지하식당,062-410-8869,광주광역시 북구 두암3동행정복지센터,2020-12-20
"부영맨션",공공용,"광주광역시 북구 삼정로 71(두암동, 부영)",광주광역시 북구 두암동 947-1,35.16720435,126.9353429,3534,4284,Y,지하실,062-410-8869,광주광역시 북구 두암3동행정복지센터,2020-12-20
"기산로얄타운",공공용,광주광역시 북구 군왕로 46(두암동),광주광역시 북구 두암동 310-1,35.16526653,126.9322139,2509,3041,Y,지하주차장(상가),062-410-8869,광주광역시 북구 두암3동행정복지센터,2020-12-20
