"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
KDB생명빌딩 지하주차장 1층,공공용,광주광역시 서구 천변좌로 268,,35.152328,126.904607,5640,6836,Y,,,광주광역시 서구,2020-11-24
"양동시장역",공공용,광주광역시 서구 천변좌로 254번길 7-5,,35.1528060712,126.903327,7689,9320,Y,,,광주광역시 서구,2020-11-24
"초원파크맨션 지하주차장",공공용,광주광역시 서구 천변좌로108번길 8,,35.15987497,126.8907741,1168,1415,Y,,,광주광역시 서구,2020-11-24
"휴먼시아 지하3주차장",공공용,광주광역시 서구 발산로 36,,35.15831031,126.8949601,14415,17472,Y,,,광주광역시 서구,2020-11-24
NS타워(구 상록회관) 지하주차장,공공용,광주광역시 서구 상무대로 1147,,35.1545004246,126.8874174703,13606,16492,Y,,,광주광역시 서구,2020-11-24
"서구청 지하2층",공공용,광주광역시 서구 경열로 33,,35.1520290256,126.8901121885,4911,5952,Y,,,광주광역시 서구,2020-11-24
"돌고개역",공공용,광주광역시 서구 경열로 87,,35.151761,126.895034,5644,6841,Y,,,광주광역시 서구,2020-11-24
"한국교직원공제회 광주회관 지하주차장 1층",공공용,광주광역시 서구 죽봉대로 52,,35.1583248219,126.883674,3475,4212,Y,,,광주광역시 서구,2020-11-24
"농성역",공공용,광주광역시 서구 상무대로 1123,,35.1516812,126.8566617,10566,12807,Y,,,광주광역시 서구,2020-11-24
e편한세상 지하주차장,공공용,광주광역시 서구 화운로 278,,35.1621650527,126.8775762441,2520,3054,Y,,,광주광역시 서구,2020-11-24
"신세계백화점 지하주차장",공공용,광주광역시 서구 무진대로 932,,35.15967627,126.882676,14942,18111,Y,,,광주광역시 서구,2020-11-24
"광천종합터미널 지하주차장",공공용,광주광역시 서구 무진대로 904,,35.160512,126.879872,3630,4400,Y,,,광주광역시 서구,2020-11-24
"상무주공1단지 지하주차장",공공용,광주광역시 서구 상무버들로40번길 14,,35.1650654,126.8612319,7422,8996,Y,,,광주광역시 서구,2020-11-24
"상무주공2단지 지하주차장",공공용,광주광역시 서구 상무버들로 15,,35.1641226822,126.8606921310,2679,3247,Y,,,광주광역시 서구,2020-11-24
"호반리젠시빌 지하주차장",공공용,광주광역시 서구 상무버들로 41,,35.16432352,126.8588359,3036,3680,Y,,,광주광역시 서구,2020-11-24
"동남아파트 지하주차장",공공용,광주광역시 서구 칠성로 35번길 6-10,,35.16712821,126.8616674,1462,1772,Y,,,광주광역시 서구,2020-11-24
"평화광장 지하주차장",공공용,광주광역시 서구 내방로 102,,35.1565472369,126.8516021704,19493,23627,Y,,,광주광역시 서구,2020-11-24
"상무역",공공용,광주광역시 서구 상무대로 777,,35.1540465,126.8800708,9815,11896,Y,,,광주광역시 서구,2020-11-24
"중흥파크맨션 115동지하주차장",공공용,광주광역시 서구 치평로 77,,35.15369202,126.8448547,3448,4179,Y,,,광주광역시 서구,2020-11-24
"호반아파트 101동 지하주차장",공공용,광주광역시 서구 상무공원로 126,,35.15558273,126.8431873,2233,2706,Y,,,광주광역시 서구,2020-11-24
"금호대우아파트 103동 지하주차장",공공용,광주광역시 서구 치평로 107,,35.15678887,126.844682,3473,4209,Y,,,광주광역시 서구,2020-11-24
"라인대주아파트 201동 지하주차장",공공용,광주광역시 서구 치평로 15,,35.14876553,126.8465366,3133,3797,Y,,,광주광역시 서구,2020-11-24
"호반아파트 101동 지하주차장",공공용,광주광역시 서구 상무공원로 126,,35.15558273,126.8431873,2233,2706,Y,,,광주광역시 서구,2020-11-24
"금호대우아파트 103동 지하주차장",공공용,광주광역시 서구 치평로 107,,35.15678887,126.844682,3473,4209,Y,,,광주광역시 서구,2020-11-24
"금호3차아파트 301동 지하주차장",공공용,광주광역시 서구 치평로 23,,35.14949417,126.8468074,3493,4233,Y,,,광주광역시 서구,2020-11-24
"우미아파트 101동 지하주차장",공공용,광주광역시 서구 상무공원로 35,,35.14779378,126.8422629,647,784,Y,,,광주광역시 서구,2020-11-24
"해광한신아파트 101동 지하주차장",공공용,광주광역시 서구 상무공원로 112,,35.15423796,126.8432294,3493,4233,Y,,,광주광역시 서구,2020-11-24
"상무대주아파트 101동 지하주차장",공공용,광주광역시 서구 상무공원로 92,,35.15235587,126.8431891,2360,2860,Y,,,광주광역시 서구,2020-11-24
"금호4차아파트 401동 지하주차장",공공용,광주광역시 서구 상무공원로 61,,35.14829133,126.8422575,2666,3231,Y,,,광주광역시 서구,2020-11-24
"라인동산아파트 107동 지하주차장",공공용,광주광역시 서구 상무평화로 62,,35.14779088,126.845627,591,716,Y,,,광주광역시 서구,2020-11-24
"중흥파크맨션 101동 지하주차장",공공용,광주광역시 서구 상무자유로 105,,35.15290382,126.8459449,1980,2400,Y,,,광주광역시 서구,2020-11-24
"해광한신아파트 101동 지하주차장",공공용,광주광역시 서구 상무공원로 112,,35.15423796,126.8432294,3493,4233,Y,,,광주광역시 서구,2020-11-24
"라인대주아파트 201동 지하주차장",공공용,광주광역시 서구 치평로 15,,35.14876553,126.8465366,3133,3797,Y,,,광주광역시 서구,2020-11-24
"상무대주아파트 101동 지하주차장",공공용,광주광역시 서구 상무공원로 92,,35.15235587,126.8431891,2360,2860,Y,,,광주광역시 서구,2020-11-24
"한국아파트 101동 지하주차장",공공용,광주광역시 서구 상무시민로 65,,35.15550688,126.8458917,2665,3230,Y,,,광주광역시 서구,2020-11-24
"금호쌍용아파트 208동 지하주차장",공공용,광주광역시 서구 치평로 35,,35.15126195,126.8448506,956,1158,Y,,,광주광역시 서구,2020-11-24
"현대아파트 103동 지하주차장",공공용,광주광역시 서구 내방로 52,,35.15795013,126.8449257,5000,6060,Y,,,광주광역시 서구,2020-11-24
"운천역",공공용,광주광역시 서구 상무대로 883,,35.15051092,126.8586886,2715,3290,Y,,,광주광역시 서구,2020-11-24
"쌍촌역",공공용,광주광역시 서구 상무대로 983,,35.15157956,126.8696086,3248,3936,Y,,,광주광역시 서구,2020-11-24
"현대아파트 지하주차장",공공용,광주광역시 서구 내방로240번길 10,,35.156646,126.8669401,11145,13509,Y,,,광주광역시 서구,2020-11-24
"호반리젠시빌 301동 지하주차장",공공용,광주광역시 서구 상일로 53,,35.16128836,126.8625071,4870,5903,Y,,,광주광역시 서구,2020-11-24
"우미아트빌 지하주차장",공공용,광주광역시 서구 상무민주로 120,,35.1614805,126.8602721,5881,7128,Y,,,광주광역시 서구,2020-11-24
"현대힐스테이트 지하주차장",공공용,광주광역시 서구 상무대로911번길 42,,35.15516222,126.8620652,1274,1544,Y,,,광주광역시 서구,2020-11-24
"상무2동사무소 지하",공공용,광주광역시 서구 화정로 85번길 17,,35.1465687,126.866423,165,200,Y,,,광주광역시 서구,2020-11-24
"일신아파트 지하주차장",공공용,광주광역시 서구 월드컵4강로 137,,35.14785619,126.8672617,5200,6303,Y,,,광주광역시 서구,2020-11-24
"성우운천아파트 지하주차장",공공용,광주광역시 서구 마륵복개로 164,,35.1462014600,126.8543774780,3078,3730,Y,,,광주광역시 서구,2020-11-24
"상무푸르지오 지하주차장",공공용,광주광역시 서구 금호운천길 83,,35.14249484,126.8546379,7600,9212,Y,,,광주광역시 서구,2020-11-24
"지하철운천역",공공용,광주광역시 서구 상무대로 883,,35.15051092,126.8586886,2715,3290,Y,,,광주광역시 서구,2020-11-24
"백일대주아파트",공공용,광주광역시 서구 화정로 106-15,,35.14394372,126.8700641,1348,1633,Y,,,광주광역시 서구,2020-11-24
"금호하이빌 지하주차장",공공용,광주광역시 서구 내방로 343번길 19,,35.1589063941,126.8779574789,1155,1400,Y,,,광주광역시 서구,2020-11-24
"화정역",공공용,광주광역시 서구 상무대로 1041,,35.1522004173,126.8757877035,2864,3471,Y,,,광주광역시 서구,2020-11-24
"남화아파트 지하주차장",공공용,광주광역시 서구 화정로 243번길 11,,35.1478090659,126.8834872095,987,1196,Y,,,광주광역시 서구,2020-11-24
"광덕중고 지하",공공용,광주광역시 서구 화정로 202,,35.1446868977,126.8784966662,228,276,Y,,,광주광역시 서구,2020-11-24
"대주아파트 지하주차장",공공용,광주광역시 서구 화운로 37,,35.14324301,126.882992,1109,1344,Y,,,광주광역시 서구,2020-11-24
"신동아아파트 지하",공공용,광주광역시 서구 월드컵4강로 28번길 60,,35.1405077728,126.882682,3218,3900,Y,,,광주광역시 서구,2020-11-24
"금호아파트 지하주차장",공공용,광주광역시 서구 화정로 180번길 6,,35.14496555,126.8749085,6643,8052,Y,,,광주광역시 서구,2020-11-24
"꽃담마을e-편한세상 주차장",공공용,광주광역시 서구 금화로 293,,35.1398026484,126.8799021051,15845,19206,Y,,,광주광역시 서구,2020-11-24
"대주피오레아파트 지하주차장",공공용,광주광역시 서구 화정로 126,,35.1448068202,126.8704446597,6289,7623,Y,,,광주광역시 서구,2020-11-24
"모아타워 지하주차장",공공용,광주광역시 서구 염화로 57번길 4,,35.14000165,126.8722123,3384,4101,Y,,,광주광역시 서구,2020-11-24
"모아맨션 지하주차장",공공용,광주광역시 서구 화정로 135,,35.14549191,126.8714268,3125,3787,Y,,,광주광역시 서구,2020-11-24
"호반아파트 지하주차장",공공용,광주광역시 서구 학생독립로9번길 8,,35.14355871,126.8674443,1838,2227,Y,,,광주광역시 서구,2020-11-24
"중흥아파트 지하주차장",공공용,광주광역시 서구 염화로 57번길 16,,35.140496,126.8710178,1781,2158,Y,,,광주광역시 서구,2020-11-24
"라인동산 지하주차장",공공용,광주광역시 서구 염화로 45번길 17,,35.13871165,126.8695326,1765,2139,Y,,,광주광역시 서구,2020-11-24
"금호타운 1차 지하주차장",공공용,광주광역시 서구 염화로 57번길 3,,35.13890882,126.8718585,1168,1415,Y,,,광주광역시 서구,2020-11-24
"우미아파트 지하주차장",공공용,광주광역시 서구 염화로 31번길 23,,35.13602325,126.8707131,1119,1356,Y,,,광주광역시 서구,2020-11-24
"금호타운 2차 지하주차장",공공용,광주광역시 서구 염화로 57번길 19,,35.13943357,126.8703127,779,944,Y,,,광주광역시 서구,2020-11-24
"화정4동사무소 지하",공공용,광주광역시 서구 염화로 83번길 3,,35.141825,126.873787,254,307,Y,,,광주광역시 서구,2020-11-24
"서창동주민센터 지하",공공용,광주광역시 서구 눌재로412,,35.1144997489,126.830289,132,160,Y,,,광주광역시 서구,2020-11-24
"김대중컨벤센타역",공공용,광주광역시 서구 상무대로 705,,35.14315603,126.8413808,7516,9110,Y,,,광주광역시 서구,2020-11-24
"코아루아파트 지하주차장",공공용,광주광역시 서구 금호운천길 41,,35.13860696,126.8566506,661,801,Y,,,광주광역시 서구,2020-11-24
"해태아파트 지하주차장",공공용,광주광역시 서구 월드컵4강로226번길 8,,35.15626715,126.8700972,2792,3384,Y,,,광주광역시 서구,2020-11-24
"내방주공 101동 지하주차장",공공용,광주광역시 서구 화운로 193번길 25,,35.1549167310,126.8731541755,5586,6770,Y,,,광주광역시 서구,2020-11-24
"금호월드 지하주차장",공공용,광주광역시 서구 군분2로 54,,35.1577521829,126.881574,3003,3640,Y,,,광주광역시 서구,2020-11-24
"시교육청 지하",공공용,광주광역시 서구 화운로 93,,35.1474767031,126.8796738751,769,932,Y,,,광주광역시 서구,2020-11-24
"서석중고 지하",공공용,광주광역시 서구 화정로 253번길 27,,35.1492506672,126.8813149912,1033,1252,Y,,,광주광역시 서구,2020-11-24
"라인아파트 지하주차장",공공용,광주광역시 서구 금부로 100,,35.13956642,126.8600945,9662,11711,Y,,,광주광역시 서구,2020-11-24
"호반리젠시빌3차 지하주차장",공공용,광주광역시 서구 금화로 149번길 27,,35.13442417,126.8624733,6148,7452,Y,,,광주광역시 서구,2020-11-24
"모아아파트 지하주차장",공공용,광주광역시 서구 금화로 149번길 27,,35.13442417,126.8624733,5729,6944,Y,,,광주광역시 서구,2020-11-24
"한국아파트2차 지하주차장",공공용,광주광역시 서구 금화로 115번길 9,,35.1339681859,126.8599656910,2789,3380,Y,,,광주광역시 서구,2020-11-24
"일신아파트 지하주차장",공공용,광주광역시 서구 운천로 69,,35.1388358847,126.8577830801,2006,2431,Y,,,광주광역시 서구,2020-11-24
"금호부영아파트 지하주차장",공공용,광주광역시 서구 화개1로 24번길 10,,35.1259052,126.8568572,3656,4431,Y,,,광주광역시 서구,2020-11-24
"금호주은아파트 지하주차장",공공용,광주광역시 서구 마재로 57,,35.13097549,126.8640064,4375,5303,Y,,,광주광역시 서구,2020-11-24
"호반리젠시빌 2차 지하주차장",공공용,광주광역시 서구 화개1로 33,,35.12588453,126.854657,5517,6687,Y,,,광주광역시 서구,2020-11-24
"중흥1단지 지하주차장",공공용,광주광역시 서구 마재로 21,,35.13223085,126.8614149,7568,9173,Y,,,광주광역시 서구,2020-11-24
"종원팰리스빌아파트 지하주차장",공공용,광주광역시 서구 화개1로 59-2,,35.13132757,126.8536483,8049,9756,Y,,,광주광역시 서구,2020-11-24
"남양파크 지하주차장",공공용,광주광역시 서구 화개1로 78번길 13,,35.13178631,126.8573824,10751,13031,Y,,,광주광역시 서구,2020-11-24
"금호2차 지하주차장",공공용,광주광역시 서구 풍암2로 66,,35.12137813,126.8815269,5260,6375,Y,,,광주광역시 서구,2020-11-24
"풍암2차대주 지하주차장",공공용,광주광역시 서구 풍암순환로 5,,35.12597075,126.8771669,5379,6520,Y,,,광주광역시 서구,2020-11-24
"금호1차아파트 제2지하주차장",공공용,광주광역시 서구 풍암중앙로 68,,35.12572697,126.8821988416,7600,9212,Y,,,광주광역시 서구,2020-11-24
"현대삼환아파트 지하주차장",공공용,광주광역시 서구 풍암1로 57,,35.1220996893,126.8789938,9560,11587,Y,,,광주광역시 서구,2020-11-24
"풍암현대 101동 지하주차장",공공용,광주광역시 서구 풍암순환로 70,,35.12068619,126.8782017,4112,4984,Y,,,광주광역시 서구,2020-11-24
"삼능남양 지하주차장",공공용,광주광역시 서구 풍암순환로 86,,35.12077077,126.8798559,8352,10123,Y,,,광주광역시 서구,2020-11-24
"동부센트레빌 지하주차장",공공용,광주광역시 서구 풍암신흥로 40,,35.12010493,126.867162,18916,22928,Y,,,광주광역시 서구,2020-11-24
"새한센시빌 지하주차장",공공용,광주광역시 서구 풍암순환로 54,,35.12070307,126.8770695,1758,2130,Y,,,광주광역시 서구,2020-11-24
"풍암우미 지하주차장",공공용,광주광역시 서구 풍암순환로 183,,35.12626954,126.880313,2423,2936,Y,,,광주광역시 서구,2020-11-24
"부영2차 지하주차장",공공용,광주광역시 서구 풍암1로 42,,35.12301585,126.8787336,2557,3099,Y,,,광주광역시 서구,2020-11-24
"동천마을2단지 지하주차장",공공용,광주광역시 서구 동천로 11,,35.17006546,126.8575483,8299,10059,Y,,,광주광역시 서구,2020-11-24
"호반베르디움 지하주차장",공공용,광주광역시 서구 하남대로680번길 10,,35.17073038,126.8651784,2294,2780,Y,,,광주광역시 서구,2020-11-24
"동천동6단지 지하주차장",공공용,광주광역시 서구 하남대로710번길 5,,35.17108626,126.8708245,4160,5042,Y,,,광주광역시 서구,2020-11-24
"동천마을1단지 지하주차장",공공용,광주광역시 서구 동천로 25,,35.17155862,126.8579804,2708,3282,Y,,,광주광역시 서구,2020-11-24
"우미린아파트 지하주차장",공공용,광주광역시 서구 하남대로710번길 20,,35.16954279,126.867165,2297,2784,Y,,,광주광역시 서구,2020-11-24
"광주광역시청 지하1층",공공용,광주광역시 서구 내방로 111,,35.160041,126.8514631,15165,18382,Y,,,광주광역시 서구,2020-11-24
