"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
KT&G,공공용,대구광역시 남구 대명로 124,,35.8386299329,128.5711944950,3083,3737,Y,,,대구광역시 남구청,2020-09-04
KT달서지사 남대구지점,공공용,대구광역시 남구 안지랑로 82,대구광역시 남구 대명동 913-1,35.8388907083,128.5718021341,813,985,Y,주차장,,대구광역시 남구청,2020-09-04
"강변아파트 104동",공공용,대구광역시 남구 명덕로68길 19(이천동214-456),대구광역시 남구 이천동 214,35.85422725,128.6065787,305,370,Y,,,대구광역시 남구청,2020-09-04
"강변아파트 107동",공공용,대구광역시 남구 명덕로68길 19(이천동214-456),대구광역시 남구 이천동 214,35.85422725,128.6065787,486,589,Y,,,대구광역시 남구청,2020-09-04
"코오롱하늘채아파트",공공용,대구광역시 남구 봉덕로 134,대구광역시 남구 봉덕동 862,35.8441870943,128.6048161533,1925,2333,Y,주차장,053-664-3742,대구광역시 남구청,2020-09-04
"경북예술고등학교",공공용,대구광역시 남구 중앙대로47길 30(대명동),,35.8545218,128.5885264632,261,316,Y,,,대구광역시 남구청,2020-09-04
"교대역정거장",공공용,대구광역시 남구 중앙대로 194,,35.8500928,128.5905963,4175,5061,Y,,,대구광역시 남구청,2020-09-04
"교육정보원",공공용,대구광역시 남구 중앙대로31길 150(대명동),,35.8518348814,128.5865498489,267,324,Y,,,대구광역시 남구청,2020-09-04
"굿모닝병원",공공용,대구광역시 남구 성당로 224 (대명동),,35.853045,128.5740935,1325,1606,Y,병원,,대구광역시 남구청,2020-09-04
"그린빌라지하",공공용,대구광역시 남구 큰골7길 40,대구광역시 남구 대명동 473-2,35.8340334,128.5827863003,674,817,Y,주차장,,대구광역시 남구청,2020-09-04
"남구청",공공용,대구광역시 남구 이천로 51,대구광역시 남구 봉덕동 565-5,35.8459499547,128.5975988734,564,684,Y,민방위교육장,053-664-2274,대구광역시 남구청,2020-09-04
"남대구우체국",공공용,대구광역시 남구 중앙대로200(대명동),,35.8506953,128.5909973,6883,8343,Y,,,대구광역시 남구청,2020-09-04
"남부경찰서",공공용,대구광역시 남구 대명로 249,,35.8422306611,128.5836517190,529,641,Y,복지관,,대구광역시 남구청,2020-09-04
"대구고등학교",공공용,대구광역시 남구 중앙대로 171,,35.84910815,128.5887348,297,360,Y,매점,,대구광역시 남구청,2020-09-04
"대구광역시시설관리공단",공공용,대구광역시 남구 대명로 29,,35.8389539,128.5610874,749,908,Y,,,대구광역시 남구청,2020-09-04
"대구교육대학교학생생활관",공공용,대구광역시 남구 도촌길 37,,35.8405107,128.5709779,241,292,Y,,,대구광역시 남구청,2020-09-04
"대구남노회",공공용,대구광역시 남구 앞산순환로 329(대명동),,35.8295899560,128.5629652,350,424,Y,,,대구광역시 남구청,2020-09-04
"대구대학교 대강당",공공용,대구광역시 남구 성당로50길 33 (대명동),,35.8559450266,128.5750717601,228,276,Y,학교,,대구광역시 남구청,2020-09-04
"대구대학교(간호학과)",공공용,대구광역시 남구 명덕로12길 55 (대명동),,35.8552991927,128.5765301,1056,1280,Y,학교,,대구광역시 남구청,2020-09-04
"대구대학교 재활관(재활의원)",공공용,대구광역시 남구 성당로50길 33 (대명동),,35.8559450266,128.5750717601,116,141,Y,학교,,대구광역시 남구청,2020-09-04
"대구대학교(본관,중앙도서관)",공공용,대구광역시 남구 성당로50길 33 (대명동),,35.8559450266,128.5750717601,165,200,Y,학교,,대구광역시 남구청,2020-09-04
"대덕1차맨션(101)",공공용,"대구광역시 남구 앞산순환로 657 (봉덕동, 대덕1차맨션)",대구광역시 남구 봉덕동 1329-2,35.83312378,128.5967423,203,246,Y,,,대구광역시 남구청,2020-09-04
"대덕1차맨션(102)",공공용,"대구광역시 남구 앞산순환로 657 (봉덕동, 대덕1차맨션)",대구광역시 남구 봉덕동 1329-2,35.83312378,128.5967423,1155,1400,Y,,,대구광역시 남구청,2020-09-04
"대덕1차맨션(103)",공공용,"대구광역시 남구 앞산순환로 657 (봉덕동, 대덕1차맨션)",대구광역시 남구 봉덕동 1329-2,35.83312378,128.5967423,495,600,Y,,,대구광역시 남구청,2020-09-04
"대덕1차맨션(106)",공공용,"대구광역시 남구 앞산순환로 657 (봉덕동, 대덕1차맨션)",대구광역시 남구 봉덕동 1329-2,35.83312378,128.5967423,536,650,Y,,,대구광역시 남구청,2020-09-04
