"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"구남보건고등학교",공공용,대구광역시 달서구 두류남길 10,대구광역시 달서구 두류동 1207-1,35.85811393,128.5726243281,224,271,Y,교육장,053-667-4061,대구광역시 달서구청,2021-03-22
"국민건강보험공단",공공용,대구광역시 달서구 두류공원로 264,대구광역시 달서구 두류동 148-3,35.85707236,128.5583555,312,378,Y,체육관,053-667-4061,대구광역시 달서구청,2021-03-22
"반고개역",공공용,,대구광역시 달서구 두류동 866-39,35.86219701,128.5725534,2270,2751,Y,기타,053-667-4061,대구광역시 달서구청,2021-03-22
"두류도서관",공공용,대구광역시 달서구 공원순환로 8,,35.85261008,128.5604387,399,483,Y,교육장,053-667-4110,대구광역시 달서구청,2021-03-22
"두류역",공공용,,대구광역시 달서구 두류동 1290-1,35.8591055363,128.5618689324,3648,4421,Y,기타,053-667-4110,대구광역시 달서구청,2021-03-22
"대구공업대학",공공용,대구광역시 달서구 송현로 205(본동),대구광역시 달서구 본동 831,35.8340818364,128.5443282864,198,240,Y,"회의,교육",053-667-4784,대구광역시 달서구청,2021-03-22
"유림노르웨이 아침",공공용,대구광역시 달서구 구마로 97(본리동),대구광역시 달서구 본리동 352-4,35.83783033,128.5383622,1865,2260,Y,지하주차장,053-667-4140,대구광역시 달서구청,2021-03-22
"상인역",공공용,,대구광역시 달서구 상인동 204-4,35.8189495,128.5378971440,6299,7635,Y,기타,053-667-4630,대구광역시 달서구청,2021-03-22
"상서여자경영정보고등학교",공공용,대구광역시 달서구 야외음악당로 107,대구광역시 달서구 성당동 670-31,35.84643988,128.5498673,330,400,Y,지하주차장,053-667-4010,대구광역시 달서구청,2021-03-22
"원화여고",공공용,대구광역시 달서구 당산로30길 30,대구광역시 달서구 성당동 670-30,35.84830902,128.5491274,346,419,Y,교육장,053-667-4010,대구광역시 달서구청,2021-03-22
"종합복지회관",공공용,대구광역시 달서구 성당로 187,대구광역시 달서구 성당동 72-10,35.84972658,128.5698397,231,280,Y,교육장,053-667-4010,대구광역시 달서구청,2021-03-22
"송현역",공공용,대구광역시 달서구 월배로 409,대구광역시 달서구 송현동 950,35.8310745462,128.5514323147,7811,9467,Y,기타,053-667-4720,대구광역시 달서구청,2021-03-22
"월촌역",공공용,,대구광역시 달서구 송현동 898-10,35.82352293,128.5450716,5897,7147,Y,기타,053-667-4720,대구광역시 달서구청,2021-03-22
"청소년수련원",공공용,대구광역시 달서구 앞산순환로 180,대구광역시 달서구 송현동 701,35.82023996,128.5534045,1815,2200,Y,"회의,교육",053-667-4720,대구광역시 달서구청,2021-03-22
"송현여자고등학교",공공용,대구광역시 달서구 송현로 156,대구광역시 달서구 송현동 540,35.83112494,128.5462195,693,840,Y,교육장,053-667-4750,대구광역시 달서구청,2021-03-22
"강창역",공공용,,대구광역시 달서구 호산동 102-2,35.85307404,128.4783481,1930,2339,Y,기타,053-667-4380,대구광역시 달서구청,2021-03-22
"계명대역",공공용,대구광역시 달서구 달구벌대로 1035,대구광역시 달서구 신당동 1034-4,35.8538856445,128.4801315177,3610,4375,Y,기타,053-667-4380,대구광역시 달서구청,2021-03-22
"외국어고등학교",공공용,대구광역시 달서구 선원로11길 21,대구광역시 달서구 신당동 1675,35.86041167,128.4980568,2098,2543,Y,기타,053-667-4380,대구광역시 달서구청,2021-03-22
"한국통신대구망",공공용,대구광역시 달서구 선원로 7,대구광역시 달서구 신당동 1660-1,35.86040246,128.4937496,1320,1600,Y,기타,053-667-4380,대구광역시 달서구청,2021-03-22
"용산역",공공용,대구광역시 달서구 달구벌대로 1467,대구광역시 달서구 용산동 215-9,35.8494536056,128.5274058100,3385,4103,Y,기타,053-667-4260,대구광역시 달서구청,2021-03-22
"달서경찰서",공공용,대구광역시 달서구 학산로 55,대구광역시 달서구 월성동 282,35.83049702,128.5335421,808,979,Y,기타,053-667-4440,대구광역시 달서구청,2021-03-22
"달서구청",공공용,대구광역시 달서구 학산로 45,대구광역시 달서구 월성동 281,35.82991428,128.5328409,831,1007,Y,교육장,053-667-4440,대구광역시 달서구청,2021-03-22
"달서소방서",공공용,대구광역시 달서구 학산로 75,대구광역시 달서구 월성동 283-2,35.83105957,128.5347302,1287,1560,Y,기타,053-667-4440,대구광역시 달서구청,2021-03-22
"달서우체국",공공용,대구광역시 달서구 학산로 65,대구광역시 달서구 월성동 283-1,35.83068265,128.5343624,232,281,Y,기타,053-667-4440,대구광역시 달서구청,2021-03-22
"대건고",공공용,대구광역시 달서구 월곡로94길 46,대구광역시 달서구 월성동 247,35.83394615,128.5281084,2323,2815,Y,교육장,053-667-4440,대구광역시 달서구청,2021-03-22
"시설안전관리본부",공공용,대구광역시 달서구 성서공단로 58,대구광역시 달서구 대천동 891,35.83249416,128.4901117,1532,1856,Y,교육장,053-667-4440,대구광역시 달서구청,2021-03-22
"효성중",공공용,대구광역시 달서구 월곡로94길 48,대구광역시 달서구 월성동 247,35.8343042153,128.5284023789,2389,2895,Y,기타,053-667-4440,대구광역시 달서구청,2021-03-22
"이곡역",공공용,대구광역시 달서구 달구벌대로 1351,대구광역시 달서구 이곡동 707-2,35.8511354894,128.5152540516,1970,2387,Y,기타,053-667-4320,대구광역시 달서구청,2021-03-22
"한국법무보호복지공단대구경북지부",공공용,대구광역시 달서구 성서동로 325,대구광역시 달서구 이곡동 1298,35.84980091,128.5155992813,433,524,Y,"회의,교육",053-667-4320,대구광역시 달서구청,2021-03-22
"성서산업단지역",공공용,,대구광역시 달서구 이곡동 890-9,35.85164093,128.5068476,2085,2527,Y,기타,053-667-4350,대구광역시 달서구청,2021-03-22
"한국산업인력공단 대구지역본부",공공용,대구광역시 달서구 성서공단로 213,대구광역시 달서구 갈산동 971-5,35.83619529,128.506096,500,606,Y,교육장,053-667-4350,대구광역시 달서구청,2021-03-22
"대구환경공단 성서사업소",공공용,대구광역시 달서구 성서공단로 257,대구광역시 달서구 장동 306-71,35.83628632,128.512251,80,96,Y,탁구장,053-667-4230,대구광역시 달서구청,2021-03-22
"감삼역",공공용,,대구광역시 달서구 감삼동 305,35.8542352631,128.5479037568,1448,1755,Y,기타,053-667-4200,대구광역시 달서구청,2021-03-22
"죽전역",공공용,,대구광역시 달서구 죽전동 338,35.85053894,128.5383929,1980,2400,Y,기타,053-667-4200,대구광역시 달서구청,2021-03-22
"월배역",공공용,,대구광역시 달서구 진천동 51-5,35.81643237,128.5303492,4907,5947,Y,기타,053-667-4470,대구광역시 달서구청,2021-03-22
"진천역",공공용,대구광역시 달서구 월배로 71,대구광역시 달서구 진천동 595,35.8142316565,128.5221234991,5016,6080,Y,기타,053-667-4470,대구광역시 달서구청,2021-03-22
"영남네오빌파크",공공용,"대구광역시 달서구 한들로 36 (장기동, 영남네오빌파크)",대구광역시 달서구 장기동 809,35.84700443,128.5265125,7199,8726,Y,지하주차장,053-667-4230,대구광역시 달서구청,2021-03-22
"장기파랑새마을",공공용,대구광역시 달서구 한들로 70,대구광역시 달서구 장기동 814-1,35.84660805,128.5264656,6805,8248,Y,지하주차장,053-667-4230,대구광역시 달서구청,2021-03-22
"장기초록나라",공공용,대구광역시 달서구 한들로 55,대구광역시 달서구 장기동 813-1,35.84486164,128.5300629,5589,6774,Y,지하주차장,053-667-4230,대구광역시 달서구청,2021-03-22
"대곡역 동화타운",공공용,대구광역시 달서구 상화로 24,대구광역시 달서구 대곡동 66,35.80965092,128.5166826,3045,3690,Y,지하주차장,053-667-4470,대구광역시 달서구청,2021-03-22
"영남네오빌비스타",공공용,대구광역시 달서구 대명천로 250,대구광역시 달서구 장기동 551,35.84232622,128.5327027,1886,2286,Y,지하주차장,053-667-4230,대구광역시 달서구청,2021-03-22
"평화발레오",공공용,대구광역시 달서구 성서공단남로 55,대구광역시 달서구 월암동 1-45,35.83084474,128.4988455,1126,1364,Y,체육관,053-667-4230,대구광역시 달서구청,2021-03-22
"성서무지개타운",공공용,대구광역시 달서구 선원로 171,대구광역시 달서구 이곡동 1332,35.85928041,128.5119785,9923,12027,Y,지하주차장,053-667-4320,대구광역시 달서구청,2021-03-22
