"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"달성군청",공공용,대구광역시 달성군 논공읍 달성군청로 33,대구광역시 달성군 논공읍 1313번지,35.7746628749,128.431324,481,583,Y,"회의, 교육",053-668-2273,대구광역시 달성군청,2020-07-09
"화원역",공공용,대구광역시 달성군 화원읍 비슬로 2600,대구광역시 달성군 화원읍 896번지 1호,35.80443256,128.5006771,5101,6183,Y,지하철 역사,053-668-2273,대구광역시 달성군청,2020-07-09
"설화명곡역",공공용,대구광역시 달성군 화원읍 비슬로 2476,대구광역시 달성군 화원읍 562번지 1호,35.79867373,128.4892593,3962,4802,Y,지하철 역사,053-668-2273,대구광역시 달성군청,2020-07-09
"다사역",공공용,대구광역시 달성군 다사읍 다사역로 30,대구광역시 달성군 다사읍 매곡리 689번지 1호,35.86472735,128.4585437,764,926,Y,지하철 역사,053-668-2273,대구광역시 달성군청,2020-07-09
"대실역",공공용,대구광역시 달성군 다사읍 달구벌대로 888,대구광역시 달성군 다사읍 242번지 2호,35.85662214,128.4658119,2456,2977,Y,지하철 역사,053-668-2273,대구광역시 달성군청,2020-07-09
"한빛아파트",공공용,대구광역시 달성군 화원읍 비슬로491길 13,대구광역시 달성군 화원읍 536번지 2호,35.7983222,128.4863464198,908,2200,Y,지하주차장,053-668-2273,대구광역시 달성군청,2020-07-09
"천내보성아파트",공공용,대구광역시 달성군 화원읍 화원로 37,대구광역시 달성군 화원읍 117번지,35.8071956565,128.4982111618,604,1463,Y,지하주차장,053-668-2273,대구광역시 달성군청,2020-07-09
"청구청룡아파트",공공용,대구광역시 달성군 화원읍 비슬로 2715,대구광역시 달성군 화원읍 구라리 1736 3호,35.8106462751,128.5122379163,985,2388,Y,지하주차장,053-668-2273,대구광역시 달성군청,2020-07-09
"태왕아파트",공공용,대구광역시 달성군 화원읍 성화로4길 13,대구광역시 달성군 화원읍 성산리 501번지,35.8029181804,128.4920244396,4597,11143,Y,지하주차장,053-668-2273,대구광역시 달성군청,2020-07-09
"삼우청솔아파트",공공용,대구광역시 달성군 화원읍 비슬로539길 17,대구광역시 달성군 화원읍 구라리 1687번지,35.8098644319,128.5087669409,2992,7252,Y,지하주차장,053-668-2273,대구광역시 달성군청,2020-07-09
"청구청산아파트",공공용,대구광역시 달성군 화원읍 비슬로539길 5,대구광역시 달성군 화원읍 1734번지 1호,35.8089761453,128.5100378798,1711,4147,Y,지하주차장,053-668-2273,대구광역시 달성군청,2020-07-09
"삼주타운",공공용,대구광역시 달성군 화원읍 사문진로 349,대구광역시 달성군 화원읍 성산리 55번지,35.8085717451,128.4887095003,2632,6379,Y,지하주차장,053-668-2273,대구광역시 달성군청,2020-07-09
"명곡미래빌 1단지",공공용,대구광역시 달성군 화원읍 명곡로 11,대구광역시 달성군 화원읍 명곡리 112번지,35.7987553342,128.4986455494,9501,23033,Y,지하주차장,053-668-2273,대구광역시 달성군청,2020-07-09
"명곡미래빌 2단지",공공용,대구광역시 달성군 화원읍 명천로 231,대구광역시 달성군 화원읍 명곡리 101번지,35.7980663907,128.4940486795,9182,22259,Y,지하주차장,053-668-2273,대구광역시 달성군청,2020-07-09
