"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"신암뜨란채비상대피시설",공공용,"대구광역시 동구 아양로7길 12 (신암동, 신암뜨란채아파트)",대구광역시 동구 신암동 766번지,35.882315,128.6176852170,2063,2500,Y,주거시설,053-662-2275,대구광역시 동구청,2021-04-28
"제일안과병원비상대피시설",공공용,대구광역시 동구 아양로 1 (신암동),대구광역시 동구 신암동 803-2번지,35.881835,128.614748,200,242,Y,의료시설,053-662-2275,대구광역시 동구청,2021-04-28
"한국장학재단본사비상대피시설",공공용,대구광역시 동구 신암로 125(신암동),대구광역시 동구 신암동 819-1번지,35.881168,128.612949,2755,3339,Y,상업시설,053-662-2275,대구광역시 동구청,2021-04-28
"신암그린타운비상대피시설",공공용,"대구광역시 동구 신성로 30(신암동, 신암그린타운)",대구광역시 동구 신암동 461-1번지,35.878565,128.610824,559,677,Y,주거시설,053-662-2275,대구광역시 동구청,2021-04-28
"신암청아람아파트비상대피시설",공공용,"대구광역시 동구 신암로20길 39(신암동, 신암청아람아파트)",대구광역시 동구 신암동 480번지,35.879362,128.611827,5985,7254,Y,주거시설,053-662-2275,대구광역시 동구청,2021-04-28
"신천가람타운비상대피시설",공공용,"대구광역시 동구 신암로16길 16(신암동, 신천가람타운)",대구광역시 동구 신암동 551-23번지,35.8760753509,128.6100369225,7000,8484,Y,주거시설,053-662-2275,대구광역시 동구청,2021-04-28
"건영캐스빌비상대피시설",공공용,"대구광역시 동구 신암남로50(신암동, 건영캐스빌)",대구광역시 동구 신암동 194-1번지,35.877398,128.618811,6732,8160,Y,주거시설,053-662-2275,대구광역시 동구청,2021-04-28
"동구청지하철역비상대피시설",공공용,"대구광역시 동구 신암남로 지하 169(신암동, 동구청역)",대구광역시 동구 신암동 369번지,35.884242,128.632089,5265,6381,Y,교통시설,053-662-2275,대구광역시 동구청,2021-04-28
SD아이프라임아파트비상대피시설,공공용,"대구광역시 동구 아양로24길 13(신암동, 에스디아이프라임아파트)",대구광역시 동구 신암동 251-1번지,35.88413575,128.6278855,800,969,Y,주거시설,053-662-2275,대구광역시 동구청,2021-04-28
"큰고개웰그린아파트비상대피시설",공공용,"대구광역시 동구 아양로 124(신암동, 큰고개웰그린아파트)",대구광역시 동구 신암동 250-1번지,35.88458714,128.6272923,2876,3486,Y,주거시설,053-662-2275,대구광역시 동구청,2021-04-28
