"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
KT북대구지사지하주차장,공공용,대구광역시 북구 고성로 141(고성동),대구광역시 북구 고성동3가 103,35.8818697718,128.5814523200,1668,2021,Y,주차장,053-665-2272,대구광역시청 북구청,2020-09-10
"강변일성트루엘 지하주차장",공공용,대구광역시 북구 침산남로 215(침산동),대구광역시 북구 침산동 1755,35.8868713319,128.5996349612,7555,9157,Y,주차장,053-665-2272,대구광역시청 북구청,2020-09-10
"강병원 지하",공공용,대구광역시 북구 노원로 70(노원동3가),대구광역시 북구 노원동3가 1013,35.8937325143,128.5699421374,344,416,Y,주차장,053-665-2272,대구광역시청 북구청,2020-09-10
"강북화성파크드림",공공용,대구광역시 북구 칠곡중앙대로 312(태전동),대구광역시 북구 태전동 420-5,35.9230812091,128.5472013789,1062,1287,Y,주차장,053-665-2272,대구광역시청 북구청,2020-09-10
"건영화물",공공용,대구광역시 북구 노원로 125(노원동3가),대구광역시 북구 노원동3가 185-1,35.8968161158,128.5742451758,131,158,Y,회의실,053-665-2272,대구광역시청 북구청,2020-09-10
"경북대 농과대1호관 지하",공공용,대구광역시 북구 대학로 80(산격동),대구광역시 북구 산격동 1370-1,35.8890974884,128.6143223363,284,344,Y,교육연구시설,053-665-2272,대구광역시청 북구청,2020-09-10
"경북대 도서관 신관 지하",공공용,대구광역시 북구 대학로 80(산격동),대구광역시 북구 산격동 1370-1,35.8890974884,128.6143223363,826,1001,Y,교육연구시설,053-665-2272,대구광역시청 북구청,2020-09-10
"경북대 복현회관 지하",공공용,대구광역시 북구 대학로 80(산격동),대구광역시 북구 산격동 1370-1,35.8890974884,128.6143223363,1256,1522,Y,교육연구시설,053-665-2272,대구광역시청 북구청,2020-09-10
"경북대 인문대 지하",공공용,대구광역시 북구 대학로 80(산격동),대구광역시 북구 산격동 1370-1,35.8890974884,128.6143223363,182,220,Y,교육연구시설,053-665-2272,대구광역시청 북구청,2020-09-10
"고성아파트지하주차장",공공용,대구광역시 북구 고성북로 3(고성동2가),대구광역시 북구 고성동2가 112-3,35.8806790684,128.5815703785,1650,2000,Y,주차장,053-665-2272,대구광역시청 북구청,2020-09-10
