"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"지하철2호선 내당역",공공용,대구광역시 서구 달구벌대로 지하 1827(내당동),대구광역시 서구 내당동 1290,35.86017555,128.5647218,6760,8193,Y,지하철,053-663-2273,대구광역시청 서구청,2021-07-05
"홍실2차 아파트",공공용,"대구광역시 서구 통학로 39(내당동,보성2차홍실타운)",대구광역시 서구 내당동 11-1,35.86394263,128.5638917,1632,1978,Y,아파트 지하공간,053-663-2273,대구광역시청 서구청,2021-07-05
"항제맨션2",공공용,"대구광역시 서구 통학로 46(내당동,황제맨션)",대구광역시 서구 내당동 11-8,35.86501963,128.5653344,1418,1718,Y,아파트 지하공간,053-663-2273,대구광역시청 서구청,2021-07-05
"황제맨션1",공공용,"대구광역시 서구 통학로 46(내당동,황제맨션)",대구광역시 서구 내당동 11-8,35.86501963,128.5653344,1418,1718,Y,아파트 지하공간,053-663-2273,대구광역시청 서구청,2021-07-05
"열린큰병원",공공용,"대구광역시 서구 달구벌대로 1877(내당동,열린큰병원)",대구광역시 서구 내당동 884-24,35.8618223,128.5696924,564,683,Y,의료시설,053-663-2273,대구광역시청 서구청,2021-07-05
"웰니스1004병원",공공용,대구광역시 서구 달구벌대로 1889(내당동),대구광역시 서구 내당동 885-3,35.8621546,128.5708751,1584,1920,Y,의료시설,053-663-2273,대구광역시청 서구청,2021-07-05
"지하철 반고개역",공공용,대구광역시 서구 달구벌대로 1903(내당동),대구광역시 서구 내당동 866-9,35.862497,128.5725953,6788,8227,Y,지하철,053-663-2273,대구광역시청 서구청,2021-07-05
"지하철2호선 두류역",공공용,대구광역시 서구 달구벌대로 지하 1760(내당동),대구광역시 서구 내당동 1290,35.8580794,128.5571213,14885,18042,Y,지하철,053-663-2273,대구광역시청 서구청,2021-07-05
"비산1동행정복지센터",공공용,"대구광역시 서구 북비산로65길 18(비산동,비산1동주민센터)",대구광역시 서구 비산동 716-8,35.8811578,128.5689696,234,283,Y,관공서,053-663-2273,대구광역시청 서구청,2021-07-05
"서대구신협",공공용,대구광역시 서구 달서로26길 2(비산동),대구광역시 서구 비산동 391-21,35.873078,128.5715747,366,443,Y,기타,053-663-2273,대구광역시청 서구청,2021-07-05
"제일고등학교",공공용,대구광역시 서구 국채보상로 384(비산동),대구광역시 서구 비산동 228,35.87068346,128.5738352,336,407,Y,교육시설,053-663-2273,대구광역시청 서구청,2021-07-05
"한전서대구지점",공공용,대구광역시 서구 달서로 85(비산동),대구광역시 서구 비산동 312-7,35.8698633,128.5705672,1607,1947,Y,기타,053-663-2273,대구광역시청 서구청,2021-07-05
"한신휴플러스",공공용,"대구광역시 서구 달서로17길 17(비산동,한신휴플러스 아파트)",대구광역시 서구 비산동 315,35.87063538,128.5694926,6288,7621,Y,아파트 지하주차장,053-663-2273,대구광역시청 서구청,2021-07-05
