"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"고산역",공공용,대구광역시 수성구 달구벌대로 지하 3080 (시지동),대구광역시 수성구 시지동 250-1,35.8428672,128.6938143,6162,9477,Y,지하철역사,053-666-3522,고산2동,2021-07-06
"녹원아파트",공공용,대구광역시 수성구 무학로 189 (지산동),대구광역시 수성구 지산동 761,35.83093954,128.6305516,2240,2715,Y,지하주차장,053-666-3517,지산1동,2021-07-06
"담티역",공공용,대구광역시 수성구 달구벌대로 지하 2672 (만촌동),대구광역시 수성구 만촌동 889,35.85486768,128.6536803,8078,9791,Y,지하철역사,053-666-3507,만촌3동,2021-07-06
"대공원역",공공용,대구광역시 수성구 달구벌대로 지하 2950 (연호동),대구광역시 수성구 연호동 154-5,35.8425968,128.6799919,6729,7469,Y,지하철역사,053-666-3522,고산2동,2021-07-06
"대구 시지 푸르지오",공공용,대구광역시 수성구 달구벌대로661길 7 (사월동),대구광역시 수성구 사월동 325,35.8379449,128.7183664,1433,1736,Y,지하주차장,053-666-3523,고산3동,2021-07-06
"대구문화방송",공공용,대구광역시 수성구 동대구로 400 (범어동),대구광역시 수성구 범어동 1,35.86605026,128.6287908,1682,2038,Y,지하주차장,053-666-3502,범어2동,2021-07-06
"대구은행역",공공용,대구광역시 수성구 달구벌대로 지하 2300 (수성동4가),대구광역시 수성구 수성동4가 1085-32,35.85974064,128.6142264,9553,11579,Y,지하철역사,053-666-3509,수성2.3가동,2021-07-06
"대구지방경찰청",공공용,대구광역시 수성구 무학로 227 (지산동),대구광역시 수성구 지산동 720,35.82955033,128.6335773,1739,2107,Y,지하주차장,053-666-3517,지산1동,2021-07-06
"대림e-편한세상",공공용,대구광역시 수성구 들안로73길 50-7,대구광역시 수성구 수성동4가 1115-16,35.86456194,128.614832,2629,3187,Y,지하주차장,053-666-3510,수성4가동,2021-07-06
"대우트럼프월드수성아파트",공공용,대구광역시 수성구 동대구로 59 (두산동),대구광역시 수성구 두산동 105,35.83584559,128.6225468,3829,4641,Y,지하주차장,053-666-3516,두산동,2021-07-06
"동서무학아파트",공공용,대구광역시 수성구 지산로14길 83 (지산동),대구광역시 수성구 지산동 359-1,35.8266059,128.638306,1980,2400,Y,지하주차장,053-666-3517,지산1동,2021-07-06
"동일하이빌레이크시티아파트",공공용,대구광역시 수성구 수성로 71 (상동),대구광역시 수성구 상동 555,35.83197361,128.6108087,7679,9307,Y,지하주차장,053-666-3514,상동,2021-07-06
"두산위브더제니스",공공용,대구광역시 수성구 달구벌대로 2435 (범어동),대구광역시 수성구 범어동 179,35.86098936,128.6282666,5916,7171,Y,지하주차장,053-666-3502,범어2동,2021-07-06
