"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"대덕구청(민방위교육장) 지하대피시설",정부지원,"대전광역시 대덕구 대전로1033번길 20 (오정동, 대덕구청)",대전광역시 대덕구 오정동 500,36.34678377,127.4147157,780,545,Y,교육장,042-608-5362,대덕구청,2020-10-26
"두레아파트",공공용,"대전광역시 대덕구 대화1길 77 (대화동, 두레아파트)",대전광역시 대덕구 대화동 31-36,36.36391396,127.4165893,1398,1695,Y,주차장,042-628-0791,대화동주민센터,2020-10-26
"대전광역시시립체육재활원",공공용,"대전광역시 대덕구 대화로 10 (대화동, 근로청소년회관)",대전광역시 대덕구 대화동 3-3,36.36837221,127.418864,1081,1310,N,체육관,042-637-9888,대화동주민센터,2020-10-26
"대전산업용재유통상가",공공용,"대전광역시 대덕구 대화로 160 (대화동, 산업용재유통상가)",대전광역시 대덕구 대화동 289-1,36.36529453,127.4029316,25726,31183,Y,주차장,042-670-6700,대화동주민센터,2020-10-26
"덕암마을아파트",공공용,"대전광역시 대덕구 덕암로234번길 15 (덕암동, 덕암마을아파트)",대전광역시 대덕구 덕암동 45-2,36.44187651,127.4255358,914,1108,Y,지하주차장,042-608-5828,덕암동주민센터,2020-10-26
"행복한마을103동지하주차장",공공용,대전광역시 대덕구 덕암로 200 (덕암동),대전광역시 대덕구 평촌동 540-1,36.43870325,127.4238411,13581,16462,Y,지하주차장,042-608-5828,덕암동주민센터,2020-10-26
"행복한마을104동지하주차장",공공용,대전광역시 대덕구 덕암로 200 (덕암동),대전광역시 대덕구 평촌동 540-1,36.43870325,127.4238411,10809,13102,Y,지하주차장,042-608-5828,덕암동주민센터,2020-10-26
"대전철도차량정비본부",공공용,"대전광역시 대덕구 벚꽃길 150 (평촌동, 대전철도차량정비창)",대전광역시 대덕구 평촌동 346,36.42469607,127.4267445,488,592,N,지하실,042-608-5828,덕암동주민센터,2020-10-26
"한국타이어생활관",공공용,"대전광역시 대덕구 덕암북로22번길 89-14 (덕암동, 한국타이어㈜)",대전광역시 대덕구 덕암동 20-5,36.44325079,127.4232501,1514,1836,Y,지하주차장,042-608-5828,덕암동주민센터,2020-10-26
"상록수아파트101동",공공용,"대전광역시 대덕구 대덕대로1470번길 27 (목상동, 상록수아파트)",대전광역시 대덕구 목상동 185-1,36.44807197,127.4124433,430,522,Y,지하주차장,042-608-5848,목상동주민센터,2020-10-26
"상록수아파트102동",공공용,"대전광역시 대덕구 대덕대로1470번길 27 (목상동, 상록수아파트)",대전광역시 대덕구 목상동 185-1,36.44807197,127.4124433,287,348,Y,지하주차장,042-608-5848,목상동주민센터,2020-10-26
"상록수아파트103동",공공용,"대전광역시 대덕구 대덕대로1470번길 27 (목상동, 상록수아파트)",대전광역시 대덕구 목상동 185-1,36.44807197,127.4124433,287,348,Y,지하주차장,042-608-5848,목상동주민센터,2020-10-26
"평화로운아파트 지하주차장",공공용,"대전광역시 대덕구 대덕대로 1520번길 77(목상동, 평화로운아파트)",대전광역시 대덕구 목상동 207-25,36.44618635,127.4156769,4658,5646,Y,지하주차장,042-608-5848,목상동주민센터,2020-10-26
"다사랑아파트101동",공공용,"대전광역시 대덕구 대덕대로1470번길 55 (목상동, 다사랑아파트)",대전광역시 대덕구 목상동 185-2,36.44685829,127.4142126,670,813,N,기계실,042-608-5848,목상동주민센터,2020-10-26
"다사랑아파트102동",공공용,"대전광역시 대덕구 대덕대로1470번길 55 (목상동, 다사랑아파트)",대전광역시 대덕구 목상동 185-2,36.44685829,127.4142126,670,813,N,기계실,042-608-5848,목상동주민센터,2020-10-26
"다사랑아파트103동",공공용,"대전광역시 대덕구 대덕대로1470번길 55 (목상동, 다사랑아파트)",대전광역시 대덕구 목상동 185-2,36.44685829,127.4142126,670,813,N,기계실,042-608-5848,목상동주민센터,2020-10-26
"다사랑아파트104동",공공용,"대전광역시 대덕구 대덕대로1470번길 55 (목상동, 다사랑아파트)",대전광역시 대덕구 목상동 185-2,36.44685829,127.4142126,670,813,N,기계실,042-608-5848,목상동주민센터,2020-10-26
"다사랑아파트105동",공공용,"대전광역시 대덕구 대덕대로1470번길 55 (목상동, 다사랑아파트)",대전광역시 대덕구 목상동 185-2,36.44685829,127.4142126,670,813,N,기계실,042-608-5848,목상동주민센터,2020-10-26
