"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"샘물타운아파트(지하1층주차장)",공공용,"대전광역시 유성구 원내로 52, (원내동, 샘물타운아파트)",대전광역시 유성구 원내동 394,36.2990191,127.3213623,3042,3687,Y,지하주차장,042-611-2560,대전광역시 유성구청,2019-05-20
"한아름아파트(지하1층주차장)",공공용,"대전광역시 유성구 진잠로42번길 30, (원내동, 신우한아름아파트)",대전광역시 유성구 원내동 357,36.2950130,127.3189810,3481,4219,Y,지하주차장,042-611-2560,대전광역시 유성구청,2019-05-20
"드리움아파트 1단지(지하1층주차장)",공공용,"대전광역시 유성구 대정로28번길 50, (대정동, 대전드리움1단지)",대전광역시 유성구 대정동 316-1,36.3139467,127.3225247,2976,3607,Y,지하주차장,042-611-2560,대전광역시 유성구청,2019-05-20
"드리움아파트 2단지(지하1층주차장)",공공용,"대전광역시 유성구 대정로28번안길 80, (대정동, 대전드리움2단지)",대전광역시 유성구 대정동 317-1,36.3126012,127.3225296,2917,3536,Y,지하주차장,042-611-2560,대전광역시 유성구청,2019-05-20
"제이파크아파트(지하1층주차장)",공공용,"대전광역시 유성구 진잠로149번길 24, (교촌동, 제이파크)",대전광역시 유성구 교촌동 617,36.3044817,127.3190234,1840,2230,Y,지하주차장,042-611-2560,대전광역시 유성구청,2019-05-20
"한승미메이드아파트(지하1층주차장)",공공용,"대전광역시 유성구 진잠로149번길 30, (교촌동, 미메이드아파트)",대전광역시 유성구 교촌동 616,36.3059655,127.3184415,3410,4133,Y,지하주차장,042-611-2560,대전광역시 유성구청,2019-05-20
"학의뜰아파트(지하1층주차장)",공공용,"대전광역시 유성구 학하로 33, (계산동, 계룡리슈빌)",대전광역시 유성구 계산동 749,36.337891,127.301350,37066,44928,Y,지하주차장,042-611-2560,대전광역시 유성구청,2019-05-20
"오투그란데미학아파트(지하1층주차장)",공공용,"대전광역시 유성구 학하남로 10, (계산동, 오투그란데)",대전광역시 유성구 계산동 721,36.3437070939,127.302424,65601,79516,Y,지하주차장,042-611-2560,대전광역시 유성구청,2019-05-20
"도안휴먼시아아파트(지하1층주차장)",공공용,"대전광역시 유성구 도안대로 560, (봉명동, 도안휴먼시아1단지)",대전광역시 유성구 봉명동 1024,36.3504847,127.3425075,2970,3600,Y,지하주차장,042-611-2560,대전광역시 유성구청,2019-05-20
"한라비발디3단지아파트(지하1층주차장)",공공용,"대전광역시 유성구 상대로 17, (상대동, 도안신도시한라비발디아파트)",대전광역시 유성구 상대동 462,36.3446950449,127.333470579,2970,3600,Y,지하주차장,042-611-2560,대전광역시 유성구청,2019-05-20
