"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"충대병원",공공용,"대전광역시 중구 문화로 282 (대사동, 충남대학교병원)",대전광역시 중구 대사동 640,36.3168435594,127.4153038895,1946,2359,Y,지하,042-606-7462,대전광역시 중구청,2020-09-17
"남대전성결교회",공공용,대전광역시 중구 문창로 30 (문창동),대전광역시 중구 문창동 107-11,36.3167459736,127.4354094935,495.87,601,Y,지하,042-606-7462,대전광역시 중구청,2020-09-17
"서문교회",공공용,대전광역시 중구 산성로138번길 8 (문화동),대전광역시 중구 문화동 388-3,36.3112614659,127.4024483586,303.6,368,Y,지하,042-606-7462,대전광역시 중구청,2020-09-17
"은혜아파트",공공용,대전광역시 중구 대종로334번길 40 (문창동),대전광역시 중구 문창동 123-23,36.3161853706,127.4359385,274.38,333,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"유진하나@",공공용,"대전광역시 중구 태평로44번길 53 (유천동, 유진하나아파트)",대전광역시 중구 유천동 319-1,36.3216469587,127.3954183093,2181.83,2645,Y,지하,042-606-7462,대전광역시 중구청,2020-09-17
"대전하나병원",공공용,대전광역시 중구 계룡로 934 (대사동),대전광역시 중구 대사동 248-357,36.3193434,127.4157752,255.68,310,Y,지하,042-606-7462,대전광역시 중구청,2020-09-17
"삼부아파트 4단지",공공용,"대전광역시 중구 태평로 55 (태평동, 삼부아파트4단지)",대전광역시 중구 태평동 393,36.3225283958,127.3932620810,7790.1,9443,Y,지하,042-606-7462,대전광역시 중구청,2020-09-17
"산성동 우성아파트",공공용,"대전광역시 중구 당디로 45 (산성동, 우성아파트)",대전광역시 중구 산성동 37-1,36.3085360657,127.3926533464,8218,9961,Y,지하,042-606-7462,대전광역시 중구청,2020-09-17
"중앙로 지하상가",공공용,대전광역시 중구 중앙로 지하 145(은행동),대전광역시 중구 은행동 216,36.3279601440,127.4249656561,12322,14936,Y,지하상가,042-606-7462,대전광역시 중구청,2020-09-17
"중도빌딩(쇼핑)",공공용,"대전광역시 중구 목중로26번길 45 (중촌동, 중도상가(지하주차장))",대전광역시 중구 중촌동 12-2,36.337722,127.4126985528,791,959,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"유천2동 현대아파트 1차",공공용,"대전광역시 중구 계백로1615번길 34 (유천동, 현대아파트)",대전광역시 중구 유천동 10,36.3204047010,127.3999906333,7915.36,9594,Y,지하,042-606-7462,대전광역시 중구청,2020-09-17
"산성동 한밭가든아파트",공공용,"대전광역시 중구 유등천동로 280 (산성동, 한밭가든아파트(101동~107동 전동지하))",대전광역시 중구 산성동 78-4,36.3075303,127.3849778,5615,6806,Y,지하,042-606-7462,대전광역시 중구청,2020-09-17
"중구 민방위대피소",공공용,"대전광역시 중구 문화로46번길 50 (산성동, 민방위교육장)",대전광역시 중구 산성동 36-2,36.30850149,127.3912687,1345.46,1631,Y,교육장,042-606-7462,대전광역시 중구청,2020-09-17
"센트리아오피스텔",공공용,"대전광역시 중구 계백로 1719 (오류동, 센트리아오피스텔)",대전광역시 중구 오류동 154-4,36.3222482762,127.410475,7001.68,8487,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"호암웨딩홀",공공용,대전광역시 중구 태평로 143 (태평동),대전광역시 중구 태평동 365-4,36.3293763,127.3962318,843.5,1022,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"삼부아파트 5단지",공공용,"대전광역시 중구 태평로 89 (태평동, 삼부아파트5단지)",대전광역시 중구 태평동 408-1,36.3250721546,127.3935073,3646.3,4420,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"선병원",공공용,"대전광역시 중구 목중로 29 (목동, 선병원)",대전광역시 중구 목동 10-7,36.3359392589,127.4104197376,6611.6,8014,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"현대@ 2차",공공용,"대전광역시 중구 계백로1615번길 34 (유천동, 현대아파트)",대전광역시 중구 유천동 10,36.3204047010,127.3999906333,4876.06,5910,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
SK텔레콤,공공용,대전광역시 중구 보문로 82 (부사동),대전광역시 중구 부사동 137-5,36.313666,127.4319703,2517,3051,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"사학연금회관",공공용,"대전광역시 중구 계룡로 786 (오류동, 사학연금회관)",대전광역시 중구 오류동 188-15,36.3288626,127.4041372,7600.03,9212,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"벽산프라자",공공용,"대전광역시 중구 계백로 1619 (유천동, 벽산프라자)",대전광역시 중구 유천동 187-9,36.3192543,127.3997912,4343.82,5265,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"벽산빌딩",공공용,"대전광역시 중구 계백로 1625 (유천동, 벽산빌딩)",대전광역시 중구 유천동 187-16,36.3194148363,127.4003504,4218.2,5113,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"삼성푸른아파트(102동 앞 지하주차장)",공공용,"대전광역시 중구 보문산로161번길 56 (문화동, 삼성푸른아파트(102,108동앞 지하주차장))",대전광역시 중구 문화동 777,36.3076728852,127.3982473294,7203,8731,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"라이프포럼(삼성물산)",공공용,대전광역시 중구 계룡로 858 (오류동),대전광역시 중구 오류동 175-8,36.3242429,127.4097979,3975,4818,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"을지의과대학",공공용,"대전광역시 중구 계룡로771번길 90 (목동, 을지의과대학(을지관 지하주차장))",대전광역시 중구 목동 24-36,36.3327427,127.4064605185,1652.9,2004,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"중앙로역",공공용,대전광역시 중구 중앙로 지하 145,대전광역시 중구 은행동 216,36.3279601440,127.4249656561,7589,9199,Y,지하철역사,042-606-7462,대전광역시 중구청,2020-09-17
"하나은행",공공용,대전광역시 중구 계룡로 820 (오류동),대전광역시 중구 오류동 176-1,36.3265117,127.4069518,6350.44,7698,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"한신휴플러스보르미아파트",공공용,"대전광역시 중구 계백로1686번길 16 (문화동, 한신휴플러스보르미아파트)",대전광역시 중구 문화동 311-3,36.3196950463,127.4068991076,4736.7,5741,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
"대흥동 참좋은아파트",공공용,"대전광역시 중구 대종로 425 (대흥동, 동건참좋은아파트)",대전광역시 중구 대흥동 402-1,36.3229639782,127.4288196,8173,9907,Y,지하주차장,042-606-7462,대전광역시 중구청,2020-09-17
