"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"르노삼성차(본관동)",공공용,부산광역시 강서구 르노삼성대로 61(신호동),부산광역시 강서구 신호동 185,35.09540704,128.8832146,5069,6144,N,헬스 볼링장,051-970-4623,르노삼성차(본관동),2020-09-25
"르노삼성차(복지동)",공공용,부산광역시 강서구 르노삼성대로 61(신호동),부산광역시 강서구 신호동 185,35.09540704,128.8832146,1206,1461,N,기계실,051-970-4623,르노삼성차(복지동),2020-09-25
"삼성전기(복지동)",공공용,부산광역시 강서구 녹산산업중로 333(송정동),부산광역시 강서구 송정동 1623-2,35.09610278,128.857752,610,1830,N,복지동,051-970-9143,삼성전기,2020-09-25
"삼성전기(기숙사)",공공용,부산광역시 강서구 녹산산업중로 333(송정동),부산광역시 강서구 송정동 1623-2,35.09610278,128.857752,639,1917,N,기숙사,051-970-9143,삼성전기,2020-09-25
"대지교회 부설유치원",공공용,부산광역시 강서구 대저로 171번나길 26(대저1동),부산광역시 강서구 대저1동 752-1,35.21639837,128.9736711,1769,2144,Y,휴게실,051-970-4403,대지교회 부설유치원,2020-09-25
"강변어린이집",공공용,부산광역시 강서구 공항로361번길 26(대저2동),부산광역시 강서구 대저2동 5199-2,35.14072251,128.9473109,116,140,Y,식당,051-970-4413,강변어린이집,2020-09-25
"호산나교회",공공용,부산광역시 강서구 명지오션시티6로 2(명지동),부산광역시 강서구 명지동 3245-5,35.08584631,128.9072422,175,212,Y,실내놀이터,051-970-4103,호산나교회,2020-09-25
"신호윌더하임아파트",공공용,부산광역시 강서구 신호산단3로 55(신호동 윌더하임아파트),부산광역시 강서구 신호동 205-1,35.08855921,128.878018,11108,13464,Y,식당 강당 주차장,051-970-4623,신호윌더하임아파트,2020-09-25
"퀸덤링컨타운",공공용,부산광역시 강서구 명지오션시티10로17(명지동 퀸덤1차아파트),부산광역시 강서구 명지동 3230-11,35.08814982,128.8973624,13672,16572,Y,지하주차장,051-970-4103,퀸덤링컨타운,2020-09-25
"퀸덤에디슨타운",공공용,부산광역시 강서구 명지오션시티 10로17,부산광역시 강서구 명지동 3230-11,35.08814982,128.8973624,22549,27332,Y,지하주차장,051-970-4103,퀸덤에디슨타운,2020-09-25
"(사)한국선급부산본부사옥",공공용,부산광역시 강서구 명지오션시티9로 36(명지동),부산광역시 강서구 명지동 3229-22,35.08735623,128.9008481,2415,2927,Y,지하주차장,051-970-4103,(사)한국선급부산본부사옥,2020-09-25
"강서브라이트센터",공공용,부산광역시 강서구 공항로811번길 10(대저2동),부산광역시 강서구 대저2동 1932-1,35.18023515,128.9572977,7562,9166,Y,지하 1 2층주차장,051-970-4413,강서브라이트센터,2020-09-25
"금강펜테리움아파트",공공용,부산광역시 강서구 과학산단2로 20번길 69,부산광역시 강서구 지사동 1184-1,35.15089393,128.8389873,39685,48103,Y,지하주차장,051-970-4623,금강펜테리움아파트,2020-09-25
"강서구청",공공용,부산광역시 강서구 낙동북로 477(대저1동),부산광역시 강서구 대저1동 2300,35.21220134,128.9805838,1709,2072,Y,주차장,051-970-4132,강서구청,2020-09-25
"강동동주민센터",공공용,부산광역시 강서구 제도로1171(강동동),부산광역시 강서구 강동동 135-1,35.2145245819,128.9352666481,412,500,Y,공부방,051-970-4453,강동동주민센터,2020-09-25
"낙동복지회관",공공용,부산광역시 강서구 순아강변길 5(명지동),부산광역시 강서구 명지동 627-28,35.11976121,128.9028204,195,236,Y,식당 체력단련장,051-970-4103,낙동복지회관,2020-09-25
"강서구종합사회복지회관",공공용,부산광역시 강서구 대저로 63번길 31(대저1동),부산광역시 강서구 대저1동 1549-1,35.21676104,128.9593384,412,500,Y,식당 창고,051-970-4403,강서구종합사회복지회관,2020-09-25
"가덕도동주민센터",공공용,부산광역시 강서구 동선길 10(성북동),부산광역시 강서구 성북동 229-1,35.05664107,128.831654,86,104,Y,창고,051-970-4633,가덕도동주민센터,2020-09-25
"부산우편집중국",공공용,부산광역시 강서구 대저로 49번길 22(대저1동),부산광역시 강서구 대저1동 1549,35.2178324,128.9579542,2445,2963,Y,주차장,051-970-4403,부산우편집중국,2020-09-25
"김해국제공항(국내선)",공공용,부산광역시 강서구 공항진입로 108(대저2동),부산광역시 강서구 대저2동 2350,35.1728758,128.9457991,997,1208,N,주차장,051-970-4413,김해국제공항(국내선),2020-09-25
"김해국제공항(관리청사)",공공용,부산광역시 강서구 공항진입로 108(대저2동),부산광역시 강서구 대저2동 2350,35.1728758,128.9457991,2043,2476,N,국내선(전기기계실 빈공간),051-970-4413,김해국제공항(관리청사),2020-09-25
"부산진해경제자유구역청",공공용,부산광역시 강서구 녹산산단232로 38-26(송정동),부산광역시 강서구 송정동 1709-2,35.0865743070,128.8402633371,224,272,Y,창고,051-970-4623,부산진해경제자유구역청,2020-09-25
"대저차량사업소(종합관리동)",공공용,부산광역시 강서구 낙동북로 236(대저1동),부산광역시 강서구 대저1동 1619,35.2122122275,128.9541015935,1039,1260,N,식당 휴게실,051-970-4403,대저차량사업소(종합관리동),2020-09-25
"렛츠런파크 부산경남",공공용,부산광역시 강서구 가락대로 929(렛츠런파크 부산경남),부산광역시 강서구 범방동 1833,35.15474323,128.8819742,1782,2160,N,체육시설 기능실 등,051-970-4623,렛츠런파크 부산경남,2020-09-25
"부산지방법원 서부지원",공공용,부산광역시 강서구 명지국제7로 77,부산광역시 강서구 명지동 2261,35.0972927191,128.9098921,3008,3646,Y,지하주차장,051-970-4651,부산지방법원 서부지원,2020-09-25
"가락농협",공공용,부산광역시 강서구 가락대로 1459,부산광역시 강서구 죽림동 730,35.1946905162,128.9022335405,471,571,N,기계실 창고 등,051-970-2952,가락농협,2020-09-25
