"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"동성교회",공공용,부산광역시 금정구 서부로 72,부산광역시 금정구 서동 150-12,35.21925623,129.0996481,507,615,Y,식당,051-519-5102,서1동,2021-04-20
"파크랜드",공공용,부산광역시 금정구 반송로 365,부산광역시 금정구 서동 219-2,35.21142353,129.1056611,198,240,Y,독서실,051-519-5124,서2동,2021-04-20
"세웅종합병원",공공용,부산광역시 금정구 서동로 162,부산광역시 금정구 서동 199-16,35.214444,129.1040786,557,675,Y,주차장,051-519-5124,서2동,2021-04-20
"서2동 주민센터",공공용,부산광역시 금정구 서동중심로 33,부산광역시 금정구 서동 297-446,35.21287122,129.104444,402,487,Y,주차장,051-519-5124,서2동,2021-04-20
"삼한여명아파트",공공용,부산광역시 금정구 중군진로 27,부산광역시 금정구 서동 228-1,35.2131853,129.1088163,1960,2376,Y,주차장,051-519-5124,서2동,2021-04-20
"삼한아파트",공공용,부산광역시 금정구 명서로 76,부산광역시 금정구 서동 304-151,35.21452688,129.0979934,5552,6730,Y,주차장,051-519-5124,서2동,2021-04-20
"성지아파트",공공용,부산광역시 금정구 명서로 94,부산광역시 금정구 서동 622,35.21292481,129.0995421,3705,4491,Y,주차장,051-519-5124,서2동,2021-04-20
"서동 도시철도역",공공용,부산광역시 금정구 반송로 387,부산광역시 금정구 서동 241,35.213056,129.1074207,4602,5578,Y,지하철 승강장,051-519-5124,서2동,2021-04-20
"서동 라이프타운 지하",공공용,부산광역시 금정구 서동로175번길 46,부산광역시 금정구 서동 207-1,35.215256,129.108333,3057,3705,Y,주차장,051-519-5144,서3동,2021-04-20
"서3동 새마을금고 지하",공공용,부산광역시 금정구 금사로 27,부산광역시 금정구 서동 130-37,35.21640361,129.107619,236,286,Y,주차장,051-519-5144,서3동,2021-04-20
"서3동주민센터 지하",공공용,부산광역시 금정구 서곡로33번길 9,부산광역시 금정구 서동 397-8,35.21719933,129.1039304,279,338,Y,주차장,051-519-5144,서3동,2021-04-20
"제일요양병원 지하",공공용,부산광역시 금정구 서부로 56,부산광역시 금정구 서동 163-18,35.2183203,129.1010296,185,224,Y,주차장,051-519-5144,서3동,2021-04-20
"부산은행 금사공단지점 지하",공공용,부산광역시 금정구 서동로 173,부산광역시 금정구 서동 203-42,35.21469716,129.1056227,132,160,Y,주차장,051-519-5144,서3동,2021-04-20
"서동상가시장 지하",공공용,부산광역시 금정구 서동로141번길 21,부산광역시 금정구 서동 302,35.2164123662,129.1023591619,182,221,Y,주차장,051-519-5144,서3동,2021-04-20
"삼한그린피아아파트",공공용,부산광역시 금정구 중군진로 21,부산광역시 금정구 금사동 561-1,35.21300855,129.1096506,1813,2198,Y,주차장,051-519-5182,금사동,2021-04-20
"금사동 새마을금고",공공용,부산광역시 금정구 금사로 81,부산광역시 금정구 금사동 131-11,35.220005,129.1113076,208,252,Y,주차장,051-519-5182,금사동,2021-04-20
"금사동주민센터",공공용,부산광역시 금정구 금사로85번길 12,부산광역시 금정구 금사동 388-4,35.22030747,129.1111178,183,222,Y,주차장,051-519-5182,금사동,2021-04-20
"대순진리교",공공용,부산광역시 금정구 공단동로29번길 60,부산광역시 금정구 금사동 48-5,35.2206312,129.1138408,574,696,Y,집회시설,051-519-5182,금사동,2021-04-20
"금사동지하철역",공공용,부산광역시 금정구 반송로 465,부산광역시 금정구 금사동 154-1,35.21577205,129.1150895,4713,5713,Y,지하철 승강장,051-519-5182,금사동,2021-04-20
"우리은행",공공용,부산광역시 금정구 부곡로 83,부산광역시 금정구 부곡동 325-33,35.22347818,129.090833,490,594,Y,주차장,051-519-5202,부곡1동,2021-04-20
"부곡1동새마을금고",공공용,부산광역시 금정구 부곡로 105,부산광역시 금정구 부곡동 304-7,35.22530815,129.0915412,291,353,Y,주차장,051-519-5202,부곡1동,2021-04-20
"부곡1동 GS슈퍼마켓",공공용,부산광역시 금정구 부곡로 79,부산광역시 금정구 부곡동 333-1,35.22313002,129.090556,1435,1739,Y,주차장,051-519-5202,부곡1동,2021-04-20
"부곡일천베스파",공공용,부산광역시 금정구 부곡로 87,부산광역시 금정구 부곡동 325-6,35.223889,129.090833,2060,2497,Y,주차장,051-519-5202,부곡1동,2021-04-20
"(주)금강",공공용,부산광역시 금정구 중앙대로 1628,부산광역시 금정구 부곡동 269-1,35.22958862,129.0914358,450,545,Y,주차장,051-519-5222,부곡2동,2021-04-20
"부곡2동 현대아파트",공공용,부산광역시 금정구 동부곡로27번길 85,부산광역시 금정구 부곡동 364-15,35.229722,129.0959309,690,836,Y,주차장,051-519-5222,부곡2동,2021-04-20
"부곡2동 부산은행",공공용,부산광역시 금정구 부곡로117,부산광역시 금정구 부곡동 296-20,35.22638086,129.0916258,328,398,Y,주차장,051-519-5222,부곡2동,2021-04-20
"우신뉴타운아파트",공공용,부산광역시 금정구 중앙대로1667번길 8,부산광역시 금정구 부곡동 235-5,35.23405982,129.0900965,7736,9377,Y,주차장,051-519-5222,부곡2동,2021-04-20
"부곡2동 대우아파트",공공용,부산광역시 금정구 부산대학로 10,부산광역시 금정구 부곡동 244-7,35.23306339,129.0899786,5029,6096,Y,주차장,051-519-5222,부곡2동,2021-04-20
"금정구청",공공용,부산광역시 금정구 중앙대로 1777,부산광역시 금정구 부곡동 78,35.24205368,129.0924546,2303,2792,Y,교육장,051-519-5257,부곡3동,2021-04-20
"금정근로청소년회관",공공용,부산광역시 금정구 기찰로96번길 47,부산광역시 금정구 부곡동 200-62,35.23798411,129.0951618,171,207,Y,교육장,051-519-5257,부곡3동,2021-04-20
sk 아파트,공공용,부산광역시 금정구 수림로 12,부산광역시 금정구 부곡동 63-11,35.24056963,129.0923945,4620,5600,Y,주차장,051-519-5257,부곡3동,2021-04-20
"쌍용아파트",공공용,부산광역시 금정구 수림로 25,부산광역시 금정구 부곡동 224-1,35.23911944,129.0887061,6089,7381,Y,주차장,051-519-5257,부곡3동,2021-04-20
"삼승렉스폴",공공용,부산광역시 금정구 부곡온천천로 126,부산광역시 금정구 부곡동 225-36,35.237222,129.0889446,718,870,Y,주차장,051-519-5257,부곡3동,2021-04-20
"부곡4동 주민센터",공공용,부산광역시 금정구 부곡로18번안길 37,부산광역시 금정구 부곡동 395-14,35.21988772,129.0885689,270,327,Y,주차장,051-519-5262,부곡4동,2021-04-20
"부곡4동 명성빌라",공공용,부산광역시 금정구 서동로 30,부산광역시 금정구 부곡동 780-7,35.220152,129.0920196,109,132,Y,주차장,051-519-5262,부곡4동,2021-04-20
"부곡4동 경보온천타워",공공용,부산광역시 금정구 오시게로54번길 14,부산광역시 금정구 부곡동 391-2,35.22154839,129.0882117,2292,2778,Y,주차장,051-519-5262,부곡4동,2021-04-20
"부곡4동 신동아아파트",공공용,부산광역시 금정구 부곡로 64,부산광역시 금정구 부곡동 386-1,35.22173619,129.0900702,3313,4016,Y,주차장,051-519-5262,부곡4동,2021-04-20
"부곡4동 기업은행동래지점",공공용,부산광역시 금정구 부곡로 1,부산광역시 금정구 부곡동 890-7,35.217764,129.0862569,379,459,Y,주차장,051-519-5262,부곡4동,2021-04-20
"대동다숲 아파트",공공용,부산광역시 금정구 부곡로 32-12,부산광역시 금정구 부곡동 788,35.21886353,129.0892235,6893,8355,Y,주차장,051-519-5262,부곡4동,2021-04-20
"금정힐스테이트",공공용,부산광역시 금정구 금강로335번길 90,부산광역시 금정구 장전동 710,35.238333,129.0811551,6223,7543,Y,주차장,051-519-5296,장전1동,2021-04-20
"쌍용예가 1차 아파트",공공용,부산광역시 금정구 금강로 379번길 50,부산광역시 금정구 장전동 732,35.242697,129.0839024,2035,2467,Y,주차장,051-519-5296,장전1동,2021-04-20
"쌍용예가 2차아파트",공공용,부산광역시 금정구 수림로 72번길 21,부산광역시 금정구 장전동 739,35.24046923,129.0842197,2237,2712,Y,주차장,051-519-5296,장전1동,2021-04-20
"벽산파라다이스빌라",공공용,부산광역시 금정구 금샘로17번길 43-7,부산광역시 금정구 장전동 505-113,35.2270867,129.0759656,536,650,Y,주차장,051-519-5302,장전2동,2021-04-20
GS 금정아파트,공공용,부산광역시 금정구 금강로 217,부산광역시 금정구 장전동 482-14,35.22859968,129.0818952,3305,4006,Y,주차장,051-519-5302,장전2동,2021-04-20
"만세한신아파트",공공용,부산광역시 금정구 소정로 39,부산광역시 금정구 장전동 521-62,35.22822264,129.0797154,4708,5707,Y,주차장,051-519-5302,장전2동,2021-04-20
"장전2동 경보아파트",공공용,부산광역시 금정구 식물원로75번길 39,부산광역시 금정구 장전동 581,35.224722,129.081243,7254,8793,Y,주차장,051-519-5302,장전2동,2021-04-20
"장전2동 주민센터",공공용,부산광역시 금정구 소정로 19,부산광역시 금정구 장전동 715,35.227753,129.0809685,293,355,Y,"탁구장, 문서고",051-519-5302,장전2동,2021-04-20
"금정산SK뷰아파트",공공용,부산광역시 금정구 식물원로 64,부산광역시 금정구 장전동 713,35.22740021,129.0793298,5172,6269,Y,주차장,051-519-5302,장전2동,2021-04-20
"화목주택",공공용,부산광역시 금정구 식물원로44번길 46,부산광역시 금정구 장전동 618-1,35.2280282740,129.0848987936,191,232,Y,주차장,051-519-5302,장전2동,2021-04-20
"舊장전3동 주민센터",공공용,부산광역시 금정구 금정로 29-6,부산광역시 금정구 장전동 343-4,35.22747403,129.0855126,199,241,Y,주차장,051-519-5302,장전2동,2021-04-20
