"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"한신아파트",공공용,부산광역시 기장군 기장읍 차성로 344번길 13,부산광역시 기장군 기장읍 동부리 151-5,35.2493646,129.215285,9685.5,11740,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"현대아파트",공공용,부산광역시 기장군 기장읍 기장대로 563,부산광역시 기장군 기장읍 청강리 18-2,35.24534842,129.2204395,7203.3,8731,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"태영아파트",공공용,부산광역시 기장군 기장읍 차성로 441번길 7,부산광역시 기장군 기장읍 교리 14-5,35.25536703,129.2181817,333.3,404,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"이진캐스빌아파트",공공용,부산광역시 기장군 기장읍 차성서로 51,부산광역시 기장군 기장읍 대라리 240,35.23777536,129.2100096,2490,3018,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"우신네오빌아파트",공공용,부산광역시 기장군 기장읍 청강로 76,부산광역시 기장군 기장읍 청강리 144,35.23841586,129.2230534,3562,4317,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"이진스카이빌아파트",공공용,부산광역시 기장군 기장읍 차성서로 158-12,부산광역시 기장군 기장읍 동부리 333,35.24722779,129.2120984,1812,2196,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"교리주공아파트",공공용,부산광역시 기장군 기장읍 차성로 397번길 7,부산광역시 기장군 기장읍 교리 170,35.2538786,129.2134481,4219,5113,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"이진캐스빌골드아파트",공공용,부산광역시 기장군 기장읍 대청로 7,부산광역시 기장군 기장읍 대라리 251,35.23868706,129.2106143,1807,2190,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"포스코더샵",공공용,부산광역시 기장군 기장읍 차성동로 116번길 12,부산광역시 기장군 기장읍 동부리 364-2,35.24726458,129.2183563,1089,1320,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"내리휴먼시아아파트",공공용,부산광역시 기장군 기장읍 소정안길 68,부산광역시 기장군 기장읍 내리 768,35.20641391,129.206186,8699.9,10545,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"서부주공아파트",공공용,부산광역시 기장군 기장읍 차성서로 123,부산광역시 기장군 기장읍 서부리 101,35.24468064,129.2094677,4001,4849,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"휴먼시아1단지",공공용,부산광역시 기장군 정관읍 정관4로 23,부산광역시 기장군 정관읍 용수리 1359,35.32513891,129.1675028,10456,12673,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"계룡리슈빌",공공용,부산광역시 기장군 정관읍 정관로 513,부산광역시 기장군 정관읍 용수리 1330,35.32619109,129.1719379,14318,17355,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"롯데캐슬아파트",공공용,부산광역시 기장군 정관읍 정관3로 52,부산광역시 기장군 정관읍 용수리 1364,35.32872378,129.1702024,28624,34695,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"휴먼시아2단지",공공용,부산광역시 기장군 정관읍 정관2로 24,부산광역시 기장군 정관읍 모전리 768,35.3325667,129.1631355,10082,12220,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"신동아파밀리에",공공용,부산광역시 기장군 정관읍 정관5로 75,부산광역시 기장군 정관읍 용수리 1322,35.32614573,129.1772629,25874,31362,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"현진에버빌",공공용,부산광역시 기장군 정관읍 정관2로 40,부산광역시 기장군 정관읍 모전리 755,35.33430127,129.1692078,15083,18282,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"센트럴파크",공공용,부산광역시 기장군 정관읍 구연방곡로 10,부산광역시 기장군 정관읍 달산리 1199,35.32084531,129.1853536,16412,19893,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"한진해모로",공공용,부산광역시 기장군 정관읍 정관로 548,부산광역시 기장군 정관읍 용수리 1403,35.3224841,129.1728283,29277,35487,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"가화일광타워아파트",공공용,부산광역시 기장군 일광면 이천10길 37,부산광역시 기장군 일광면 이천리 921-1,35.269374,129.2348558,11056,13401,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
"고촌엘에이치아파트",공공용,부산광역시 기장군 철마면 고촌로 11,부산광역시 기장군 철마면 고촌리 684,35.23713447,129.1699467,8135,9860,Y,아파트 지하주차장,051-709-4283,기장군청,2021-03-04
