"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"부산은행 대연동지점",공공용,부산광역시 남구 수영로 234,부산광역시 남구 대연동 1740-8,35.13488573,129.0922089,561,680,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"롯데슈퍼(대연동점)",공공용,부산광역시 남구 천제등로 11,부산광역시 남구 대연동 1756-9,35.1335714,129.0875329,2040,2473,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"하이마트",공공용,부산광역시 남구 수영로 184,부산광역시 남구 대연동 1764-1,35.13458373,129.0867294,263,319,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"법화빌딩",공공용,부산광역시 남구 수영로 190,부산광역시 남구 대연동 1757-8,35.13463388,129.0873758,236,286,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
GS25시 편의점(남천빌딩),공공용,부산광역시 남구 수영로 244,부산광역시 남구 대연동 1729-5,35.13493172,129.0933027,297,360,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"항도빌라",공공용,부산광역시 남구 유엔평화로9번길 42,부산광역시 남구 대연동 1731-1,35.13403859,129.0942978,676,819,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"지하철 대연역",공공용,부산광역시 남구 수영로 지하 242,부산광역시 남구 대연동 1756-27,35.13511849,129.0922983,9238,11198,Y,지하철 역사,051-607-4131,부산광역시 남구청,2021-07-08
"여성회관",공공용,부산광역시 남구 수영로 356,부산광역시 남구 대연동 38-1,35.13908768,129.1045463,413,501,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"부경대학교 2호관",공공용,부산광역시 남구 용소로 45,부산광역시 남구 대연동 430-1,35.1311678251,129.1048237572,1076,1304,Y,강의실,051-607-4131,부산광역시 남구청,2021-07-08
"대우그린2차아파트",공공용,부산광역시 남구 황령대로 319번가길 189,부산광역시 남구 대연동 242-1,35.15124335,129.0892966,3914,4744,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"대우그린1차아파트",공공용,부산광역시 남구 황령대로 319번가길 190-6,부산광역시 남구 대연동 245,35.15109334,129.0890075,6068,7355,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"신원아파트",공공용,부산광역시 남구 황령대로 319번가길 158-30,부산광역시 남구 대연동 245-137,35.15142252,129.0864309,1003,1216,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"지하철 경성대 부경대역",공공용,부산광역시 남구 수영로 지하 324,부산광역시 남구 대연동 77,35.13755844,129.1004436,8932,10827,Y,지하철 역사,051-607-4131,부산광역시 남구청,2021-07-08
"아침햇살아파트",공공용,부산광역시 남구 용소로 13번길 61,부산광역시 남구 대연동 40-3,35.13767283,129.1036147,2214,2684,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"대연동푸르지오아파트",공공용,부산광역시 남구 수영로 325번길 12,부산광역시 남구 대연동 93-3,35.13878619,129.1019803,17710,21467,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"경성대학교 정보관",공공용,부산광역시 남구 수영로 309,부산광역시 남구 대연동 산37-1,35.13843676,129.1000975,4036,4892,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"대연힐스테이트푸르지오(101~106동)",공공용,부산광역시 남구 수영로 345,부산광역시 남구 대연동 1858(101~106동),35.1398875457,129.1035069,18871,22874,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"대연힐스테이트푸르지오(109~112동)",공공용,부산광역시 남구 수영로 345,부산광역시 남구 대연동 1858(109-112동),35.1398875457,129.1035069,13501,16365,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"대연롯데캐슬아파트 지하2층",공공용,부산광역시 남구 수영로 345,부산광역시 남구 대연동 1858(롯데캐슬 지하2층),35.1398875457,129.103507,28589,34653,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"대연힐스테이트푸르지오 (115동 상가)",공공용,부산광역시 남구 수영로 345,부산광역시 남구 대연동 1858(115동 지하상가),35.1398875457,129.1035069,7177,8699,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"시립박물관",공공용,부산광역시 남구 유엔평화로 63,부산광역시 남구 대연동 948-1,35.12955624,129.092941,353,428,Y,강당,051-607-4131,부산광역시 남구청,2021-07-08
"대연4동주민센터",공공용,부산광역시 남구 석포로 91번길 96,부산광역시 남구 대연동 1020-2,35.12980966,129.0914165,115,139,Y,주민자치프로그램실,051-607-4131,부산광역시 남구청,2021-07-08
"대연대우아파트",공공용,부산광역시 남구 홍곡로 343,부산광역시 남구 대연동 1170-2,35.12261471,129.0893328,4578,5549,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"대연동현대아파트",공공용,부산광역시 남구 천제등로 28번길 50,부산광역시 남구 대연동 1203-47,35.131812,129.0864876,6521,7904,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"파크사이드재활의학병원",공공용,부산광역시 남구 유엔평화로 125번길 11-10,부산광역시 남구 대연동 731-1,35.12517605,129.097142,433,525,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
"대연5동주민센터",공공용,부산광역시 남구 진남로 46번길 7,부산광역시 남구 대연동 1463-1,35.13845366,129.0901588,92,112,Y,창고,051-607-4131,부산광역시 남구청,2021-07-08
"대연교회",공공용,부산광역시 남구 진남로 43,부산광역시 남구 대연동 295-5,35.138001,129.0906782,452,548,Y,교육실,051-607-4131,부산광역시 남구청,2021-07-08
"남구민방위교육장",공공용,부산광역시 남구 수영로 267번길 33-4,부산광역시 남구 대연동 317-5,35.137501,129.0950096,603,731,Y,민방위교육장,051-607-4131,부산광역시 남구청,2021-07-08
"대연초등학교",공공용,부산광역시 남구 진남로 18번길 11,부산광역시 남구 대연동 289-6,35.13723821,129.0922867,158,192,Y,체육실습장,051-607-4131,부산광역시 남구청,2021-07-08
"동남아파트",공공용,부산광역시 남구 진남로 36번길 101,부산광역시 남구 대연동 281-5,35.141567,129.0919104,561,680,Y,주차장,051-607-4131,부산광역시 남구청,2021-07-08
