"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"온천초등학교",공공용,"부산광역시 동래구 충렬대로107번길 124 (온천동, 온천초등학교)",부산광역시 동래구 온천동 397번지 4호,35.21255477,129.0736773,396,480,Y,주거시설,051-550-4131,동래구청,2020-12-03
"새동래1차아파트",공공용,부산광역시 동래구 명륜로75번길 31 (새동래아파트),부산광역시 동래구 수안동 6번지 1호,35.19997856,129.0828351,1468,1779,Y,주거시설,051-550-4131,동래구청,2020-12-03
"해바라기1차아파트",공공용,"부산광역시 동래구 충렬대로202번길 14 (수안동, 해바라기아파트)",부산광역시 동래구 수안동 665번지 1호,35.20077417,129.0812226,4113,4985,Y,주거시설,051-550-4131,동래구청,2020-12-03
"사직3동 행정복지센터",공공용,"부산광역시 동래구 아시아드대로154번길 79 (사직동, 사직제3동주민센터)",부산광역시 동래구 사직동 123번지 23호,35.1994536,129.0694455,66,80,Y,주거시설,051-550-4131,동래구청,2020-12-03
"동원아파트",공공용,"부산광역시 동래구 여고북로 140 (사직동, 동원아파트)",부산광역시 동래구 사직동 139번지 5호,35.20137344,129.0730144,84,101,Y,주거시설,051-550-4131,동래구청,2020-12-03
"동래한양아파트",공공용,"부산광역시 동래구 충렬대로 314 (낙민동, 동래한양아파트)",부산광역시 동래구 낙민동 172번지,35.19844793,129.0916474,2957,3584,Y,주거시설,051-550-4131,동래구청,2020-12-03
"해바라기2차아파트",공공용,부산광역시 동래구 충렬대로202번길 14 (해바라기아파트),부산광역시 동래구 수안동 665번지 1호,35.20077417,129.0812226,791,958,Y,주거시설,051-550-4131,동래구청,2020-12-03
"광혜병원",공공용,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",부산광역시 동래구 온천동 1426번지 6호,35.20696836,129.0711453,825,1000,Y,주거시설,051-550-4131,동래구청,2020-12-03
"로얄1차아파트",공공용,부산광역시 동래구 사직북로50번길 33,부산광역시 동래구 사직동 634번지 1호,35.20121721,129.0588524,248,300,Y,주거시설,051-550-4131,동래구청,2020-12-03
"로얄3차아파트",공공용,부산광역시 동래구 쇠미로 95 (로얄맨션3차),부산광역시 동래구 사직동 630번지,35.20249513,129.0567596,495,600,Y,주거시설,051-550-4131,동래구청,2020-12-03
"한사랑아파트",공공용,"부산광역시 동래구 아시아드대로255번가길 8-9 (온천동, 한사랑아파트)",부산광역시 동래구 온천동 1350번지,35.20809102,129.0676292,1899,2301,Y,주거시설,051-550-4131,동래구청,2020-12-03
"동서산장",공공용,"부산광역시 동래구 쇠미로 209-3 (온천동, 동서산장)",부산광역시 동래구 온천동 1186번지 23호,35.20932781,129.0631646,99,120,Y,주거시설,051-550-4131,동래구청,2020-12-03
"동남온천맨션",공공용,"부산광역시 동래구 여고북로 141 (온천동, 동남온천맨션)",부산광역시 동래구 온천동 1467번지 6호,35.20198013,129.0723125,66,80,Y,공공기관,051-550-4131,동래구청,2020-12-03
"럭키아파트",공공용,부산광역시 동래구 충렬대로107번길 54 (럭키아파트),부산광역시 동래구 온천동 707번지,35.20984183,129.0744148,8765,10624,Y,공공기관,051-550-4131,동래구청,2020-12-03
"대건아파트",공공용,부산광역시 동래구 쇠미로 93 (사직동),부산광역시 동래구 사직동 588번지 6호,35.20237214,129.0559045,182,220,Y,주거시설,051-550-4131,동래구청,2020-12-03
"학성여객",공공용,부산광역시 동래구 미남로 58 (학성여객),부산광역시 동래구 사직동 151번지 1호,35.19917849,129.0706986,323,391,Y,주거시설,051-550-4131,동래구청,2020-12-03
"대곡그린빌라",공공용,"부산광역시 동래구 사직북로48번길 194 (온천동, 대곡빌라)",부산광역시 동래구 온천동 1222번지 11호,35.20656904,129.0650392,966,1170,Y,공공기관,051-550-4131,동래구청,2020-12-03
"동일아파트",공공용,부산광역시 동래구 쇠미로 91 (사직동),부산광역시 동래구 사직동 620번지 1호,35.20164602,129.0561092,710,860,Y,주거시설,051-550-4131,동래구청,2020-12-03
"백산아파트4동",공공용,"부산광역시 동래구 여고로127번길 65 (사직동, 동래백산아파트)",부산광역시 동래구 사직동 141번지 10호,35.20165037,129.0749443,299,362,Y,기타,051-550-4131,동래구청,2020-12-03
"백산아파트5동",공공용,"부산광역시 동래구 여고로127번길 65 (사직동, 동래백산아파트)",부산광역시 동래구 사직동 141번지 10호,35.20165037,129.0749443,258,312,Y,기타,051-550-4131,동래구청,2020-12-03
"협진태양2동",공공용,"부산광역시 동래구 반송로339번길 8 (명장동, 협진태양아파트)",부산광역시 동래구 명장동 497번지 1호,35.20979086,129.1033945,149,180,Y,주거시설,051-550-4131,동래구청,2020-12-03
"사직동교회",공공용,"부산광역시 동래구 사직북로34번길 59 (사직동, 사직동교회)",부산광역시 동래구 사직동 23번지 8호,35.20077236,129.0624435,469,568,Y,주거시설,051-550-4131,동래구청,2020-12-03
"동래교육지원청",공공용,"부산광역시 동래구 동래로179번길 31 (복천동, 동래교육지원청)",부산광역시 동래구 복천동 72번지 8호,35.2052784,129.0903789,122,147,Y,공공기관,051-550-4131,동래구청,2020-12-03
"우성베스토피아",공공용,부산광역시 동래구 복천로5번길 34 (우성베스토피아),부산광역시 동래구 복천동 500번지 1호,35.20583046,129.0872394,5334,6465,Y,공공기관,051-550-4131,동래구청,2020-12-03
"남흥아파트",공공용,"부산광역시 동래구 충렬대로428번가길 19 (안락동, 안락남흥아파트)",부산광역시 동래구 안락동 600번지 6호,35.19507733,129.1051228,495,600,Y,기타,051-550-4131,동래구청,2020-12-03
"명장2동 행정복지센터",공공용,"부산광역시 동래구 명서로 168 (명장동, 명장제2동주민센터)",부산광역시 동래구 명장동 326번지 4호,35.20795588,129.1024128,99,120,Y,공공기관,051-550-4131,동래구청,2020-12-03
"동래봉생병원 별관",공공용,"부산광역시 동래구 안연로109번길 23 (안락동, 봉생병원별관)",부산광역시 동래구 안락동 766번지 2호,35.19691927,129.0965302,129,156,Y,주거시설,051-550-4131,동래구청,2020-12-03
"동래화목타운",공공용,"부산광역시 동래구 충렬사로 39 (안락동, 동래화목타운)",부산광역시 동래구 안락동 962번지,35.20289614,129.096895,7684,9313,Y,주거시설,051-550-4131,동래구청,2020-12-03
"현대그랜드빌라",공공용,"부산광역시 동래구 석사북로95번길 48-26 (온천동, 현대그랜드빌라)",부산광역시 동래구 온천동 1220번지 1호,35.20762305,129.064927,248,300,Y,주거시설,051-550-4131,동래구청,2020-12-03
"허심청",공공용,"부산광역시 동래구 온천장로107번길 32 (온천동, 허심청)",부산광역시 동래구 온천동 137번지,35.2211551,129.0826866,4412,5347,Y,주거시설,051-550-4131,동래구청,2020-12-03
"온천파크오피스텔",공공용,"부산광역시 동래구 금강로 107 (온천동, 온천파크오피스텔)",부산광역시 동래구 온천동 208번지 2호,35.21838536,129.079053,1231,1492,Y,기타,051-550-4131,동래구청,2020-12-03
"온천화신아파트",공공용,부산광역시 동래구 쇠미로235번길 9 (온천화신아파트),부산광역시 동래구 온천동 1129번지 2호,35.21114522,129.0641605,735,890,Y,주거시설,051-550-4131,동래구청,2020-12-03
"부광빌딩",공공용,부산광역시 동래구 명륜로112번길 131 (칠산동),부산광역시 동래구 칠산동 161번지 1호,35.20235532,129.0898994,231,280,Y,공공기관,051-550-4131,동래구청,2020-12-03
"동림빌딩",공공용,"부산광역시 동래구 충렬대로237번길 66 (복천동, 동림빌딩)",부산광역시 동래구 복천동 295번지 5호,35.20436659,129.084858,327,396,Y,주거시설,051-550-4131,동래구청,2020-12-03
"화인아파트",공공용,"부산광역시 동래구 쇠미로235번길 12 (온천동, 화인그린아파트)",부산광역시 동래구 온천동 1119번지,35.21144594,129.0647413,226,273,Y,주거시설,051-550-4131,동래구청,2020-12-03
