"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"부산은행 전포동지점",공공용,부산광역시 부산진구 중앙대로 807(부전동),부산광역시 부산진구 부전동 22-1,35.163842,129.0634493,1452,1760,Y,주차장,051-605-6512,부전1동,2020-08-12
"서면지하철역",공공용,부산광역시 부산진구 중앙대로 지하 737(부전동),부산광역시 부산진구 부전동 573-1,35.1602333570,129.0611056880,4125,5000,Y,지하철역 및 상가,051-605-6512,부전1동,2020-08-12
"서면지하상가",공공용,부산광역시 부산진구 중앙대로 지하 737(부전동),부산광역시 부산진구 부전동 573-1,35.1602333570,129.0611056880,4125,5000,Y,지하보도 및 상가,051-605-6512,부전1동,2020-08-12
"신한은행 부전동지점",공공용,부산광역시 부산진구 중앙대로 748(부전동),부산광역시 부산진구 부전동 130-3,35.159031,129.0605655,660,800,Y,주차장,051-605-6512,부전1동,2020-08-12
"신한은행 서면지점",공공용,부산광역시 부산진구 새싹로 6(부전동),부산광역시 부산진구 부전동 260-47,35.15872365,129.0587369,1036,1256,Y,주차장,051-605-6512,부전1동,2020-08-12
"신동아오피스텔",공공용,부산광역시 부산진구 가야대로 749-1(부전동),부산광역시 부산진구 부전동 426-7,35.158166,129.0536649,660,800,Y,주차장,051-605-6512,부전1동,2020-08-12
"유원오피스텔",공공용,부산광역시 부산진구 서면문화로 27(부전동),부산광역시 부산진구 부전동 474-80,35.15943308,129.055547,8250,10000,Y,주차장,051-605-6512,부전1동,2020-08-12
"메리츠종금증권",공공용,부산광역시 부산진구 중앙대로 766(부전동),부산광역시 부산진구 부전동 91-5,35.160459,129.061868,6719,8144,Y,주차장,051-605-6512,부전1동,2020-08-12
"부전지하철역",공공용,부산광역시 부산진구 중앙대로 지하 786(부전동),부산광역시 부산진구 부전동 573-1,35.1626340687,129.0630098531,4479,5429,Y,지하철역,051-605-6512,부전1동,2020-08-12
"부산시민공원 주차장",공공용,부산광역시 부산진구 시민공원로 73(부전동),부산광역시 부산진구 범전동 200,35.16545561,129.0558558,12267,14869,Y,주차장,051-605-6512,부전1동,2020-08-12
"도시개발공사",공공용,부산광역시 부산진구 신천대로 156(부전동),부산광역시 부산진구 부전동 384-7,35.155918,129.0513889,5811,7044,Y,주차장,051-605-6533,부전2동,2020-08-12
"담배인삼공사",공공용,부산광역시 부산진구 부전로 29(부전동),부산광역시 부산진구 부전동 526-16,35.152822,129.056083,2300,2788,Y,주차장,051-605-6533,부전2동,2020-08-12
"교보생명",공공용,부산광역시 부산진구 중앙대로 658(부전동),부산광역시 부산진구 부전동 536-3,35.151549,129.0595563,4244,5144,Y,주차장,051-605-6533,부전2동,2020-08-12
"대현지하상가",공공용,부산광역시 부산진구 중앙대로 지하 717(부전동),부산광역시 부산진구 부전동 573-1,35.1552383001,129.0591406261,9900,12000,Y,상가,051-605-6533,부전2동,2020-08-12
