"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"덕천지하철역",공공용,부산광역시 북구 백양대로 1203-1,부산광역시 북구 구포동 146-5,35.20964546,129.0051392,4509,5465,Y,지하역,051-333-6328,덕천지하철역,2021-03-26
"서원유통",공공용,부산광역시 북구 낙동대로1762번길 55,부산광역시 북구 구포동 432-6,35.20733252,129.0011026,495,600,Y,주차장,051-334-7571,서원유통,2021-03-26
"구포신용협동조합",공공용,부산광역시 북구 구포시장길 48,부산광역시 북구 구포동 614-71,35.2072301,129.0029235,304,368,Y,주차장,051-341-1031,구포신용협동조합,2021-03-26
"시온성교회(구 구포제일교회)",공공용,부산광역시 북구 낙동대로1762번길 105,부산광역시 북구 구포동 717-20,35.20520598,129.0011854,1326,1607,Y,주차장,051-331-6781,시온성교회(구 구포제일교회),2021-03-26
"구포오바드빌",공공용,부산광역시 북구 가람로52번길 29,부산광역시 북구 구포동 401-1,35.2064832,129.0005698,943,1143,Y,주차장,051-342-5801,구포오바드빌,2021-03-26
"북구청",공공용,부산광역시 북구 낙동대로1570번길 33,부산광역시 북구 구포동 1124-1,35.19687971,128.9900968,504,611,Y,교육장,051-309-4135,북구청,2021-03-26
"구남지하철역",공공용,부산광역시 북구 백양대로 지하 1026,부산광역시 북구 구포동 897-21,35.19692054,128.9949984,3841,4656,Y,지하역,051-342-4603,구남지하철역,2021-03-26
"구명지하철역",공공용,부산광역시 북구 백양대로 지하 1094,부산광역시 북구 구포동 969-1,35.20274242,128.999502,4357,5281,Y,지하역,051-338-2761,구명지하철역,2021-03-26
"현대아파트",공공용,부산광역시 북구 백양대로 1003,부산광역시 북구 구포동 1103-2,35.19553544,128.9935331,10894,13205,Y,주차장,051-335-8191,현대아파트,2021-03-26
"에이스타운",공공용,부산광역시 북구 백양대로 1098,부산광역시 북구 구포동 986-56,35.2022669,128.9997636,949,1150,Y,주차장,051-341-4206,에이스타운,2021-03-26
"삼정그린코아",공공용,부산광역시 북구 백양대로1016번길 10,부산광역시 북구 구포동 1095-2,35.19551379,128.9950694,12562,15227,Y,주차장,051-338-3006,삼정그린코아,2021-03-26
"해피투모로우APT",공공용,부산광역시 북구 낙동북로 692,부산광역시 북구 구포동 972-54,35.20007648,128.9993618,4471,5419,Y,주차장,051-337-2920,해피투모로우APT,2021-03-26
"유림노르웨이숲APT",공공용,부산광역시 북구 낙동북로 737,부산광역시 북구 구포동 1293,35.19617457,129.0029505,34318,5644,Y,주차장,051-335-4112,유림노르웨이숲APT,2021-03-26
"봄여름가을겨울",공공용,부산광역시 북구 낙동대로1762번길 50,부산광역시 북구 구포동 394,35.20727548,129.0002006,2982,3615,Y,주차장,051-309-6215,봄여름가을겨울,2021-03-26
"부산과학기술대(구:부산정보대)",공공용,부산광역시 북구 시랑로132번길 88,부산광역시 북구 구포동 870,35.19419427,129.0053038,4089,4956,Y,주차장,051-330-7035,부산과학기술대(구:부산정보대),2021-03-26
"벽산2차APT",공공용,부산광역시 북구 시랑로94번길 97,부산광역시 북구 구포동 1256-5,35.19359913,129.0082752,691,838,Y,주차장,051-331-5144,벽산2차APT,2021-03-26
"태평양APT",공공용,부산광역시 북구 시랑로 176,부산광역시 북구 구포동 1247-10,35.19541428,129.0137959,2658,3222,Y,주차장,051-937-6546,태평양APT,2021-03-26
"백양APT",공공용,부산광역시 북구 시랑로 183,부산광역시 북구 구포동 1243-9,35.1954751,129.0151235,694,841,Y,주차장,051-338-1526,백양APT,2021-03-26
"곡산APT",공공용,부산광역시 북구 모분재로149번길 35,부산광역시 북구 구포동 857-5,35.19818064,129.0136934,942,1142,Y,주차장,051-331-5479,곡산APT,2021-03-26
"신진2차APT",공공용,부산광역시 북구 시랑로170번길 51,부산광역시 북구 구포동 1250-2,35.19455842,129.0113673,909,1102,Y,주차장,051-341-0682,신진2차APT,2021-03-26
"태경APT",공공용,부산광역시 북구 시랑로138번길 8,부산광역시 북구 구포동 1251-2,35.1944267,129.0097768,1015,1230,Y,주차장,051-342-4074,태경APT,2021-03-26
"백조APT",공공용,부산광역시 북구 시랑로 158,부산광역시 북구 구포동 1248-7,35.19571582,129.0123542,740,897,Y,주차장,051-341-7780,백조APT,2021-03-26
"경원골든APT",공공용,부산광역시 북구 모분재로149번길 25,부산광역시 북구 구포동 857-10,35.19776226,129.0128482,641,777,Y,주차장,051-337-2159,경원골든APT,2021-03-26
"태평양그린APT",공공용,부산광역시 북구 모분재로149번길 53,부산광역시 북구 구포동 851,35.19851145,129.0118435,2810,3406,Y,주차장,051-343-6081,태평양그린APT,2021-03-26
"삼경장미APT",공공용,부산광역시 북구 시랑로21번길 50,부산광역시 북구 구포동 49,35.20379647,129.0067697,1772,2148,Y,주차장,051-342-9051,삼경장미APT,2021-03-26
"동성APT",공공용,부산광역시 북구 시랑로79번길 20-5,부산광역시 북구 구포동 1224,35.19823431,129.0071566,1230,1491,Y,주차장,051-337-4784,동성APT,2021-03-26
"벽산3차APT",공공용,부산광역시 북구 시랑로182번길 19,부산광역시 북구 구포동 1246-4,35.19472542,129.0138184,612,742,Y,주차장,051-338-2879,벽산3차APT,2021-03-26
"대우APT",공공용,부산광역시 북구 모분재로105번길 43-7,부산광역시 북구 구포동 849-1,35.19840226,129.0103433,1587,1924,Y,주차장,051-336-9127,대우APT,2021-03-26
"구포도시APT",공공용,부산광역시 북구 시랑로114번길 12,부산광역시 북구 구포동 1259-26,35.19548648,129.0074962,2380,2885,Y,주차장,051-338-7260,구포도시APT,2021-03-26
"삼정(정보)고",공공용,부산광역시 북구 시랑로118번길 53,부산광역시 북구 구포동 1251-1,35.19360198,129.0100581,1623,1967,Y,주차장,051-361-9806,삼정(정보)고,2021-03-26
"지하철율리역",공공용,부산광역시 북구 금곡대로 지하 440,부산광역시 북구 금곡동 1241,35.24716837,129.0129178,3626,4395,Y,지하역,051-342-5394,지하철율리역,2021-03-26
"주공APT3단지",공공용,부산광역시 북구 효열로220번길 23,부산광역시 북구 금곡동 57-1,35.26457989,129.0218572,7897,9572,Y,주차장,051-363-2126,주공APT3단지,2021-03-26
"주공APT5단지",공공용,부산광역시 북구 효열로37번길 22,부산광역시 북구 금곡동 1112-2,35.24999492,129.0133699,6083,7373,Y,주차장,051-361-2035,주공APT5단지,2021-03-26
"주공APT6단지",공공용,부산광역시 북구 효열로 40,부산광역시 북구 금곡동 1110,35.24895597,129.0154183,3851,4668,Y,주차장,051-362-2010,주공APT6단지,2021-03-26
"주공APT7단지",공공용,부산광역시 북구 금곡대로550번길 23,부산광역시 북구 금곡동 811,35.25676507,129.0132827,4374,5302,Y,주차장,051-362-2602,주공APT7단지,2021-03-26
"주공APT8단지",공공용,부산광역시 북구 효열로 134,부산광역시 북구 금곡동 810,35.25823425,129.0152042,4853,5882,Y,주차장,051-362-2061,주공APT8단지,2021-03-26
"주공APT9단지",공공용,부산광역시 북구 효열로 98,부산광역시 북구 금곡동 810,35.25573814,129.0142854,4311,5225,Y,주차장,051-362-2061,주공APT9단지,2021-03-26
"화목APT",공공용,부산광역시 북구 효열로220번길 22,부산광역시 북구 금곡동 97-10,35.26194618,129.0199284,3537,4287,Y,주차장,051-361-6767,화목APT,2021-03-26
"한솔APT",공공용,부산광역시 북구 효열로 265,부산광역시 북구 금곡동 56-1,35.26603417,129.0183026,4615,5594,Y,대피소,051-362-3254,한솔APT,2021-03-26
"유림1차APT",공공용,부산광역시 북구 금곡대로470번길 33,부산광역시 북구 금곡동 1425,35.25252713,129.0130986,767,930,Y,주차장,051-361-3725,유림1차APT,2021-03-26
"유림2차APT",공공용,부산광역시 북구 금곡대로616번길 57,부산광역시 북구 금곡동 94-1,35.26326825,129.0159969,3322,4027,Y,주차장,051-363-1265,유림2차APT,2021-03-26
"대건APT(유림2차)",공공용,부산광역시 북구 효열로 193,부산광역시 북구 금곡동 96-1,35.26274546,129.0170696,3289,3987,Y,주차장,051-362-0244,대건APT(유림2차),2021-03-26
"동원역삼정그린코아",공공용,부산광역시 북구 효열로 135,부산광역시 북구 금곡동 832,35.25803744,129.0141885,20197,24481,Y,주차장,051-365-7506,동원역삼정그린코아,2021-03-26
"신화명리버뷰자이",공공용,부산광역시 북구 금곡대로470번길 29,부산광역시 북구 금곡동 1918,35.25138621,129.0121683,21068,25537,Y,주차장,051-363-9331,신화명리버뷰자이,2021-03-26
"지하철수정역",공공용,부산광역시 북구 금곡대로 지하 160,부산광역시 북구 화명동 941-1,35.22307881,129.0091467,5005,6067,Y,지하역,051-338-9359,지하철수정역,2021-03-26
"보경그린맨션",공공용,부산광역시 북구 금곡대로200번길 63,부산광역시 북구 화명동 886,35.22676233,129.0145441,661,801,Y,주차장,051-338-0610,보경그린맨션,2021-03-26
"화명대림타운",공공용,부산광역시 북구 금곡대로 268,부산광역시 북구 화명동 1170-1,35.23141164,129.0151334,26671,32328,Y,주차장,051-362-1710,화명대림타운,2021-03-26
"현대APT",공공용,부산광역시 북구 화명대로 87,부산광역시 북구 화명동 733,35.23510778,129.0172241,2083,2525,Y,주차장,051-363-6663,현대APT,2021-03-26
"유림APT",공공용,부산광역시 북구 화명대로 110,부산광역시 북구 화명동 749,35.2350629,129.0204005,2179,2641,Y,주차장,051-363-8100,유림APT,2021-03-26
"대우푸르지오APT",공공용,부산광역시 북구 화명대로 104,부산광역시 북구 화명동 752,35.23422533,129.0192495,1759,2132,Y,주차장,051-363-8500,대우푸르지오APT,2021-03-26
"롯데캐슬APT P5구역",공공용,부산광역시 북구 금곡대로 166,부산광역시 북구 화명동 2324,35.22636131,129.0122103,23030,27915,Y,주차장,051-365-4044,롯데캐슬APT P5구역,2021-03-26
"지하철화명역",공공용,부산광역시 북구 금곡대로 지하 311,부산광역시 북구 화명동 1458-9,35.23580289,129.0138758,4912,5954,Y,지하역,051-341-5986,지하철화명역,2021-03-26
"평화의집",공공용,부산광역시 북구 양달로 65,부산광역시 북구 화명동 254,35.24425233,129.0198665,271,328,Y,강당,051-331-4344,평화의집,2021-03-26
"화명그린APT21B",공공용,부산광역시 북구 양달로 69,부산광역시 북구 화명동 295,35.24495776,129.0228153,2479,3005,Y,주차장,051-362-5561,화명그린APT21B,2021-03-26
"코오롱APT",공공용,부산광역시 북구 양달로 80-11,부산광역시 북구 화명동 310,35.24305075,129.0234183,5901,7153,Y,주차장,051-362-0635,코오롱APT,2021-03-26
"벽산강변APT",공공용,부산광역시 북구 양달로9번길 21,부산광역시 북구 화명동 188,35.24539649,129.0135331,4628,5610,Y,대피소,051-362-0077,벽산강변APT,2021-03-26
"경남APT",공공용,부산광역시 북구 대천천길 37,부산광역시 북구 화명동 196,35.24110704,129.0155491,19504,23641,Y,주차장,051-361-6423,경남APT,2021-03-26
"코오롱하늘채APT1차",공공용,부산광역시 북구 화명신도시로 70,부산광역시 북구 화명동 2290,35.23078381,129.0115331,3960,4800,Y,주차장,051-342-1922,코오롱하늘채APT1차,2021-03-26
"수정강변타운",공공용,부산광역시 북구 학사로17번길 31,부산광역시 북구 화명동 2322,35.22132024,129.0060108,4290,5200,Y,주차장,051-341-7520,수정강변타운,2021-03-26
"현대2차APT",공공용,부산광역시 북구 화명신도시로 48,부산광역시 북구 화명동 2307,35.22730986,129.0100152,2475,3000,Y,주차장,051-364-2111,현대2차APT,2021-03-26
"코오롱하늘채APT2차",공공용,부산광역시 북구 화명신도시로 100,부산광역시 북구 화명동 2288,35.2315614,129.0123168,3960,4800,Y,주차장,051-335-5788,코오롱하늘채APT2차,2021-03-26
"대우이안APT",공공용,부산광역시 북구 화명신도시로 145,부산광역시 북구 화명동 2262,35.23716982,129.0099554,3300,4000,Y,주차장,051-939-1600,대우이안APT,2021-03-26
"롯데APT낙천대",공공용,부산광역시 북구 화명신도시로 156,부산광역시 북구 화명동 2264,35.23746027,129.0118734,5775,7000,Y,주차장,051-333-2264,롯데APT낙천대,2021-03-26
"대림쌍용강변타운",공공용,부산광역시 북구 화명신도시로 39,부산광역시 북구 화명동 2306,35.22643974,129.0070593,5363,6500,Y,주차장,051-343-7330,대림쌍용강변타운,2021-03-26
"남산정역",공공용,부산광역시 북구 만덕대로 지하 179,부산광역시 북구 만덕동 706-6,35.21332963,129.024156,2866,3474,Y,지하철,051-343-4365,남산정역,2021-03-26
"숙등역",공공용,부산광역시 북구 만덕대로 지하 79,부산광역시 북구 덕천동 462,35.21214485,129.0134712,3322,4027,Y,지하철,051-361-4365,숙등역,2021-03-26
"대방APT",공공용,부산광역시 북구 만덕대로90번길 13,부산광역시 북구 덕천동 388-1,35.21159352,129.0150036,1270,1539,Y,주차장,051-341-1707,대방APT,2021-03-26
"기비골마을",공공용,부산광역시 북구 만덕대로155번길 86-9,부산광역시 북구 덕천동 814-1,35.21803873,129.0211189,2636,3195,Y,주차장,051-341-8184,기비골마을,2021-03-26
"태림빌딩",공공용,부산광역시 북구 의성로115번길 33,부산광역시 북구 덕천동 411-7,35.21092369,129.0129096,726,880,Y,주차장,051-338-2550,태림빌딩,2021-03-26
KT구포지점(한국통신),공공용,부산광역시 북구 만덕대로 134,부산광역시 북구 덕천동 391-7,35.21249505,129.0199231,330,400,Y,대피소,051-335-6699,KT구포지점(한국통신),2021-03-26
