"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"동양한신APT",공공용,부산광역시 사상구 운산로 25,,35.16960059,128.9799537,2554,3096,Y,,,동양한신APT,2021-06-29
"(주)퍼시스",공공용,부산광역시 사상구 낙동대로 1266,,35.17298574,128.9775071,465,564,Y,,,(주)퍼시스,2021-06-29
"모라지하철역사",공공용,부산광역시 사상구 사상로 지하 498,,35.18964146,128.9886072,3750,4545,Y,,,모라지하철역사,2021-06-29
"부산은행",공공용,부산광역시 사상구 사상로 448,,35.1843921,128.9869074,462,560,N,,,부산은행,2021-06-29
"모라교회",공공용,부산광역시 사상구 모덕로95번길 101,,35.18573924,128.9874855,488,592,Y,,,모라교회,2021-06-29
"(주)농심",공공용,부산광역시 사상구 사상로455번길 46,,35.18645578,128.9843803,304,368,Y,,,(주)농심,2021-06-29
"삼정그린APT",공공용,부산광역시 사상구 백양대로934번길 20,,35.18889624,128.9929115,1626,1971,Y,,,삼정그린APT,2021-06-29
"창신APT",공공용,부산광역시 사상구 백양대로902번길 46,,35.18720304,128.9928728,825,1000,Y,,,창신APT,2021-06-29
"화인APT",공공용,부산광역시 사상구 백양대로934번길 52-6,,35.18996163,128.9939062,1729,2096,Y,,,화인APT,2021-06-29
"학산그린타운",공공용,부산광역시 사상구 모라로 136-20,,35.18530604,128.9935861,1452,1760,Y,,,학산그린타운,2021-06-29
"무학APT",공공용,부산광역시 사상구 백양대로 846,,35.18193995,128.9887225,792,960,Y,,,무학APT,2021-06-29
"우성APT",공공용,부산광역시 사상구 백양대로 916,,35.18776268,128.9910642,5973,7240,Y,,,우성APT,2021-06-29
"우신APT",공공용,부산광역시 사상구 백양대로 880,,35.18311269,128.9912801,8510,10315,Y,,,우신APT,2021-06-29
"동원APT",공공용,부산광역시 사상구 백양대로 879,,35.18402168,128.989928,5544,6720,Y,,,동원APT,2021-06-29
"벽산APT",공공용,부산광역시 사상구 백양대로934번길 84,,35.19167904,128.9941051,12127,14699,Y,,,벽산APT,2021-06-29
"모라3동주민센터",공공용,부산광역시 사상구 모라로110번길 99,,35.18465609,128.9960597,220,267,N,,,모라3동주민센터,2021-06-29
"주공1단지아파트",공공용,부산광역시 사상구 모라로110번길 121,,35.18440783,128.9979987,6652,8063,Y,,,주공1단지아파트,2021-06-29
"백양그린아파트",공공용,부산광역시 사상구 모라로110번길 88,,35.18274759,128.9937519,4423,5361,Y,,,백양그린아파트,2021-06-29
"주공3단지아파트",공공용,부산광역시 사상구 모라로192번길 20-21,,35.18340112,129.0006787,6226,7547,Y,,,주공3단지아파트,2021-06-29
"주공4단지아파트",공공용,부산광역시 사상구 모라로192번길 50,,35.18378679,129.0015531,3738,4531,Y,,,주공4단지아파트,2021-06-29
"남영APT",공공용,부산광역시 사상구 백양대로 716,,35.1705967,128.9888983,2373,2876,Y,,,남영APT,2021-06-29
"경동메르빌",공공용,부산광역시 사상구 덕상로 8-37,,35.1709542,128.9901757,12656,15340,Y,,,경동메르빌,2021-06-29
"덕포지하철역사",공공용,부산광역시 사상구 사상로 지하 320-1,,35.17395067,128.9839665,3670,4448,Y,,,덕포지하철역사,2021-06-29
"모덕지하철역사",공공용,부산광역시 사상구 사상로 지하 409,,35.18039853,128.9855633,3049,3696,Y,,,모덕지하철역사,2021-06-29
"부원파크타운 5동",공공용,부산광역시 사상구 백양대로804번길 31,,35.18127476,128.9908137,165,200,Y,,,부원파크타운,2021-06-29
"자유APT 1동",공공용,부산광역시 사상구 백양대로 820,,35.1800254,128.9887505,620,752,Y,,,자유APT,2021-06-29
"오양힐타운 101동",공공용,부산광역시 사상구 덕상로 8-35,,35.17210386,128.9897516,950,1152,Y,,,오양힐타운,2021-06-29
"벽산하나로타운 1동",공공용,부산광역시 사상구 덕상로 26-14,,35.1734539,128.9911718,1265,1533,Y,,,벽산하나로타운,2021-06-29
"신익타운 1동",공공용,부산광역시 사상구 덕상로 20,,35.17261733,128.9894348,745,903,Y,,,신익타운,2021-06-29
"덕포늘푸른아파트",공공용,부산광역시 사상구 사상로342번길 21,,35.1755719,128.9862302,2995,3630,Y,,,덕포늘푸른아파트,2021-06-29
"벽산블루밍아파트,",공공용,부산광역시 사상구 사상로342번길 39,,35.17538715,128.9872356,8955,10855,Y,,,"벽산블루밍아파트,",2021-06-29
"사상지하철역사",공공용,부산광역시 사상구 사상로 지하 203,,35.16246594,128.9846356,5534,6708,Y,,,사상지하철역사,2021-06-29
"한빛빌딩",공공용,부산광역시 사상구 사상로 196,,35.1627842,128.9848922,356,432,Y,,,한빛빌딩,2021-06-29
"청마마이우스",공공용,부산광역시 사상구 광장로56번길 67,,35.15919118,128.982098,660,800,Y,,,청마마이우스,2021-06-29
"부산산업용품유통단지",공공용,부산광역시 사상구 괘감로 37,,35.15975548,128.9804349,5973,7240,Y,,,부산산업용품유통단지,2021-06-29
"홈플러스 유통상가",공공용,부산광역시 사상구 광장로 7,,35.1643625,128.9777161,6699,8120,Y,,,홈플러스 유통상가,2021-06-29
"한국병원",공공용,부산광역시 사상구 광장로 33,,35.16328806,128.9804372,1079,1308,Y,,,한국병원,2021-06-29
"괘법한신2차아파트",공공용,부산광역시 사상구 낙동대로1210번길 33,,35.16797248,128.9784294,3713,4501,Y,,,괘법한신2차아파트,2021-06-29
"괘법LH아파트",공공용,부산광역시 사상구 광장로21번길 66,,35.16682291,128.9800795,4282,5190,Y,,,괘법LH아파트,2021-06-29
"은하하우스",공공용,부산광역시 사상구 사상로148번길 39,,35.15992392,128.9892924,1683,2040,Y,,,은하하우스,2021-06-29
"부산산업",공공용,부산광역시 사상구 장인로 35,,35.1437637,128.973097,325,394,Y,,,부산산업,2021-06-29
"부산산업용재유통상가",공공용,부산광역시 사상구 새벽로 131,,35.15327807,128.9810811,3546,4298,Y,,,부산산업용재유통상가,2021-06-29
E-마트(마트월드),공공용,부산광역시 사상구 낙동대로 910,,35.1413743,128.970598,6270,7600,Y,,,E-마트(마트월드),2021-06-29
LG텔레콤(주)부산교환국,공공용,부산광역시 사상구 감전천로 216,,35.15243513,128.9770754,1995,2418,Y,,,LG텔레콤(주)부산교환국,2021-06-29
"감전지하철역사",공공용,부산광역시 사상구 사상로 지하 93-1,,35.15553701,128.991266,2990,3624,Y,,,감전지하철역사,2021-06-29
"호승(재경)빌딩",공공용,부산광역시 사상구 사상로 123,,35.15736856,128.9890502,640,776,Y,,,호승(재경)빌딩,2021-06-29
"감전LH아파트",공공용,부산광역시 사상구 백양대로 539,,35.15532224,128.994241,2463,2985,Y,,,감전LH아파트,2021-06-29
"동영빌딩",공공용,부산광역시 사상구 새벽시장로103번길 21,,35.15557342,128.9850958,396,480,Y,,,동영빌딩,2021-06-29
"부산은행 감전지점",공공용,부산광역시 사상구 새벽로 160,,35.1552454,128.9834173,702,851,N,,,부산은행 감전지점,2021-06-29
"기아자동차서비스",공공용,부산광역시 사상구 가야대로 141,,35.14994879,128.9884256,759,920,N,,,기아자동차서비스,2021-06-29
LS산전㈜,공공용,부산광역시 사상구 대동로 290,,35.15295425,128.9869852,5913,7167,Y,,,LS산전㈜,2021-06-29
"사상구청사",공공용,부산광역시 사상구 학감대로 242,,35.15254918,128.9914565,1074,1302,Y,,,사상구청,2021-06-29
"동일1차아파트",공공용,부산광역시 사상구 백양대로494번길 10,,35.15388509,128.9994201,9232,11190,Y,,,동일1차아파트,2021-06-29
"동일2차아파트",공공용,부산광역시 사상구 양지로42번길 13,,35.15441638,129.0021719,3183,3858,Y,,,동일2차아파트,2021-06-29
"부산주례새마을금고",공공용,부산광역시 사상구 사상로 19,,35.15111194,128.9980202,210,255,N,,,부산주례새마을금고,2021-06-29
"주례1동 경동리인 아파트",공공용,부산광역시 사상구 백양대로 526,,35.15579312,128.9959911,3322,4027,Y,,,주례1동 경동리인 아파트,2021-06-29
"냉정지하철역사",공공용,부산광역시 사상구 가야대로 지하 362-1,,35.15126736,129.0125228,4640,5624,Y,,,냉정지하철역사,2021-06-29
"반도보라APT",공공용,부산광역시 사상구 백양대로 372-22,,35.15507572,129.0130643,13448,16301,Y,,,반도보라APT,2021-06-29
"경동윈츠빌",공공용,부산광역시 사상구 냉정로 120,,35.14940735,129.0133898,2700,3273,Y,,,경동윈츠빌,2021-06-29
"한효아파트",공공용,부산광역시 사상구 백양대로342번길 50,,35.15561645,129.0143636,8680,10521,Y,,,한효아파트,2021-06-29
"경남정보대학교 미래관",공공용,부산광역시 사상구 주례로 45,,35.14645116,129.0090688,2500,3030,Y,,,경남정보대학교,2021-06-29
"동서대학교 종합운동장 지하",공공용,부산광역시 사상구 주례로 57,,35.14636999,129.0096154,4971,6025,Y,,,동서대학교,2021-06-29
LG신주례아파트2단지,공공용,부산광역시 사상구 백양대로342번길 17,,35.15387891,129.0128505,19965,24200,Y,,,LG신주례아파트2단지,2021-06-29
"주례센텀아파트",공공용,부산광역시 사상구 백양대로 372-37,,35.15471279,129.0108257,1319,1599,Y,,,주례센텀아파트,2021-06-29
"주례지하철역사",공공용,부산광역시 사상구 가야대로 지하 292,,35.15050373,129.0031381,5430,6582,Y,,,주례지하철역사,2021-06-29
"현대무지개타운",공공용,부산광역시 사상구 주례로 93,,35.14496518,129.004986,6132,7433,Y,,,현대무지개타운,2021-06-29
"럭키APT",공공용,부산광역시 사상구 가야대로284번길 12,,35.14875186,129.0029196,4620,5600,Y,,,럭키APT,2021-06-29
"구덕터널",공공용,부산광역시 사상구 학감대로 1,,35.1340701,128.9976037,22474,27241,Y,,,구덕터널,2021-06-29
1차삼성아파트,공공용,부산광역시 사상구 대동로 148-29,,35.13892529,128.9836513,1158,1404,Y,,,1차삼성아파트,2021-06-29
"시립정신병원",공공용,부산광역시 사상구 학감대로39번길 104-36,,35.13300376,128.9952235,271,328,N,,,시립정신병원,2021-06-29
"현대자동차서비스",공공용,부산광역시 사상구 가야대로 86,,35.15038179,128.9820383,264,320,N,,,현대자동차서비스,2021-06-29
IBK기업은행,공공용,부산광역시 사상구 학장로 187,,35.14347355,128.9870048,1790,2170,Y,,,중소기업은행,2021-06-29
"학장삼정그린코아",공공용,부산광역시 사상구 학감대로123번길 67,,35.14098975,128.9850355,532,645,Y,,,학장삼정그린코아,2021-06-29
"구덕대림아파트",공공용,부산광역시 사상구 학감대로49번길 62,,35.13532023,128.9922391,1056,1280,Y,,,대림아파트,2021-06-29
"금강아파트",공공용,부산광역시 사상구 대동로64번길 25,,35.13587965,128.9787812,495,600,Y,,,금강아파트,2021-06-29
"목화아파트",공공용,부산광역시 사상구 대동로 104-8,,35.13821992,128.9804966,891,1080,Y,,,목화아파트,2021-06-29
"학장극동아파트",공공용,부산광역시 사상구 학감대로 109-43,,35.13893315,128.9875703,264,320,Y,,,극동아파트,2021-06-29
"학장벽산아파트",공공용,부산광역시 사상구 학감대로 105-21,,35.1391764,128.9894412,594,720,Y,,,벽산아파트,2021-06-29
"학장반도보라아파트",공공용,부산광역시 사상구 대동로 98,,35.13728994,128.9791708,726,880,Y,,,반도보라아파트,2021-06-29
"삼성2차 APT",공공용,부산광역시 사상구 학감대로123번길 75,,35.14049363,128.9836942,547,663,Y,,,삼성2차 APT,2021-06-29
"신구덕우성아파트(103동)",공공용,부산광역시 사상구 학감대로 109-16,,35.14008229,128.9869575,810,982,Y,,,신구덕우성아파트,2021-06-29
"다누림센터",공공용,부산광역시 사상구 가야대로196번길 51,,35.14744572,128.9948744,8468,10264,N,,,다누림센터,2021-06-29
"농협화훼공판장",공공용,부산광역시 사상구 강변대로 512,,35.13036853,128.9650193,1042,1263,Y,,,농협화훼공판장,2021-06-29
"엄궁롯데캐슬리버",공공용,부산광역시 사상구 엄궁북로 62,,35.1278007,128.9748518,6254,7581,Y,,,엄궁롯데캐슬리버,2021-06-29
"럭키아파트",공공용,부산광역시 사상구 대동로 34-25,,35.13440149,128.9767473,2499,3029,Y,,,럭키아파트,2021-06-29
"삼성타워아파트",공공용,부산광역시 사상구 대동로64번길 40,,35.13490255,128.9776913,1864,2259,Y,,,삼성타워아파트,2021-06-29
"코오롱아파트",공공용,부산광역시 사상구 엄궁로 142,,35.12607562,128.9782895,2984,3617,Y,,,코오롱아파트,2021-06-29
"쌍용스윗닷홈",공공용,부산광역시 사상구 엄궁로 100,,35.12503257,128.9766014,1631,1977,Y,,,쌍용스윗닷홈,2021-06-29
"신엄궁대동아파트",공공용,부산광역시 사상구 엄궁남로 43,,35.12392336,128.9734525,2274,2756,Y,,,신엄궁대동아파트,2021-06-29
"대림아파트",공공용,부산광역시 사상구 엄궁로 158,,35.12958254,128.9767728,1866,2262,Y,,,대림아파트,2021-06-29
"한신2차아파트",공공용,부산광역시 사상구 엄궁로 40,,35.124526,128.9691918,3948,4785,Y,,,한신2차아파트,2021-06-29
"휴그린아파트",공공용,부산광역시 사상구 낙동대로 784-13,,35.13057815,128.9725275,1165,1412,Y,,,휴그린아파트,2021-06-29
