"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"동주대학(도서관·제경관·청석관 지하,입구주차장)",공공용,"부산광역시 사하구 사리로55번길 16 (괴정동, 동주대학)",부산광역시 사하구 괴정동 산15-1,35.10672472,128.997232,1221,1480,Y,회의실,051-220-5062,괴정3동,2020-09-25
"동아대학교(생활과학대학 뒤편 주차장)",공공용,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교)",부산광역시 사하구 하단동 840,35.11880727,128.9680799,7379,8944,Y,주차장,051-220-5181,하단2동,2020-09-25
"한국수자원공사(지하식당)",공공용,부산광역시 사하구 낙동남로1233번길 84 (하단동),부산광역시 사하구 하단동 1149-7,35.10939844,128.9484867,1234,1496,Y,식당,051-220-5181,하단2동,2020-09-25
"신괴정화신아파트(주차장)",공공용,"부산광역시 사하구 오작로 68, 1층 (괴정동, 신괴정화신아파트)",부산광역시 사하구 괴정동 398-23,35.09928053,128.9994148,436,528,Y,주차장,051-220-5062,괴정3동,2020-09-25
"사하구종합사회복지관(감천2동)",공공용,"부산광역시 사하구 감내2로 21 (감천동, 사하종합복지회관)",부산광역시 사하구 감천동 12-278,35.09446513,129.0077002,231,280,Y,식당,051-220-5451,감천2동,2020-09-25
"삼성타워아파트(주차장)",공공용,"부산광역시 사하구 마하로 81 (당리동, 삼성타워맨션)",부산광역시 사하구 당리동 480-9,35.10640108,128.9846112630,429,520,Y,주차장,051-220-5127,당리동,2020-09-25
"해송아파트(103동, 109동 주차장)",공공용,"부산광역시 사하구 다대로 470 (다대동, 다대해송아파트)",부산광역시 사하구 다대동 113-11,35.06271736,128.9775682,1957,2372,Y,주차장,051-220-5367,다대2동,2020-09-25
"괴정자유2차아파트(전동 지하층)",공공용,"부산광역시 사하구 승학로233번길 50 (괴정동, 괴정자유2차아파트)",부산광역시 사하구 괴정동 1064-1,35.10303127,128.9905323,2633,3192,Y,주차장,051-220-5001,괴정1동,2020-09-25
"벽산으뜸아파트(전동 지하)",공공용,"부산광역시 사하구 다대로22번길 30 (당리동, 벽산으뜸아파트)",부산광역시 사하구 당리동 534-1,35.09848708,128.9762408,1901,2304,Y,지하실,051-220-5127,당리동,2020-09-25
"대동맨션(106동 지하주차장)",공공용,"부산광역시 사하구 다대로 289(장림동, 장림대동맨션)",부산광역시 사하구 장림동 307,35.07672958,128.9774939,1353,1640,Y,주차장,051-220-5301,장림2동,2020-09-25
