"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"동신초등학교",공공용,부산광역시 서구 대영로85번길 81-19(동대신동3가),부산광역시 서구 동대신동3가 315,35.11386005,129.0175903,423,513,Y,지하강당,051-240-6444,부산광역시 서구 동대신3동,2020-09-24
"구덕터널",공공용,부산광역시 서구 꽃마을로 88-7 (서대신동3가),부산광역시 서구 서대신동3가 30-12,35.12142677,129.0099719,8630,2610,Y,터널,051-240-6505,부산광역시 서구 서대신4동,2020-09-24
"아미초등학교 지하 공영주차장",공공용,부산광역시 서구 아미로 132-1 (아미동2가),부산광역시 서구 아미동2가 89,35.09877516,129.0155912,2500,3030,Y,주차장,051-240-6552,부산광역시 서구 아미동,2020-09-24
"동대신동지하철역",공공용,부산광역시 서구 구덕로 290 (동대신동2가),부산광역시 서구 동대신동2가 428-9,35.1104877877,129.0176207660,2911,3318,Y,지하철,051-240-6424,부산광역시 서구 동대신2동,2020-09-24
"국민건강보험공단",공공용,부산광역시 서구 구덕로285번길 7 (서대신동1가),부산광역시 서구 서대신동1가 52-11,35.10918442,129.0178259,498,200,Y,주차장,051-240-6467,부산광역시 서구 서대신1동,2020-09-24
"서부경찰서",공공용,부산광역시 서구 대영로 16 (서부경찰서),부산광역시 서구 서대신동2가 271,35.10984618,129.0135828,3362,4075,Y,주차장,051-240-6467,부산광역시 서구 서대신1동,2020-09-24
"서대신동지하철역",공공용,부산광역시 서구 대영로 1 (서대신동2가),부산광역시 서구 서대신동2가 338,35.1109018,129.0121719,6765,8200,Y,지하철,051-240-6467,부산광역시 서구 서대신1동,2020-09-24
"대티터널",공공용,부산광역시 서구 대티로108번길 11 (서대신동2가),부산광역시 서구 서대신동2가 453-7,35.10865427,129.0098161,7029,8520,Y,터널,051-240-6467,부산광역시 서구 서대신1동,2020-09-24
"아미동 토성지하철역",공공용,부산광역시 서구 구덕로 170 (토성동3가),부산광역시 서구 토성동3가 11-3,35.1007070222,129.0197861317,1993,2415,Y,주차장,051-240-6552,부산광역시 서구 아미동,2020-09-24
"충무동 토성지하철역",공공용,부산광역시 서구 구덕로 170 (토성동3가),부산광역시 서구 토성동3가 11-3,35.1007070222,129.0197861317,5610,6800,Y,지하철,051-240-6596,부산광역시 서구 충무동,2020-09-24
