"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
HITE맥주,공공용,부산광역시 연제구 반송로 69,부산광역시 연제구 연산동 582-6,35.1913694036,129.0869577671,1887,2287,Y,지하주차장,051-665-4131,연제구청,2021-06-10
KEB 하나은행,공공용,부산광역시 연제구 반송로 10,부산광역시 연제구 연산동 729-2,35.1864851026,129.0826751358,330,400,Y,아파트 지하주차장,051-665-4131,연제구청,2021-06-10
KT&G,공공용,부산광역시 연제구 월드컵대로 83,부산광역시 연제구 연산동 717-14,35.18177332,129.0832991,1408,1707,Y,기타,051-665-4131,연제구청,2021-06-10
KT연산지점,공공용,부산광역시 연제구 진남로 608,부산광역시 연제구 연산동 840-4,35.17387254,129.0803317,323,392,Y,교육시설,051-665-4131,연제구청,2021-06-10
sk브로드밴드빌딩,공공용,부산광역시 연제구 반송로 29,부산광역시 연제구 연산동 588-20,35.18815556,129.0838139,1917,2324,Y,아파트 지하주차장,051-665-4131,연제구청,2021-06-10
"거성교회",공공용,부산광역시 연제구 거제대로136번길 6,부산광역시 연제구 거제동 740-5,35.1803506,129.0697842,320,388,Y,종교시설,051-665-4131,연제구청,2021-06-10
"거성중학교",공공용,부산광역시 연제구 해맞이로109번길 61,부산광역시 연제구 거제동 643-173,35.18274334,129.0666617,459,556,Y,기타,051-665-4131,연제구청,2021-06-10
"거제2동새마을금고",공공용,부산광역시 연제구 아시아드대로46번길 3,부산광역시 연제구 거제동 1011-1,35.188975,129.0683389,198,240,Y,기타,051-665-4131,연제구청,2021-06-10
"거제2동주민센터",공공용,부산광역시 연제구 아시아드대로22번길 19,부산광역시 연제구 거제동 1180-8,35.1877629,129.0702883,284,344,Y,기타,051-665-4131,연제구청,2021-06-10
"거제교회",공공용,부산광역시 연제구 아시아드대로 12,부산광역시 연제구 거제동 878-7,35.1866667,129.0703427,1584,1920,Y,종교시설,051-665-4131,연제구청,2021-06-10
"거제동롯데캐슬아파트",공공용,부산광역시 연제구 세병로 44,부산광역시 연제구 거제동 1467-1,35.19337962,129.0845878,9277,11245,Y,아파트 지하주차장,051-665-4131,연제구청,2021-06-10
"거제동월드메르디앙아파트",공공용,부산광역시 연제구 거제천로 233,부산광역시 연제구 거제동 1468-1,35.19239789,129.0829864,4578,5549,Y,아파트 지하주차장,051-665-4131,연제구청,2021-06-10
"거제초등학교",공공용,부산광역시 연제구 해맞이로 39,부산광역시 연제구 거제동 676-152,35.1780704,129.0675708,231,280,Y,교육시설,051-665-4131,연제구청,2021-06-10
"경남아파트1동",공공용,부산광역시 연제구 거제대로214번길 6,부산광역시 연제구 거제동 38-45,35.18679282,129.0743735,561,680,Y,아파트 지하주차장,051-665-4131,연제구청,2021-06-10
"경남아파트2동",공공용,부산광역시 연제구 거제대로214번길 6,부산광역시 연제구 거제동 38-45,35.18670587,129.0743715505,472,572,Y,아파트 지하주차장,051-665-4131,연제구청,2021-06-10
