"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"노인복지회관",공공용,부산광역시 영도구 절영로29번길 14,부산광역시 영도구 대교동2가 159-10,35.0913300208,129.0400974921,241,292,Y,강당,051-419-5511,남항동주민센터,2021-07-21
"영도병원",공공용,부산광역시 영도구 태종로 85(대교동2가),부산광역시 영도구 대교동2가 71,35.0922419980,129.0405264404,1954,2368,Y,주차장,051-419-5511,남항동주민센터,2021-07-21
"영도화랑맨션",공공용,부산광역시 영도구 남항남로19번길 29(남항동3가),부산광역시 영도구 남항동3가 31,35.0866058684,129.0367329593,132,160,Y,회의실,051-419-5511,남항동주민센터,2021-07-21
"인제병원",공공용,부산광역시 영도구 절영로 21(대교동2가),부산광역시 영도구 대교동2가 62,35.0924132384,129.0400543095,214,259,Y,주차장,051-419-5511,남항동주민센터,2021-07-21
"한성빌딩",공공용,부산광역시 영도구 태종로 63(대교동1가),부산광역시 영도구 대교동1가 70-2,35.0929989899,129.0381588008,713,864,Y,주차장,051-419-5511,남항동주민센터,2021-07-21
"부산은행",공공용,부산광역시 영도구 절영로 27(대교동2가),부산광역시 영도구 대교동2가 147,35.0918266177,129.0397411384,201,244,Y,주차장,051-419-5511,남항동주민센터,2021-07-21
"제주은행영도지점",공공용,부산광역시 영도구 절영로 35(남항동1가),부산광역시 영도구 남항동1가 103-2,35.0911292950,129.0393605265,221,268,Y,주차장,051-419-5511,남항동주민센터,2021-07-21
"태종대새마을금고",공공용,부산광역시 영도구 남항로 7(남항동1가),부산광역시 영도구 남항동1가 59-2,35.0900488373,129.0374766489,264,320,Y,주차장,051-419-5511,남항동주민센터,2021-07-21
"한국전력영도지점",공공용,부산광역시 영도구 남항남로9번길 61(남항동2가),부산광역시 영도구 남항동2가 22-1,35.0884868098,129.0364858004,485,588,Y,식당,051-419-5511,남항동주민센터,2021-07-21
"한국통신영도전화국",공공용,부산광역시 영도구 남항서로 119(남항동1가),부산광역시 영도구 남항동1가 9,35.0910854247,129.0370712227,789,956,Y,강당,051-419-5511,남항동주민센터,2021-07-21
