"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"부산본부세관",공공용,부산광역시 중구 충장대로 20,부산광역시 중구 중앙동4가 17-26,35.1046453034,129.0378806470,991,1201,N,지하주차장,051-600-6314,중앙동,2021-07-13
"한국무역협회(무역회관)",공공용,부산광역시 중구 충장대로 11,부산광역시 중구 중앙동4가 87-7,35.1058197,129.0377364,1205,1461,Y,지하주차장,051-600-6314,중앙동,2021-07-13
"중앙동 지하철역",공공용,부산광역시 중구 중앙대로 지하83,부산광역시 중구 중앙동4가 26-3,35.10375579,129.036356,2543,3082,Y,지하주차장,051-600-6314,중앙동,2021-07-13
"광복지하상가(구,롯데)",공공용,부산광역시 중구 중앙대로 지하17,부산광역시 중구 중앙동6가 9-1,35.09972625,129.0363259,3666,4444,Y,지하주차장,051-600-6314,중앙동,2021-07-13
"부산우체국",공공용,부산광역시 중구 중앙대로 63,부산광역시 중구 중앙동3가 1,35.10336203,129.0359777,2054,2490,Y,지하주차장,051-600-6314,중앙동,2021-07-13
"국민은행부산지점",공공용,부산광역시 중구 중앙대로 49,부산광역시 중구 중앙동2가 15-1,35.10215914,129.0361276,424,514,Y,지하주차장,051-600-6314,중앙동,2021-07-13
"산업은행부산지점",공공용,부산광역시 중구 대청로 136,부산광역시 중구 중앙동2가 44-1,35.10253766,129.0348387,1008,1222,Y,지하주차장,051-600-6314,중앙동,2021-07-13
KT중부지점,공공용,부산광역시 중구 중앙대로 136,부산광역시 중구 중앙동4가 77-5,35.10954099,129.0376624,2571,3116,Y,지하주차장,051-600-6314,중앙동,2021-07-13
"유창빌딩",공공용,부산광역시 중구 중앙대로72,부산광역시 중구 중앙동4가 25-2,35.10416706,129.0367654,429,520,Y,지하주차장,051-600-6314,중앙동,2021-07-13
"마린센터",공공용,부산광역시 중구 충장대로9번길 52,부산광역시 중구 중앙동4가 79-1,35.11011486,129.0389049,660,800,Y,지하주차장,051-600-6314,중앙동,2021-07-13
"대동맨션",공공용,부산광역시 중구 동광길93번길 5,부산광역시 중구 동광동5가 16-11,35.10730962,129.0340186,684,829,Y,지하주차장,051-600-6421,동광동,2021-07-13
"부산데파트",공공용,부산광역시 중구 중앙대로21,부산광역시 중구 중앙동6가 66-3,35.09950947,129.0361407,1320,1600,Y,지하주차장,051-600-6421,동광동,2021-07-13
"조흥빌딩",공공용,부산광역시 중구 광복로97번길25-1,부산광역시 중구 동광동2가 16-1,35.10090961,129.0345482,194,235,Y,지하주차장,051-600-6421,동광동,2021-07-13
"한국투자증권",공공용,부산광역시 중구 해관로 1,부산광역시 중구 동광동1가 15,35.09897651,129.0356785863,454,550,Y,지하주차장,051-600-6421,동광동,2021-07-13
"애큐온저축은행(부산관광호텔주차장)",공공용,부산광역시 중구 광복로97번길24,부산광역시 중구 동광동2가 3-1,35.1006883,129.0350655,505,612,Y,지하주차장,051-600-6421,동광동,2021-07-13
"하나은행 동광지점",공공용,부산광역시 중구 광복로97번길18,부산광역시 중구 동광동2가 4,35.10023285,129.0353516,726,880,Y,지하주차장,051-600-6421,동광동,2021-07-13
"중구청",공공용,부산광역시 중구 중구로 120,부산광역시 중구 대청동1가 1-4,35.10619853,129.0323731,264,320,Y,지하대회의실,051-600-4635,대청동,2021-07-13
"새들맨션",공공용,부산광역시 중구 중구로 81,부산광역시 중구 대청동4가 79-1,35.10483421,129.0296585,267,324,Y,지하주차장,051-600-4635,대청동,2021-07-13
"부산평화방송(카톨릭센터)",공공용,부산광역시 중구 중구로 71,부산광역시 중구 대청동4가 81-1,35.10435495,129.0285719,314,381,Y,지하주차장,051-600-4635,대청동,2021-07-13
"메리놀병원",공공용,부산광역시 중구 중구로 121,부산광역시 중구 대청동 4가 12-9,35.10765135,129.0329875,687,833,Y,지하주차장,051-600-4635,대청동,2021-07-13
"창국빌딩",공공용,부산광역시 중구 대청로 126,부산광역시 중구 대청동1가 39-2,35.10261283,129.0335817,158,192,Y,지하주차장,051-600-4635,대청동,2021-07-13
"백성빌딩",공공용,부산광역시 중구 대청로 80,부산광역시 중구 대청동3가 20,35.1027832,129.0285856,594,720,Y,지하주차장,051-600-4635,대청동,2021-07-13
"광일공영주차장(광일초등교 지하주차장)",공공용,부산광역시 중구 중구로 74,부산광역시 중구 대청동3가 20,35.10400525,129.0298609,1592,1930,Y,지하주차장,051-600-4635,대청동,2021-07-13
"중부산세무서",공공용,부산광역시 중구 흑교로 64,부산광역시 중구 대청동4가 95,35.10531117,129.0248614,261,316,Y,지하주차장,051-600-6443,보수동,2021-07-13
"중앙도서관",공공용,부산광역시 중구 망양로193번길146,부산광역시 중구 보수동1가 50-4,35.11002508,129.0270921,1547,1875,Y,지하주차장,051-600-6443,보수동,2021-07-13
"청소년 문화의 집",공공용,부산광역시 중구 보수대로124번길24-2,부산광역시 중구 보수동2가 64-1,35.1057504,129.0226492,62,75,Y,지하주차장,051-600-6443,보수동,2021-07-13
"대림에이스타운",공공용,부산광역시 중구 법수길 72,부산광역시 중구 보수동1가 41-1,35.10672954,129.0253935,4132,5008,Y,지하주차장,051-600-6443,보수동,2021-07-13
"동인빌딩",공공용,부산광역시 중구 대청로 71,부산광역시 중구 보수동1가 144-4,35.10328219,129.0276242,429,520,Y,지하주차장,051-600-6443,보수동,2021-07-13
