"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"해운대더샵센텀누리아파트",공공용,"부산광역시 해운대구 해운대로 253 (재송동, 해운대더샵센텀누리)",부산광역시 해운대구 재송동 1223,35.17829729,129.1284052,1485,1800,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"센텀협성르네상스아파트",공공용,"부산광역시 해운대구 해운대로38번길 60 (재송동, 센텀협성르네상스타운)",부산광역시 해운대구 재송동 1324,35.1926897,129.1177931,1869,2265,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"센텀피오레1차아파트",공공용,"부산광역시 해운대구 수영강변대로 382 (재송동, 센텀피오레1차아파트)",부산광역시 해운대구 재송동 1302,35.19319472,129.1155554,3065,3715,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"대우마리나3차아파트",공공용,부산광역시 해운대구 해운대해변로 115 (대우마리나3차아파트),부산광역시 해운대구 우동 977,35.16204963,129.1451187,2883,3493,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"삼한5차 아파트",공공용,"부산광역시 해운대구 신반송로 72 (반송동, 삼한5차아파트)",부산광역시 해운대구 반송동 886,35.22664634,129.1624241,1492,1808,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"달맞이우성빌라트",공공용,"부산광역시 해운대구 달맞이길 239-11 (중동, 달맞이우성빌라트)",부산광역시 해운대구 중동 1479,35.16223792,129.1843245,1683,2040,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"협성그린아파트",공공용,"부산광역시 해운대구 우동1로 111 (우동, 협성그린파크)",부산광역시 해운대구 우동 347-2,35.17054823,129.1537587,1193,1446,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"센텀삼환아파트",공공용,"부산광역시 해운대구 해운대로 361 (우동, 센텀삼환아파트)",부산광역시 해운대구 우동 1100,35.17238755,129.1386189,3300,4000,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"삼진그린아파트",공공용,"부산광역시 해운대구 해운대로383번가길 19 (우동, 삼진그린아파트)",부산광역시 해운대구 우동 1102-29,35.17154303,129.140453,1650,2000,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"신동비치맨션",공공용,"부산광역시 해운대구 우동2로 88 (우동, 신동비취맨션)",부산광역시 해운대구 우동 345-6,35.17007196,129.1563622,1652,2002,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"신세계프라자빌딩",공공용,"부산광역시 해운대구 해운대로 407 (우동, 신세계프라자)",부산광역시 해운대구 우동 1078-1,35.16783724,129.1406985,660,800,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"삼호가든아파트",공공용,"부산광역시 해운대구 해운대로349번길 24 (우동, 삼호가든아파트)",부산광역시 해운대구 우동 1104- 1,35.17492833,129.1397256,7855,952,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"삼안리젠시2차",공공용,"부산광역시 해운대구 달맞이길117번다길 36 (중동, 삼안리젠시2차)",부산광역시 해운대구 중동 1504-2,35.15961945,129.1770359,728,882,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"반석빌라2차",공공용,"부산광역시 해운대구 달맞이길117번나길 23 (중동, 반석비치빌라2차)",부산광역시 해운대구 중동 1496-7,35.15839306,129.1805582,874,1059,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
"롯데3차아파트",공공용,"부산광역시 해운대구 세실로 138 (좌동, 롯데3차아파트)",부산광역시 해운대구 좌동 1300,35.17666879,129.1773615,6653,8064,Y,주차장,051-749-4131,부산광역시 해운대구청,2021-05-11
