"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"신사지하철역",공공용,"서울특별시 강남구 도산대로 지하 102 (신사동, 신사역)",서울특별시 강남구 신사동 667,37.51643147,127.0203289,3730,4521,Y,지하철승강장,,서울특별시 강남구청,2021-08-09
"현대백화점",공공용,서울특별시 강남구 압구정로 165 (현대백화점본점),서울특별시 강남구 압구정동 429,37.5273268,127.0274265,8844,10720,Y,주차장,,서울특별시 강남구청,2021-08-09
"신사동주민센터",공공용,"서울특별시 강남구 압구정로 128 (신사동, 신사동주민센터)",서울특별시 강남구 신사동 548-1,37.52397421,127.0227971,66,80,Y,기계실,,서울특별시 강남구청,2021-08-09
"신구초등학교 복합화시설",공공용,"서울특별시 강남구 압구정로18길 28 (신사동, 신구초등학교)",서울특별시 강남구 신사동 550-11,37.5233613,127.0239915,4964,6017,Y,주차장,,서울특별시 강남구청,2021-08-09
"광림교회 사회봉사관",공공용,"서울특별시 강남구 논현로163길 33 (신사동, 교회)",서울특별시 강남구 신사동 568-2,37.52389436,127.0255797523,12027,14578,Y,주차장,,서울특별시 강남구청,2021-08-09
"래미안 신사",공공용,"서울특별시 강남구 압구정로2길 20 (신사동, 래미안 신사)",서울특별시 강남구 신사동 506-9,37.52010408,127.0196195,2814,3410,Y,주차장,,서울특별시 강남구청,2021-08-09
"디아이빌딩",공공용,"서울특별시 강남구 논현로 703 (논현동, DI빌딩)",서울특별시 강남구 논현동 58-6,37.5143895,127.0301238,627,760,Y,주차장,,서울특별시 강남구청,2021-08-09
"삼주빌딩",공공용,"서울특별시 강남구 강남대로 606 (논현동, 삼주빌딩)",서울특별시 강남구 논현동 1,37.51586927,127.0201568,1617,1960,Y,주차장,,서울특별시 강남구청,2021-08-09
"논현빌딩",공공용,"서울특별시 강남구 강남대로 556 (논현동, 논현빌딩)",서울특별시 강남구 논현동 50-1,37.51156583,127.0215537,1287,1560,Y,주차장,,서울특별시 강남구청,2021-08-09
"법무사회관",공공용,"서울특별시 강남구 논현로 651 (논현동, 법무사회관)",서울특별시 강남구 논현동 151-25,37.5117835,127.031281,726,880,Y,주차장,,서울특별시 강남구청,2021-08-09
"삼익악기빌딩",공공용,"서울특별시 강남구 학동로 171 (논현동, 삼익악기 빌딩)",서울특별시 강남구 논현동 58-3,37.51404727,127.0295491,5452,6608,Y,주차장,,서울특별시 강남구청,2021-08-09
"건우빌딩",공공용,"서울특별시 강남구 강남대로 548 (논현동, 건우빌딩)",서울특별시 강남구 논현동 120,37.51103598,127.0218883,825,1000,Y,주차장,,서울특별시 강남구청,2021-08-09
"유현빌딩",공공용,"서울특별시 강남구 논현로 627 (논현동, 유현빌딩)",서울특별시 강남구 논현동 175-10,37.50955953,127.0323568,660,800,Y,주차장,,서울특별시 강남구청,2021-08-09
"거평타운",공공용,"서울특별시 강남구 봉은사로 129 (논현동, 거평타운)",서울특별시 강남구 논현동 203-1,37.5059169,127.0283154,1815,2200,Y,"주차장,복도,기타",,서울특별시 강남구청,2021-08-09
"신사역",공공용,"서울특별시 강남구 도산대로 지하 102 (신사동, 신사역)",서울특별시 강남구 신사동 667,37.51643147,127.0203289,3729,4520,Y,지하철승강장,,서울특별시 강남구청,2021-08-09
"논현1동주민센터",공공용,"서울특별시 강남구 학동로20길 25 (논현동, 논현1동주민센터)",서울특별시 강남구 논현동 133-13,37.51150308,127.0285346,1535,1861,Y,주차장,,서울특별시 강남구청,2021-08-09
"논현역",공공용,"서울특별시 강남구 학동로 지하 102 (논현동, 논현역)",서울특별시 강남구 논현동 279-67,37.5111982,127.0216576,5997,7269,Y,지하철승강장,,서울특별시 강남구청,2021-08-09
