"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"상일여자고등학교",공공용,"서울특별시 강동구 천호대로219길 61 (상일동, 상일여자고등학교)",,37.54858748,127.1708235,2381,2886,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"강동구청 본관 및 제2청사 지하",공공용,서울특별시 강동구 성내로 25 (성내동),서울특별시 강동구 성내동 540번지,37.53015629,127.1237902,2196,2662,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"강동경찰서",공공용,"서울특별시 강동구 성내로 57 (성내동, 강동경찰서)",서울특별시 강동구 성내동 541번지 1호,37.52867635,127.1268944,8261.9,10014,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"강동고등학교",공공용,서울특별시 강동구 구천면로 572-0 (상일동),서울특별시 강동구 상일동 267번지,37.5499136,127.1606685,614,744,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"강동우체국",공공용,"서울특별시 강동구 양재대로112길 57 (길동, 서울강동우체국)",서울특별시 강동구 길동 403번지,37.53637163,127.1432023,119,144,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"주공9단지아파트(전동지하)",공공용,서울특별시 강동구 구천면로 476 (명일동),서울특별시 강동구 명일동 257번지,37.54896231,127.1511049,1858,2252,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"현대1차아파트(전동지하)",공공용,"서울특별시 강동구 동남로49길 57 (둔촌동, 현대아파트)",서울특별시 강동구 둔촌동 30번지 4호,37.53118513,127.146192,1995,2418,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"둔촌천주교회",공공용,서울특별시 강동구 풍성로 241 (둔촌동),서울특별시 강동구 둔촌동 518번지,37.5286881,127.1385835,614,744,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"보훈병원",공공용,서울특별시 강동구 진황도로61길 53 (둔촌동),서울특별시 강동구 둔촌동 6번지 2호,37.52846375,127.1479256,3002,3638,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"프라자아파트(전동지하)",공공용,서울특별시 강동구 천호대로 1240 (둔촌동),서울특별시 강동구 둔촌동 603번지,37.53590156,127.1479827,1153,1397,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"삼익2차아파트(전동지하)",공공용,서울특별시 강동구 고덕로 210 (명일동),서울특별시 강동구 명일동 15번지,37.55380796,127.1470662,10195,12357,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"삼익가든아파트(전동지하)",공공용,서울특별시 강동구 상암로 214 (명일동),서울특별시 강동구 명일동 270번지,37.5463232,127.1462347,6090,7381,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"한영고등학교",공공용,서울특별시 강동구 동남로 832 (상일동),서울특별시 강동구 상일동 166번지,37.54914227,127.157773,4838,5864,Y,공공시설,02-3425-5160,강동구청,2021-08-06
"강동소방서",공공용,서울특별시 강동구 성내로 39 (성내동),서울특별시 강동구 성내동 541번지,37.52945616,127.1253711,324,393,Y,공공시설,02-3425-5160,강동구청,2021-08-06
