"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"벽산라이브파크A주차장P1(101)",공공용,서울특별시 강북구 인수봉로 18(삼양동),,37.621691,127.012949,8164,9878,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"벽산라이브파크A주차장P2(102,103,106)",공공용,서울특별시 강북구 인수봉로 18(삼양동),,37.621691,127.012949,10553,12769,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"벽산라이브파크A주차장P3(104,105)",공공용,서울특별시 강북구 인수봉로 18(삼양동),,37.621691,127.012949,5341,6462,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"벽산라이브파크A주차장P4(107,108)",공공용,서울특별시 강북구 인수봉로 18(삼양동),,37.621691,127.012949,6143,7433,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"벽산라이브파크A주차장P5(109,110)",공공용,서울특별시 강북구 인수봉로 18(삼양동),,37.621691,127.012949,4852,5871,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"벽산라이브파크A주차장P6(111)",공공용,서울특별시 강북구 인수봉로 18(삼양동),,37.621691,127.012949,2900,3508,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"벽산라이브파크A주차장P7(112,113)",공공용,서울특별시 강북구 인수봉로 18(삼양동),,37.621691,127.012949,4822,5834,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"벽산라이브파크A주차장P8(114)",공공용,서울특별시 강북구 인수봉로 18(삼양동),,37.621691,127.012949,9091,11000,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"벽산라이브파크A주차장P9(115,116)",공공용,서울특별시 강북구 인수봉로 18(삼양동),,37.621691,127.012949,5372,6500,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"벽산라이브파크A주차장P10(118,119)",공공용,서울특별시 강북구 인수봉로 18(삼양동),,37.621691,127.012949,5004,6055,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"벽산라이브파크 임대A주차장(201,202)",공공용,서울특별시 강북구 인수봉로 18(삼양동),,37.621691,127.012949,12495,15118,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"경남아너스빌주차장",공공용,서울특별시 강북구 삼양로74길 8(삼양동),,37.62914266,127.0183522,4823,5835,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"삼성레미안주차장",공공용,서울특별시 강북구 삼양로 256(삼양동),,37.62628464,127.0188997,14438,17469,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"삼양동주민센터",공공용,서울특별시 강북구 삼양로 268(삼양동),,37.627341,127.018368,295,357,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"미아역",공공용,서울특별시 강북구 도봉로 200(미아동),,37.62652465,127.026445,2102,2543,Y,전철역,02-901-6084,서울특별시 강북구청,2021-06-04
"운산빌딩",공공용,서울특별시 강북구 도봉로 260(미아동),,37.63170757,127.024417,350,423,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"삼성생명",공공용,서울특별시 강북구 도봉로 188(미아동),,37.62563801,127.026796,1150,1392,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"궁전회관",공공용,서울특별시 강북구 도봉로 222(미아동),,37.6286502429,127.025705,1299,1572,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"미아요진아파트",공공용,서울특별시 강북구 도봉로76길 56(미아동),,37.6336809720,127.026601,3788,4583,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"현대아파트",공공용,서울특별시 강북구 도봉로68길 62(미아동),,37.631404,127.025951,3186,3855,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"신구아파트",공공용,서울특별시 강북구 오패산로60길 17-7(미아동),,37.626847,127.030497,5413,6549,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"미아동복합청사",공공용,서울특별시 강북구 솔매로49길 14(미아동),,37.62709036,127.0269751385,2712,3281,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"경남아너스빌아파트",공공용,서울특별시 강북구 오패산로30길 30(송중동),,37.61635549,127.035688,33400,40520,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"한일유엔아이아파트",공공용,서울특별시 강북구 월계로21가길 41(송중동),,37.61571366,127.036734,13652,16520,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"풍양빌딩",공공용,서울특별시 강북구 도봉로 136(송중동),,37.62107858,127.028623,3966,4798,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"무등양말빌딩",공공용,서울특별시 강북구 도봉로 132(송중동),,37.620768,127.0287077,429,519,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"미아사거리역",공공용,서울특별시 강북구 도봉로 48(송중동),,37.61329721,127.0303951667,7533,9114,Y,전철역,02-901-6084,서울특별시 강북구청,2021-06-04
"송중동주민센터",공공용,서울특별시 강북구 오패산로 62(송중동),,,127.034791,99,120,Y,회의장,02-901-6084,서울특별시 강북구청,2021-06-04
"성북교육지원청",공공용,서울특별시 강북구 솔매로50길 65(송중동),,37.62390774,127.0284054,1388,1679,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"롯데백화점미아점",공공용,서울특별시 강북구 도봉로 62(송중동),,37.614584,127.0305176783,8400,10164,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"트레지오",공공용,서울특별시 강북구 도봉로 34(송중동),,37.612081,127.0307204,5030,6086,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"꿈의 숲 롯데캐슬아파트",공공용,서울특별시 강북구 오현로 56(송중동),,37.618413,127.036477,30966,37534,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"꿈의숲 효성해링턴플레이스",공공용,서울특별시 강북구 오현로 45(송중동),,37.6169375235,127.0344606501,57526,69728,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"송천센트레빌아파트주차장",공공용,서울특별시 강북구 숭인로 39(송천동),,37.61275751,127.0266796,18075,21870,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"현대성우아파트",공공용,서울특별시 강북구 삼양로24길 19(송천동),,37.61745082,127.0219965,7540,9124,Y,주차장,02-901-6084,서울특별시 강북구청,2021-06-04
"송천동주민센터",공공용,서울특별시 강북구 솔샘로 284(송천동),,37.618256,127.023845,285,343,Y,강좌실,02-901-6084,서울특별시 강북구청,2021-06-04
