"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"강서보건소",공공용,"서울특별시 강서구 공항대로 561 (염창동, 강서보건소)",서울특별시 강서구 염창동 275-12,37.54964994,126.868281,765,927,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"삼성하나로아파트(지하주차장)",공공용,"서울특별시 강서구 양천로73길 5 (염창동, 삼성하나로아파트)",서울특별시 강서구 염창동 248-3,37.55189518,126.8715136,2966,3595,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"관음삼성아파트(지하주차장)",공공용,"서울특별시 강서구 양천로 656 (염창동, 삼성관음아파트)",서울특별시 강서구 염창동 268,37.55273626,126.8694616,6066,7353,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"태진한솔아파트(지하주차장)",공공용,"서울특별시 강서구 공항대로71길 54 (염창동, 태진한솔아파트)",서울특별시 강서구 염창동 263-2,37.549084,126.8745196,2180,2642,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"한마음삼성아파트(지하주차장)",공공용,"서울특별시 강서구 양천로 637 (염창동, 한마음삼성아파트)",서울특별시 강서구 염창동 244-2,37.554497,126.8685894,5592,6778,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"신동아아파트(지하주차장)",공공용,"서울특별시 강서구 양천로67길 32 (염창동, 신동아아파트)",서울특별시 강서구 염창동 289,37.55511784,126.8688644,3024,3665,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"벽산늘푸른아파트(지하주차장)",공공용,"서울특별시 강서구 양천로63길 52 (염창동, 벽산늘푸른아파트)",서울특별시 강서구 염창동 290,37.5579223,126.8661523,4899,5938,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"염창역",공공용,"서울특별시 강서구 공항대로 지하 631 (염창동, 염창역 9호선)",서울특별시 강서구 염창동 284-84,37.54705876,126.8750027,5800,7030,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"동아3차아파트(지하주차장)",공공용,"서울특별시 강서구 양천로 731 (염창동, 동아3차아파트)",서울특별시 강서구 염창동 258-1,37.55025081,126.8773965,2257,2736,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"강변한솔솔파크(지하주차장)",공공용,"서울특별시 강서구 양천로63길 38 (염창동, 강변한솔솔파크)",서울특별시 강서구 염창동 300,37.5570102,126.8658913,1802,2184,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"강변힐스테이트(지하주차장)",공공용,"서울특별시 강서구 양천로75길 19 (염창동, 강변힐스테이트아파트)",서울특별시 강서구 염창동 299,37.55181144,126.8740714,1651,2002,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"대동황토방1차아파트(지하주차장)",공공용,"서울특별시 강서구 공항대로59길 103 (등촌동, 대동황토방아파트)",서울특별시 강서구 등촌동 631-9,37.55595008,126.8622898,954,1157,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"코오롱하늘채아파트(지하주차장)",공공용,서울특별시 강서구 공항대로55길 19 (등촌동),서울특별시 강서구 등촌동 714,37.55489252,126.8609291,4236,5135,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"코오롱1차아파트(지하주차장)",공공용,"서울특별시 강서구 화곡로66길 90 (등촌동, 등촌동코오롱아파트)",서울특별시 강서구 등촌동 642,37.5560138,126.8582652,7845,9509,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"지하철9호선 증미역",공공용,"서울특별시 강서구 양천로 지하 560 (등촌동, 증미역 9호선)",서울특별시 강서구 등촌동 666-40,37.55771842,126.8612453,7025,8515,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"지하철9호선 등촌역",공공용,서울특별시 강서구 공항대로 521 (등촌동),서울특별시 강서구 등촌동 648-10,37.55156648,126.8644073,7025,8515,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"등촌아이파크아파트(지하주차장)",공공용,서울특별시 강서구 등촌로 163,서울특별시 강서구 등촌동 715,37.54473004,126.8615907,6546,7934,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"강서구의회(지하주차장)",공공용,서울특별시 강서구 등촌로 185 (등촌동),서울특별시 강서구 등촌동 512-1,37.546403,126.8623027,1329,1611,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"대림아파트(지하주차장)",공공용,"서울특별시 강서구 등촌로 137 (등촌동, 대림아파트)",서울특별시 강서구 등촌동 561-1,37.5419129,126.8626053,5495,6661,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"그린임광아파트(지하주차장)",공공용,서울특별시 강서구 등촌로 113 (등촌동),서울특별시 강서구 등촌동 562-5,37.54045068,126.863431,7326,8880,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"등촌주공3단지아파트(지하주차장)",공공용,"서울특별시 강서구 강서로56나길 37 (등촌동, 등촌3단지주공아파트)",서울특별시 강서구 등촌동 688,37.561084,126.8408211,5065,6139,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"등촌주공5단지아파트(지하주차장)",공공용,"서울특별시 강서구 공항대로39길 74 (등촌동, 등촌5단지주공아파트)",서울특별시 강서구 등촌동 695,37.56121882,126.8446373,5140,6230,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"등촌주공6단지아파트(지하주차장)",공공용,"서울특별시 강서구 화곡로63가길 18 (등촌동, 등촌6단지주공아파트)",서울특별시 강서구 등촌동 705,37.56000558,126.8484064,2246,2722,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"등촌주공10단지아파트(지하주차장)",공공용,"서울특별시 강서구 화곡로63가길 71 (등촌동, 등촌10단지주공아파트)",서울특별시 강서구 등촌동 702,37.56296131,126.8487671,2752,3336,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"동성아파트(지하주차장)",공공용,"서울특별시 강서구 강서로68길 108 (등촌동, 동성아파트)",서울특별시 강서구 등촌동 687,37.56466563,126.8457031,1810,2194,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"등촌대림아파트(지하주차장)",공공용,"서울특별시 강서구 공항대로39길 100 (등촌동, 대림아파트)",서울특별시 강서구 등촌동 694,37.56361546,126.847394,879,1066,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"미주진로아파트(지하주차장)",공공용,"서울특별시 강서구 공항대로 351-21 (등촌동, 미주진로아파트)",서울특별시 강서구 등촌동 701,37.56059922,126.8476175,6888,8349,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"부영아파트(지하주차장)",공공용,"서울특별시 강서구 강서로56나길 110 (등촌동, 부영아파트)",서울특별시 강서구 등촌동 691-3,37.56351579,126.8428396,2820,3418,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"등촌주공11단지아파트(지하주차장)",공공용,"서울특별시 강서구 공항대로43길 39 (등촌동, 등촌주공아파트11단지)",서울특별시 강서구 등촌동 705-6,37.55925382,126.8495578,5719,6932,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"한국해운조합",공공용,"서울특별시 강서구 공항대로 379 (등촌동, 한국해운조합)",서울특별시 강서구 등촌동 660-10,37.557021,126.849872,1877,2275,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"올림픽체육센터",공공용,"서울특별시 강서구 화곡로65길 62 (등촌동, 강서구민올림픽체육센터)",서울특별시 강서구 등촌동 707-3,37.559633,126.8505847,5580,6764,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"화곡역",공공용,"서울특별시 강서구 화곡로 지하 168 (화곡동, 화곡역5호선)",서울특별시 강서구 화곡동 1089-54,37.54143461,126.8404962,9126,11062,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"화일초등학교(화일주차장)",공공용,"서울특별시 강서구 까치산로10길 70 (화곡동, 서울화일초등학교)",서울특별시 강서구 화곡동 16-184,37.54071221,126.847486,6709,8132,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"화곡본동천주교회(지하주차장)",공공용,"서울특별시 강서구 까치산로2길 43 (화곡동, 화곡본동천주교회)",서울특별시 강서구 화곡동 105-244,37.53933048,126.8436417,2953,3579,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"화성교회(지하주차장)",공공용,"서울특별시 강서구 까치산로 66 (화곡동, 화성교회)",서울특별시 강서구 화곡본동 46-228,37.54466148,126.8469212,1350,1636,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"볏골공원(지하주차장)",공공용,"서울특별시 강서구 까치산로4길 22 (화곡동, 볏골공원 지하주차장)",서울특별시 강서구 화곡본동 98-99,37.54181453,126.8443245,6893,8355,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"나누리병원(지하주차장)",공공용,"서울특별시 강서구 가로공원로 187 (화곡동, 나누리강서병원)",서울특별시 강서구 화곡동 377-8,37.5373569,126.836636,505,612,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"까치산역",공공용,"서울특별시 강서구 강서로 지하 54 (화곡동, 까치산역)",서울특별시 강서구 화곡동 662-5,37.531991,126.8466123,9117,11051,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"원흥타운(지하주차장)",공공용,"서울특별시 강서구 화곡로18길 30-11 (화곡동, 원흥타운)",서울특별시 강서구 화곡동 1087-5,37.538523,126.8354785,860,1042,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"해태아파트(지하주차장)",공공용,"서울특별시 강서구 강서로7길 28 (화곡동, 해태아파트)",서울특별시 강서구 공항동 2-1,37.52976158,126.8461778,7428,9004,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"화곡대림아파트(지하주차장)",공공용,"서울특별시 강서구 월정로 160 (화곡동, 화곡대림아파트)",서울특별시 강서구 화곡동 361-1,37.53402076,126.8375387,3653,4428,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"유림노르웨이숲(지하주차장)",공공용,"서울특별시 강서구 곰달래로 96 (화곡동, 유림노르웨이숲)",서울특별시 강서구 화곡동 919-1,37.530029,126.8434664,8222,9965,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"성석교회",공공용,"서울특별시 강서구 곰달래로47길 18 (화곡동, 성석교회)",서울특별시 강서구 화곡동 836-13,37.53224798,126.8573734,3889,4714,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"정일빌딩(지하주차장)",공공용,"서울특별시 강서구 곰달래로 170 (화곡동, 정일빌딩)",서울특별시 강서구 화곡동 873-13,37.5307383,126.8518416,311,377,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"화곡2동성당",공공용,"서울특별시 강서구 곰달래로32길 19 (화곡동, 화곡2동천주교회)",서울특별시 강서구 화곡동 883-9,37.53020322,126.853341,393,477,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"성석교회교육관(지하주차장)",공공용,"서울특별시 강서구 곰달래로31가길 101 (화곡동, 성석교회교육관)",서울특별시 강서구 화곡동 836-14,37.53273761,126.856947,615,745,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"은창아파트(지하주차장)",공공용,"서울특별시 강서구 국회대로7길 157 (화곡동, 은창아파트)",서울특별시 강서구 화곡동 1143,37.528914,126.8521303,780,946,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"율창아파트(지하주차장)",공공용,"서울특별시 강서구 국회대로7길 123 (화곡동, 율창아파트)",서울특별시 강서구 화곡동 885-1,37.52915883,126.8539988,645,781,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"곰달래아파트(지하주차장)",공공용,"서울특별시 강서구 국회대로7길 53 (화곡동, 곰달래아파트)",서울특별시 강서구 화곡동 1137,37.529664,126.858095,826,1002,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"신도금잔디아파트(지하주차장)",공공용,"서울특별시 강서구 국회대로7길 91 (화곡동, 신도금잔디아파트)",서울특별시 강서구 화곡동 1138,37.52940609,126.8557813,1322,1603,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"예다움아파트(지하주차장)",공공용,"서울특별시 강서구 등촌로13자길 79 (화곡동, 예다움아파트)",서울특별시 강서구 화곡동 461-4,37.536751,126.853939,2023,2452,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"화곡푸르지오(101~111동 지하주차장)",공공용,"서울특별시 강서구 화곡로13길 107 (화곡동, 화곡푸르지오)",서울특별시 강서구 화곡동 1091,37.54724363,126.8322457,8617,10445,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"화곡푸르지오(112~115동 지하주차장)",공공용,"서울특별시 강서구 화곡로13길 107 (화곡동, 화곡푸르지오)",서울특별시 강서구 화곡동 1091,37.54724363,126.8322457,8514,10320,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"화곡푸르지오(116~120동 지하주차장)",공공용,"서울특별시 강서구 화곡로13길 107 (화곡동, 화곡푸르지오)",서울특별시 강서구 화곡동 1091,37.54724363,126.8322457,8617,10445,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
"화곡푸르지오(121~128동 지하주차장)",공공용,"서울특별시 강서구 화곡로13길 107 (화곡동, 화곡푸르지오)",서울특별시 강서구 화곡동 1091,37.547201,126.8322457,8617,10445,Y,,02-2600-6990,서울특별시 강서구청,2021-03-22
