"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"(주)대교",공공용,서울특별시 관악구 보라매로3길 23 (봉천동),,37.49104464,126.9255211,13389,15728,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
J타워웨딩홀(구 관악웨딩문화원),공공용,"서울특별시 관악구 남부순환로 1440 (신림동, 제이타워웨딩홀)",,37.480737,126.9107319,1388.44,1680,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
KT 구로지사 지하주차장,공공용,서울특별시 관악구 조원중앙로1길 26 (신림동),,37.48066717,126.9035775,1208,1464,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
KT관악지사(지하통로및체력단련실),공공용,"서울특별시 관악구 청룡1길 34 (봉천동, KT관악지사)",,37.48068443,126.9483856,310,375,Y,지하통로 및 체력단련실,02-879-5824,서울특별시 관악구청,2021-03-10
sk허브그린,공공용,"서울특별시 관악구 신림로 344 (신림동, SK허브그린)",,37.4851082,126.9299666,2981,3613,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
ywca(봉천종합사회복지관)지하,공공용,서울특별시 관악구 관악로 254 (봉천동),,37.4866852,126.9575184,132.23,292,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"가야위드안",공공용,"서울특별시 관악구 봉천로12길 39 (신림동, 가야위드안)",,37.48699291,126.9301273,8210,9951,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"갑을아파트(지하주차장)",공공용,"서울특별시 관악구 관악로5길 42 (봉천동, 갑을아파트)",,37.4750853,126.9520895,2433.07,2949,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"강원학사",공공용,"서울특별시 관악구 난곡로30길 61 (신림동, 강원학사)",,37.4708291,126.9236534,198,240,Y,체육관,02-879-5824,서울특별시 관악구청,2021-03-10
"건영4차아파트 지하주차장",공공용,"서울특별시 관악구 신림로48길 17-20 (신림동, 신림건영4차아파트)",,37.47985877,126.9333131,1399,1696,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"건영신림5차아파트",공공용,"서울특별시 관악구 신림로3가길 45-10 (신림동, 건영신림5차아파트)",,37.4681048,126.9418288,1893.76,2295,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"건영아파트",공공용,-,서울특별시 관악구 신림동 721-2,37.4717994044,126.9177179824,1200.01,1452,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"건영유치원",공공용,"서울특별시 관악구 조원로 114 (신림동, 건영유치원)",,37.4848357,126.9149082,631,2524,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"경동제약",공공용,서울특별시 관악구 남부순환로 1926 (봉천동),,37.47681922,126.9631325,1363,1652,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"공장지하",공공용,서울특별시 관악구 남부순환로 1521 (신림동),,37.4830056,126.9196191,343,343,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"관악 위버폴리스",공공용,"서울특별시 관악구 관악로 195 (봉천동, 관악위버폴리스)",,37.48256409,126.9530968,9062,10984,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"관악구 평생학습관",공공용,"서울특별시 관악구 남부순환로 1546 (신림동, 관악구평생학습관)",,37.4829104,126.9224155,295,357,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"관악구청 청사(지하주차장)",공공용,"서울특별시 관악구 관악로 145 (봉천동, 관악구청)",,37.47820977,126.9515032,11956,14492,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"관악동부센트레빌",공공용,서울특별시 관악구 은천로33길 5 (봉천동),,37.4873001209,126.950154,15459,16000,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"관악드림타운(아) 주차장1",공공용,"서울특별시 관악구 성현로 80 (봉천동, 관악드림타운아파트)",,37.4898478,126.9529837,5980,7236,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"관악드림타운(아) 주차장10",공공용,서울특별시 관악구 성현로 80 (봉천동),,37.4898478,126.9529837,2821,3412,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
"관악드림타운(아) 주차장11",공공용,서울특별시 관악구 성현로 80 (봉천동),,37.4898478,126.9529837,4915.72,5948,Y,주차장,02-879-5824,서울특별시 관악구청,2021-03-10
