"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"일성파크아파트",공공용,"서울특별시 광진구 군자로12길 46 (군자동, 일성파크아파트)",서울특별시 광진구 군자동 99,37.5517127888,127.0726726780,919,1200,Y,지하주차장,02-3409-0175,서울특별시 광진구청,2021-06-22
"세종대학교 군자관",공공용,"서울특별시 광진구 능동로 209 (군자동, 세종대학교)",서울특별시 광진구 군자동 98,37.5516081379,127.0731831883,854,1240,Y,기타,02-3408-3100,서울특별시 광진구청,2021-06-22
"군자메가박스",공공용,서울특별시 광진구 능동로 289 (군자동),서울특별시 광진구 군자동 477,37.5557904109,127.0783444973,563,680,Y,주차장,02-482-8746,서울특별시 광진구청,2021-06-22
"군자동 주민센터",공공용,"서울특별시 광진구 군자로 151 (군자동, 군자동주민센터)",서울특별시 광진구 군자동 53,37.555121,127.0758900231,55,67,Y,기타,02-450-1516,서울특별시 광진구청,2021-06-22
"군자지하보도",공공용,서울특별시 광진구 동일로 323 (중곡동),서울특별시 광진구 중곡동 611,37.559558,127.073827,518,160,Y,기타,02-450-1405,서울특별시 광진구청,2021-06-22
"용마초등학교",공공용,"서울특별시 광진구 천호대로113길 10 (중곡동, 서울용마초등학교)",서울특별시 광진구 중곡동 135,37.5578273465,127.0835274170,945,1144,Y,교육장,02-450-1030,서울특별시 광진구청,2021-06-22
"한라아파트",공공용,"서울특별시 광진구 뚝섬로33길 20 (자양동, 한라아파트)",서울특별시 광진구 자양동 762,37.5359272031,127.0698167677,9438,11420,Y,지하주차장,02-450-1810,서울특별시 광진구청,2021-06-22
"범천타워",공공용,서울특별시 광진구 천호대로 572 (능동),서울특별시 광진구 능동 222,37.5559965940,127.081223,926,1120,Y,주차장,02-450-1120,서울특별시 광진구청,2021-06-22
"광나루역",공공용,"서울특별시 광진구 아차산로 지하 571 (광장동, 광나루역5호선)",서울특별시 광진구 광장동 237,37.5452786641,127.103606,9166,9680,Y,기타,02-450-1260,서울특별시 광진구청,2021-06-22
"건국대 새천년관",공공용,서울특별시 광진구 능동로 120 (화양동),서울특별시 광진구 화양동 1,37.5391826748,127.0747119022,9125,11061,Y,"독서,전시",02-450-1840,서울특별시 광진구청,2021-06-22
"광장동주민센터",공공용,"서울특별시 광진구 광장로 52 (광장동, 광장동주민센터)",서울특별시 광진구 광장동 248,37.546845,127.103013,88,107,Y,기타,02-450-1260,서울특별시 광진구청,2021-06-22
"신성그랜드타워",공공용,"서울특별시 광진구 면목로 127 (중곡동, 신성그랜드타워)",서울특별시 광진구 중곡동 231,37.5650621660,127.0804159233,826,1000,Y,주차장,02-450-7950,서울특별시 광진구청,2021-06-22
"현대프라임아파트",공공용,"서울특별시 광진구 광나루로56길 29 (구의동, 현대프라임아파트)",서울특별시 광진구 구의동 631,37.5369576884,127.0965366701,8250,10000,Y,지하주차장,02-450-1240,서울특별시 광진구청,2021-06-22
"국립정신건강센터",공공용,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)",서울특별시 광진구 중곡동 30,37.565073,127.0857766417,7855,3568,Y,기타,02-450-1050,서울특별시 광진구청,2021-06-22
"강변현대아파트",공공용,"서울특별시 광진구 자양로3가길 43 (자양동, 현대강변아파트)",서울특별시 광진구 자양동 673,37.5285625127,127.0859373089,7603,688,Y,지하주차장,02-450-7060,서울특별시 광진구청,2021-06-22
"에스케이아파트",공공용,"서울특별시 광진구 용마산로 174 (중곡동, 에스케이아파트)",서울특별시 광진구 중곡동 292,37.5692840185,127.086514,7263,8803,Y,지하주차장,02-450-1070,서울특별시 광진구청,2021-06-22
"중곡역",공공용,"서울특별시 광진구 능동로 지하 417 (중곡동, 7호선 중곡역)",서울특별시 광진구 중곡동 273,37.5655258842,127.0840724127,7233,8752,Y,기타,02-450-1050,서울특별시 광진구청,2021-06-22
"자양5차현대아파트",공공용,"서울특별시 광진구 뚝섬로54길 74 (자양동, 자양5차현대아파트)",서울특별시 광진구 자양동 642,37.5285339551,127.0784211951,715,867,Y,지하주차장,02-450-7060,서울특별시 광진구청,2021-06-22
"아차산역",공공용,"서울특별시 광진구 천호대로 지하 657 (능동, 5호선 아차산역)",서울특별시 광진구 능동 256,37.552404,127.0893705993,6664,8064,Y,기타,02-450-1220,서울특별시 광진구청,2021-06-22
"현대하이츠빌라",공공용,"서울특별시 광진구 영화사로9길 24 (중곡동, 현대하이츠빌라)",서울특별시 광진구 중곡동 106,37.556122,127.0933434961,661,800,Y,주차장,02-450-1070,서울특별시 광진구청,2021-06-22
"삼민아파트",공공용,"서울특별시 광진구 긴고랑로15길 32 (중곡동, 삼민아파트)",서울특별시 광진구 중곡동 609,37.563093,127.083709,661,800,Y,지하주차장,02-450-1030,서울특별시 광진구청,2021-06-22
"화양동 주민센터",공공용,"서울특별시 광진구 능동로17길 39 (화양동, 화양동주민센터)",서울특별시 광진구 화양동 122,37.546511,127.0713178824,655,794,Y,지하주차장,02-450-1840,서울특별시 광진구청,2021-06-22
"건국대 상허연구관",공공용,서울특별시 광진구 능동로 120 (화양동),서울특별시 광진구 화양동 1,37.5391826748,127.0747119022,6003,7276,Y,지하주차장,02-450-1840,서울특별시 광진구청,2021-06-22
"자양2동주민센터",공공용,"서울특별시 광진구 자양로3가길 26 (자양동, 자양2동주민센터)",서울특별시 광진구 자양동 669,37.528791,127.084377,568,689,Y,지하주차장,02-450-7060,서울특별시 광진구청,2021-06-22
"새한아파트",공공용,"서울특별시 광진구 자양로26길 71 (구의동, 구의동새한아파트)",서울특별시 광진구 구의동 656,37.5412876569,127.0878373626,5441,6595,Y,주차장,02-450-1200,서울특별시 광진구청,2021-06-22
"리버힐 오피스텔",공공용,"서울특별시 광진구 아차산로78길 110 (광장동, 리버힐오피스텔)",서울특별시 광진구 광장동 127,37.549956,127.1101776398,5035,6092,Y,주차장,02-450-1260,서울특별시 광진구청,2021-06-22
"현대3단지아파트",공공용,"서울특별시 광진구 아차산로70길 62 (광장동, 광장현대3단지아파트)",서울특별시 광진구 광장동 484,37.5403766593,127.0989953130,5018,6072,Y,지하주차장,02-450-1260,서울특별시 광진구청,2021-06-22
"한강우성아파트",공공용,"서울특별시 광진구 능동로1길 15 (자양동, 한강우성아파트)",서울특별시 광진구 자양동 87,37.5327029931,127.0655349597,496,600,Y,지하주차장,02-450-1820,서울특별시 광진구청,2021-06-22
"자양현대2차아파트",공공용,"서울특별시 광진구 뚝섬로34길 9 (자양동, 자양2차현대아파트)",서울특별시 광진구 자양동 761,37.5344015213,127.0703019671,4698,5684,Y,지하주차장,02-450-1810,서울특별시 광진구청,2021-06-22
JS빌딩,공공용,"서울특별시 광진구 천호대로 605 (중곡동, JS빌딩)",서울특별시 광진구 중곡동 131,37.555344,127.0851095372,463,560,Y,지하주차장,02-450-1030,서울특별시 광진구청,2021-06-22
"테크노마트",공공용,"서울특별시 광진구 광나루로56길 85 (구의동, 테크노마트)",서울특별시 광진구 구의동 546,37.5357251767,127.0956921622,45951,55698,Y,지하주차장,02-450-1240,서울특별시 광진구청,2021-06-22
"중곡2동 주민센터",공공용,"서울특별시 광진구 능동로 346 (중곡동, 중곡제2동주민센터)",서울특별시 광진구 중곡동 47,37.560178,127.081473,445,539,Y,주차장,02-450-1030,서울특별시 광진구청,2021-06-22
"대원외고",공공용,"서울특별시 광진구 용마산로22길 26 (중곡동, 대원학원)",서울특별시 광진구 중곡동 176,37.5624927931,127.089487,426,516,Y,주차장,02-450-1070,서울특별시 광진구청,2021-06-22
"자양1동 주민센터",공공용,"서울특별시 광진구 자양로13길 37 (자양동, 자양제1동주민센터)",서울특별시 광진구 자양동 630,37.534485,127.0823948653,422,512,Y,지하주차장,02-450-1280,서울특별시 광진구청,2021-06-22
"현대6단지아파트",공공용,"서울특별시 광진구 구의강변로 94 (구의동, 현대아파트)",서울특별시 광진구 구의동 610,37.5381393725,127.0950650176,4125,5000,Y,지하주차장,02-450-1240,서울특별시 광진구청,2021-06-22
"로얄동아아파트",공공용,"서울특별시 광진구 뚝섬로52마길 56 (자양동, 로얄동아아파트)",서울특별시 광진구 자양동 644,37.5280907308,127.0813829791,39045,981,Y,지하주차장,02-450-7060,서울특별시 광진구청,2021-06-22
"중곡3동 주민센터",공공용,"서울특별시 광진구 동일로76가길 28 (중곡동, 중곡제3동주민센터)",서울특별시 광진구 중곡동 684,37.5688068928,127.080131,388,400,Y,"회의,교육",02-450-1050,서울특별시 광진구청,2021-06-22
"한강성원아파트",공공용,"서울특별시 광진구 능동로3길 17 (자양동, 성원아파트)",서울특별시 광진구 자양동 831,37.5333049414,127.0657158313,3871,4684,Y,지하주차장,02-450-1820,서울특별시 광진구청,2021-06-22
"광진구청 구내식당",공공용,서울특별시 광진구 자양로 117 (자양동),서울특별시 광진구 자양동 777,37.5385399017,127.0819124378,378,400,Y,기타,02-450-1280,서울특별시 광진구청,2021-06-22
"대순진리회",공공용,"서울특별시 광진구 용마산로 74 (중곡동, 대순종단천안방면중앙연락소)",서울특별시 광진구 중곡동 58,37.5602542439,127.0877879802,377,456,Y,"회의,교육",02-450-1070,서울특별시 광진구청,2021-06-22
"건국대 산학협동관",공공용,서울특별시 광진구 능동로 120 (화양동),서울특별시 광진구 화양동 1,37.5391826748,127.0747119022,3662,4439,Y,지하주차장,02-450-1840,서울특별시 광진구청,2021-06-22
"능동 주민센터",공공용,"서울특별시 광진구 천호대로112길 55 (능동, 능동주민센터)",서울특별시 광진구 능동 232,37.553723,127.080517,365,442,Y,지하주차장,02-450-1120,서울특별시 광진구청,2021-06-22
"건국대 상허기념도서관",공공용,서울특별시 광진구 능동로 120 (화양동),서울특별시 광진구 화양동 1,37.5391826748,127.0747119022,3379,4095,Y,기타,02-450-1840,서울특별시 광진구청,2021-06-22
"자양초등학교",공공용,"서울특별시 광진구 아차산로44길 26 (자양동, 서울자양초등학교)",서울특별시 광진구 자양동 222,37.5369882449,127.0797395929,331,400,Y,교육장,02-450-1280,서울특별시 광진구청,2021-06-22
"중곡4동 주민센터",공공용,"서울특별시 광진구 긴고랑로 131 (중곡동, 중곡제4동주민센터)",서울특별시 광진구 중곡동 62,37.559053,127.089412,330,400,Y,기타,02-450-1070,서울특별시 광진구청,2021-06-22
"광나루현대아파트",공공용,"서울특별시 광진구 아차산로76길 31 (광장동, 광나루현대아파트)",서울특별시 광진구 광장동 567,37.5474346593,127.1087986345,2595,3140,Y,지하주차장,02-450-1260,서울특별시 광진구청,2021-06-22
"동서울터미널",공공용,"서울특별시 광진구 강변역로 50 (구의동, 동서울터미널빌딩)",서울특별시 광진구 구의동 546,37.5345385101,127.0941840509,2579,3125,Y,주차장,02-450-1240,서울특별시 광진구청,2021-06-22
"인성하이텍 빌딩",공공용,"서울특별시 광진구 아차산로 627 (광장동, 인성하이텍빌딩)",서울특별시 광진구 광장동 344,37.5488011545,127.107207,2511,1760,Y,주차장,02-450-1260,서울특별시 광진구청,2021-06-22
"한국중앙교회",공공용,서울특별시 광진구 능동로 447 (중곡동),서울특별시 광진구 중곡동 169,37.568564,127.084848,2488,3015,Y,기타,02-450-1050,서울특별시 광진구청,2021-06-22
"자양3동주민센터",공공용,"서울특별시 광진구 뚝섬로 568 (자양동, 자양제3동주민센터)",서울특별시 광진구 자양동 519,37.5338339360,127.072906,248,300,Y,기타,02-450-1810,서울특별시 광진구청,2021-06-22
"현대7단지아파트",공공용,"서울특별시 광진구 구의강변로3가길 39 (구의동, 구의7단지조합현대아파트)",서울특별시 광진구 구의동 587,37.5368269410,127.0909917092,2475,3000,Y,지하주차장,02-450-1240,서울특별시 광진구청,2021-06-22
"동서울우편집중국",공공용,"서울특별시 광진구 자양로 76 (자양동, 동서울우편집중국)",서울특별시 광진구 자양동 680,37.5356010287,127.0873067256,23417,28384,Y,지하주차장,02-450-7060,서울특별시 광진구청,2021-06-22
"자양4동주민센터",공공용,"서울특별시 광진구 뚝섬로26길 58 (자양동, 자양제4동주민센터)",서울특별시 광진구 자양동 63,37.534096,127.066295,218,264,Y,주차장,02-450-1820,서울특별시 광진구청,2021-06-22
"구의2동주민센터",공공용,"서울특별시 광진구 천호대로136길 55 (구의동, 구의제2동주민센터)",서울특별시 광진구 구의동 63,37.547202,127.0899239063,208,252,Y,"회의,교육",02-450-1220,서울특별시 광진구청,2021-06-22
"한강현대아파트",공공용,"서울특별시 광진구 능동로 19 (자양동, 한강현대아파트)",서울특별시 광진구 자양동 829,37.5331534381,127.0672364084,1934,2340,Y,지하주차장,02-450-1820,서울특별시 광진구청,2021-06-22
"케이티앤지성동지점",공공용,"서울특별시 광진구 동일로 462 (중곡동, 케이티앤지성동지점)",서울특별시 광진구 중곡동 587,37.5713197321,127.080348,1920,2327,Y,지하주차장,02-450-1051,서울특별시 광진구청,2021-06-22
"어린이회관",공공용,"서울특별시 광진구 광나루로 441 (능동, 육영재단어린이회관)",서울특별시 광진구 능동 18,37.5472460029,127.0783044348,1891,2288,Y,기타,02-450-1120,서울특별시 광진구청,2021-06-22
"이튼타워리버5차아파트",공공용,"서울특별시 광진구 능동로4길 40 (자양동, 이튼타워리버5차)",서울특별시 광진구 자양동 856,37.5321114084,127.0694542236,18829,22922,Y,지하주차장,02-450-1810,서울특별시 광진구청,2021-06-22
"자양7차우성아파트",공공용,"서울특별시 광진구 아차산로36길 39 (자양동, 자양7차우성아파트)",서울특별시 광진구 자양동 783,37.5363129421,127.0743585177,18109,21912,Y,지하주차장,02-450-1810,서울특별시 광진구청,2021-06-22
"한강극동아파트",공공용,"서울특별시 광진구 능동로3길 53 (자양동, 극동아파트)",서울특별시 광진구 자양동 57,37.5334530262,127.0646450903,1745,2112,Y,주차장,02-450-1820,서울특별시 광진구청,2021-06-22
"크레스코 오피스텔",공공용,서울특별시 광진구 아차산로78길 44 (광장동),서울특별시 광진구 광장동 114,37.550706,127.109929,16668,20168,Y,주차장,02-450-1260,서울특별시 광진구청,2021-06-22
"신향빌라",공공용,"서울특별시 광진구 용마산로24길 13 (중곡동, 신향빌라)",서울특별시 광진구 중곡동 18,37.5653244213,127.087431,1653,2000,Y,주차장,02-450-1070,서울특별시 광진구청,2021-06-22
"강변우성아파트",공공용,"서울특별시 광진구 구의강변로 42 (구의동, 구의동강변우성아파트)",서울특별시 광진구 구의동 546,37.5355911607,127.0929180565,1650,2000,Y,주차장,02-450-1240,서울특별시 광진구청,2021-06-22
"리젠트오피스텔",공공용,"서울특별시 광진구 강변역로4길 68 (구의동, 리젠트오피스텔)",서울특별시 광진구 구의동 547,37.5326011729,127.092573,165,200,Y,주차장,02-450-1240,서울특별시 광진구청,2021-06-22
"광진경찰서",공공용,"서울특별시 광진구 자양로 167 (구의동, 광진경찰서)",서울특별시 광진구 구의동 254,37.5429114164,127.0839021743,1571,1905,Y,기타,02-450-1200,서울특별시 광진구청,2021-06-22
"신용보증기금",공공용,"서울특별시 광진구 광나루로 520 (구의동, 신용보증기금)",서울특별시 광진구 구의동 233,37.544651,127.0872976139,1507,1824,Y,지하주차장,02-450-1200,서울특별시 광진구청,2021-06-22
"동국대사대부여중",공공용,서울특별시 광진구 광나루로36길 47 (구의동),서울특별시 광진구 구의동 238,37.5419293578,127.0869730616,719.67,872,Y,교육장,02-450-1200,서울특별시 광진구청,2021-06-22
"광장현대8단지아파트",공공용,"서울특별시 광진구 아차산로 522 (광장동, 현대아파트)",서울특별시 광진구 광장동 565,37.5418090784,127.098958,14179,17156,Y,지하주차장,02-450-1260,서울특별시 광진구청,2021-06-22
"중곡문화체육센터",공공용,"서울특별시 광진구 능동로 433 (중곡동, 중곡문화체육센터)",서울특별시 광진구 중곡동 168,37.567731,127.0848024301,1408,1706,Y,지하주차장,02-450-1050,서울특별시 광진구청,2021-06-22
"구의3동주민센터",공공용,"서울특별시 광진구 강변역로 17 (구의동, 구의제3동 복합청사)",서울특별시 광진구 구의동 587,37.5379934173,127.0919847464,132,160,Y,지하주차장,02-450-1240,서울특별시 광진구청,2021-06-22
"중곡1동 주민센터",공공용,"서울특별시 광진구 긴고랑로12길 49 (중곡동, 중곡제1동주민센터)",서울특별시 광진구 중곡동 259,37.5606676237,127.080053,132,160,Y,"회의,교육",02-450-7950,서울특별시 광진구청,2021-06-22
"건대입구역 7호선",공공용,"서울특별시 광진구 능동로 지하 110 (화양동, 7호선 건대입구역)",서울특별시 광진구 화양동 6,37.5408416053,127.0710464385,10813,13107,Y,기타,02-450-1840,서울특별시 광진구청,2021-06-22
"어린이대공원역",공공용,"서울특별시 광진구 능동로 지하 210 (능동, 어린이대공원)",서울특별시 광진구 능동 164,37.5478712033,127.074593,10169,12304,Y,기타,02-450-1120,서울특별시 광진구청,2021-06-22
"군자역",공공용,서울특별시 광진구 천호대로 지하 550,서울특별시 광진구 능동 275,37.557336,127.0790172790,10129,12256,Y,기타,02-450-7950,서울특별시 광진구청,2021-06-22
"래미안프리미어팰리스아파트",공공용,서울특별시 광진구 아차산로 345 (자양동),서울특별시 광진구 자양동 859,37.5375052411,127.0815829557,10734.2,13011,Y,지하주차장,02-450-1283,서울특별시 광진구청,2021-06-22
"동국대사대부여고",공공용,서울특별시 광진구 광나루로36길 47 (구의동),서울특별시 광진구 구의동 238,37.5419293578,127.0869730616,771.24,934,Y,교육장,02-450-1200,서울특별시 광진구청,2021-06-22
