"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"동부덕고개아파트",공공용,서울특별시 구로구 경인로 248-14,서울특별시 구로구 오류동 336,37.49755995,126.8478786,2215,2680,Y,주차장,02-2620-7454,서울특별시 구로구 오류1동주민센터,2020-09-15
"한신플러스타운",공공용,서울특별시 구로구 고척로 52,서울특별시 구로구 오류동 341,37.49856841,126.8404707,12893,15600,Y,주차장,02-2620-7454,서울특별시 구로구 오류1동주민센터,2020-09-15
"삼천리아파트",공공용,서울특별시 구로구 경인로8길75,서울특별시 구로구 오류동 340,37.4928695,126.8395728,16104,19520,Y,주차장,02-2620-7578,서울특별시 구로구 오류2동주민센터,2020-09-15
"오류2동주민센터",공공용,서울특별시 구로구 오류로45,서울특별시 구로구 오류동 172-76,37.48881354,126.8395133,118,80,Y,주민센터,02-2620-7578,서울특별시 구로구 오류2동주민센터,2020-09-15
"그린빌라",공공용,서울특별시 구로구 연동로287,서울특별시 구로구 항동 1-5,37.48729979,126.8232492,331,400,Y,기타,02-2620-7578,서울특별시 구로구항동주민센터,2020-09-15
"금강아파트",공공용,서울특별시 구로구 서해안로34가길18,서울특별시 구로구 오류동 335,37.49379081,126.8481845,992,1200,Y,주차장,02-2620-7578,서울특별시 구로구 오류2동주민센터,2020-09-15
"현대연립",공공용,서울특별시 구로구 오류로 62-15,서울특별시 구로구 오류동 156-15,37.48945483,126.8413472,331,400,Y,주차장,02-2620-7578,서울특별시 구로구 오류2동주민센터,2020-09-15
"경남아너스빌",공공용,서울특별시 구로구 오류로 65,서울특별시 구로구 오류동 344,37.49064484,126.8401133,12672,15360,Y,주차장,02-2620-7578,서울특별시 구로구 오류2동주민센터,2020-09-15
"금강수목원아파트",공공용,서울특별시 구로구 오리로1197,서울특별시 구로구 오류동 343,37.48870931,126.8341108,14962,18136,Y,주차장,02-2620-7578,서울특별시 구로구 오류2동주민센터,2020-09-15
"영풍마드레빌아파트",공공용,서울특별시 구로구 경인로8길64,서울특별시 구로구 오류동 342,37.4921685,126.8402916,25179,30520,Y,주차장,02-2620-7578,서울특별시 구로구 오류2동주민센터,2020-09-15
"천왕전철역",공공용,서울특별시 구로구 오리로 1154지하,서울특별시 구로구 오류동 174-5,37.486821,126.838713,6549,7924,Y,전철역,02-2620-7578,서울특별시 구로구 오류2동주민센터,2020-09-15
