"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"덕산아파트",공공용,서울특별시 금천구 시흥대로151길 45,서울특별시 금천구 가산동 148-1,37.47670959,126.8960717960,495,600,Y,주차장,02-851-9518,금천구청,2020-09-04
"두산아파트",공공용,서울특별시 금천구 가산로 99,서울특별시 금천구 가산동 769,37.4761567725,126.8912894037,18665,22624,Y,주차장,02-857-5690,금천구청,2020-09-04
"가산동주민센터",공공용,서울특별시 금천구 가산로 129,서울특별시 금천구 가산동 144-3,37.476852,126.8917888,330,400,Y,주차장,02-2627-2501,금천구청,2020-09-04
"가산디지털단지역(서울도시지하철공사)",공공용,서울특별시 금천구 벚꽃로 309,서울특별시 금천구 가산동 468-4,37.4815957375,126.8825594833,12552,15214,Y,역사,02-853-3115,금천구청,2020-09-04
"엘지텔레콤",공공용,서울특별시 금천구 시흥대로 479,서울특별시 금천구독산동 145-6,37.4763381891,126.8982166321,1980,2400,Y,주차장,02-818-9004,금천구청,2020-09-04
"청광플러스 원아파트",공공용,서울특별시 금천구 두산로11길 22,서울특별시 금천구 독산동 1139,37.4712926245,126.8941106,2756,3340,Y,주차장,02-852-5344,금천구청,2020-09-04
"독산1동주민센터",공공용,서울특별시 금천구 시흥대로123길 11,서울특별시 금천구 독산동 289-5,37.4702190458,126.8970424,231,280,Y,주차장,02-2627-2503,금천구청,2020-09-04
"진도2차아파트",공공용,서울특별시 금천구 두산로 36,서울특별시 금천구 독산동 1133,37.4702435695,126.8919159832,3003,3640,Y,주차장,02-891-3790,금천구청,2020-09-04
"홈플러스 테스코㈜ 금천점(독산)",공공용,서울특별시 금천구 시흥대로 391,서울특별시 금천구 독산동 291-7,37.46867128,126.8968843,15757,19099,Y,주차장,02-890-8000,금천구청,2020-09-04
"유창빌딩",공공용,서울특별시 금천구 범안로 1209,서울특별시 금천구 독산동 293-5,37.4668263458,126.8962852,1551,1880,Y,주차장,02-893-4527,금천구청,2020-09-04
"현대아파트",공공용,서울특별시 금천구 범안로17길 12,서울특별시 금천구 독산동 293-10,37.4671528686,126.8945479364,1617,1960,Y,주차장,02-808-7064,금천구청,2020-09-04
"라이프아파트",공공용,서울특별시 금천구 벚꽃로 60,서울특별시 금천구 독산동 1131,37.4610992575,126.8921659464,330,400,Y,주차장,02-893-9195,금천구청,2020-09-04
"이랜드해가든아파트",공공용,서울특별시 금천구 벚꽃로6길 3,서울특별시 금천구 독산동 1143,37.4606100090,126.8924635793,7930,9612,Y,주차장,02-6409-7903,금천구청,2020-09-04
"금천현대아파트",공공용,서울특별시 금천구 벚꽃로 73,서울특별시 금천구 독산동 711-2,37.4629085975,126.8904233075,21291,25808,Y,주차장,02-806-3117,금천구청,2020-09-04
"한신아파트",공공용,서울특별시 금천구 한내로 62,서울특별시 금천구 독산동 1093-4,37.4553907327,126.8888778456,11972,14512,Y,주차장,02-899-5126,금천구청,2020-09-04
"위너스골프연습장",공공용,서울특별시 금천구 시흥대로 296,서울특별시 금천구 독산동 1066-2,37.4596841915,126.8992882,491,595,Y,기계실,02-2104-5274,금천구청,2020-09-04
"무송빌딩",공공용,서울특별시 금천구 시흥대로 302,서울특별시 금천구 독산동 1066-1,37.46065038,126.8986523,165,200,Y,주차장,02-893-1403,금천구청,2020-09-04
"호정타워아파트",공공용,서울특별시 금천구 시흥대로88길 21,서울특별시 금천구 독산동 1069,37.46118816,126.9002835,2970,3600,Y,주차장,02-806-0230,금천구청,2020-09-04
"대우그린빌라",공공용,서울특별시 금천구 시흥대로90길 10,서울특별시 금천구 독산동 1066-19,37.4609276792,126.8989652,611,740,Y,주차장,02-894-0143,금천구청,2020-09-04
"유당빌딩",공공용,서울특별시 금천구 시흥대로 350,서울특별시 금천구 독산동 1054,37.46458207,126.8980310234,363,440,Y,주차장,02-804-0186,금천구청,2020-09-04
"림스빌딩(이영림치과)",공공용,서울특별시 금천구 시흥대로 362,서울특별시 금천구 독산동 1031-9,37.46584368,126.8980336,463,560,Y,주차장,02-893-2875,금천구청,2020-09-04
"독산2동주민센터",공공용,서울특별시 금천구 범안로 1240-7,서울특별시 금천구 독산동 1035-13,37.4661119703,126.8997389,2923,2411,Y,주차장,02-2104-5572,금천구청,2020-09-04
"창영빌딩",공공용,서울특별시 금천구 독산로 218,서울특별시 금천구 독산동 1038,37.46635827,126.9020058887,396,480,Y,주차장,02-809-7385,금천구청,2020-09-04
"덕왕빌딩",공공용,서울특별시 금천구 독산로64길 15,서울특별시 금천구 독산동 1041-33,37.4652295989,126.9034347,330,400,Y,주차장,02-803-4228,금천구청,2020-09-04
"동양드림아파트",공공용,서울특별시 금천구 독산로58나길 56,서울특별시 금천구 독산동 378-77,37.4655207961,126.9066854,362,438,Y,주차장,02-2104-5274,금천구청,2020-09-04
"목화2차아파트",공공용,서울특별시 금천구 문성로3길 8,서울특별시 금천구 독산동 1132,37.47670009,126.9045483163,990,1200,Y,주차장,02-858-5398,금천구청,2020-09-04
"목화빌라",공공용,서울특별시 금천구 문성로3길 3,서울특별시 금천구 독산동 885-5,37.47707723,126.9045508,673,816,Y,주차장,02-862-3863,금천구청,2020-09-04
"목화1차아파트",공공용,서울특별시 금천구 문성로1길 7,서울특별시 금천구 독산동 961-13,37.4767715981,126.9041709675,1231,1492,Y,주차장,02-857-1784,금천구청,2020-09-04
