"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"경기기계공고",공공용,서울특별시 노원구 공릉로 264,서울특별시 노원구 하계동 78,37.63224131,127.0749298,880,1066,N,,,하계1동,2020-07-10
"혜성여자고등학교",공공용,서울특별시 노원구 노원로16길 2,서울특별시 노원구 하계동 산 16-38,37.64054922,127.0736193,840,1018,N,,,하계1동,2020-07-10
"대진고등학교",공공용,서울특별시 노원구 공릉로62가길 47,서울특별시 노원구 하계동 55,37.63780505,127.076091,1300,1575,N,,,하계1동,2020-07-10
"영신여자고등학교 독서실",공공용,서울특별시 노원구 중계로16나길 13,서울특별시 노원구 중계동 118,37.6524538,127.0832769,264,320,N,,,중계본동,2020-07-10
"상계5동주민센터",공공용,서울특별시 노원구 한글비석로 434,서울특별시 노원구 상계동 167-2,37.66297906,127.0693664,250,303,N,,,상계5동,2020-07-10
"한신1차아파트",공공용,서울특별시 노원구 한글비석로46가길 16,서울특별시 노원구 상계동 135,37.66584442,127.0689429,12000,14545,N,,,상계5동,2020-07-10
"벽산상가",공공용,서울특별시 노원구 섬밭로 209,서울특별시 노원구 하계동 271-3,37.63493175,127.0656968,2500,3030,N,,,하계2동,2020-07-10
"현우상가",공공용,서울특별시 노원구 섬밭로 232,서울특별시 노원구 하계동 270,37.63679461,127.0663692,964,1168,N,,,하계2동,2020-07-10
"상록스토아",공공용,서울특별시 노원구 동일로227길 26,서울특별시 노원구 상계동 624,37.67019101,127.0546878,1683,2040,N,,,상계8동,2020-07-10
"한신2차아파트",공공용,서울특별시 노원구 한글비석로48길 6,서울특별시 노원구 상계동 451,37.66521445,127.0677183,4000,4848,N,,,상계5동,2020-07-10
"상계주공아파트 12단지 관리동",공공용,서울특별시 노원구 한글비석로 530,서울특별시 노원구 상계동 647,37.66693451,127.0591693,14000,16969,N,,,상계9동,2020-07-10
"보람아파트 관리소",공공용,서울특별시 노원구 한글비석로 479,서울특별시 노원구 상계동 685,37.66449908,127.0644852,2100,2545,N,,,상계9동,2020-07-10
"상계주공아파트 12단지 종합상가",공공용,서울특별시 노원구 동일로 1538,서울특별시 노원구 상계동 649,37.666236,127.057863,1500,1818,N,,,상계9동,2020-07-10
"보람상가",공공용,서울특별시 노원구 한글비석로 474,서울특별시 노원구 상계동 639-1,37.6648229,127.0654421,1800,2181,N,,,상계9동,2020-07-10
"청원중학교",공공용,서울특별시 노원구 한글비석로 506,서울특별시 노원구 상계동 641,37.66525335,127.0625319,208.08,252,N,,,상계9동,2020-07-10
"청원초등학교",공공용,서울특별시 노원구 한글비석로 506,서울특별시 노원구 상계동 641,37.66525335,127.0625319,800,969,N,,,상계9동,2020-07-10
"청원고등학교 청원관",공공용,서울특별시 노원구 한글비석로 506,서울특별시 노원구 상계동 641,37.66525335,127.0625319,1000,1212,N,,,상계9동,2020-07-10
"상계8동 주공16단지 헬스장",공공용,서울특별시 노원구 동일로227길 86,서울특별시 노원구 상계동 624,37.67040454,127.0527248,522,632,N,,,상계8동,2020-07-10
"북부여성창업보육센터",공공용,서울특별시 노원구 동일로207길 50,서울특별시 노원구 중계동 501-9,37.64282675,127.0612848,700,848,N,,,"중계2,3동",2020-07-10
"롯데상가",공공용,서울특별시 노원구 섬밭로 263,서울특별시 노원구 중계동 505,37.63913858,127.0638197,2500,3030,N,,,"중계2,3동",2020-07-10
"장미아파트 6단지상가",공공용,서울특별시 노원구 섬밭로 196,서울특별시 노원구 하계동 273,37.63399744,127.0672775,1400,1696,N,,,하계2동,2020-07-10
"하계2동주민센터",공공용,서울특별시 노원구 공릉로55길 88,서울특별시 노원구 하계동 273-2,37.63204371,127.067951,300,363,N,,,하계2동,2020-07-10
"상계9동 주민센터",공공용,서울특별시 노원구 한글비석로 487,서울특별시 노원구 상계동 682,37.66452106,127.0638188,200,242,N,,,상계9동,2020-07-10
"상계8동 주민센터",공공용,서울특별시 노원구 동일로227길 97,서울특별시 노원구 상계동 658,37.66673627,127.0515525,165.26,200,N,,,상계8동,2020-07-10
"벽산아파트108동상가",공공용,서울특별시 노원구 한글비석로 396,서울특별시 노원구 상계동 173-1,37.66230257,127.0735819,3500,4242,N,,,상계5동,2020-07-10
"벽산아파트109동상가",공공용,서울특별시 노원구 한글비석로 396,서울특별시 노원구 상계동 173-1,37.66230257,127.0735819,4000,4848,N,,,상계5동,2020-07-10
"창동차량기지사무소",공공용,서울특별시 노원구 노원로 573,서울특별시 노원구 상계동 820,37.65821493,127.0552094,666,807,N,,,상계10동,2020-07-10
"창동차량기지 후생관",공공용,서울특별시 노원구 노원로 573,서울특별시 노원구 상계동 820,37.65821493,127.0552094,499.5,606,N,,,상계10동,2020-07-10
"용화여고",공공용,서울특별시 노원구 동일로 1461,서울특별시 노원구 상계동 696,37.65913246,127.0582791,865.8,1049,N,,,상계10동,2020-07-10
"도봉면허시험장",공공용,서울특별시 노원구 동일로 1449,서울특별시 노원구 상계동 835-7,37.65748518,127.0588535,1732,2099,N,,,상계10동,2020-07-10
"위성프라자",공공용,서울특별시 노원구 상계로 55,서울특별시 노원구 상계동 693-2,37.65604964,127.0611642,832.5,1009,N,,,상계10동,2020-07-10
"노원프라자",공공용,서울특별시 노원구 상계로 51,서울특별시 노원구 상계동 693-1,37.65598494,127.0608333,577,699,N,,,상계10동,2020-07-10
"노원구 구민회관",공공용,서울특별시 노원구 동일로 1229,서울특별시 노원구 중계동 507-3,37.63896059,127.0663439,500,606,N,,,"중계2,3동",2020-07-10
"대진여고",공공용,서울특별시 노원구 공릉로 438,서울특별시 노원구 중계동 514-2,37.64612473,127.0671978,700,848,N,,,"중계2,3동",2020-07-10
"상계주공아파트 13단지 관리동",공공용,서울특별시 노원구 한글비석로54길 92,서울특별시 노원구 상계동 637,37.6685733,127.0611156,11000,13333,N,,,상계9동,2020-07-10
"서진골프연습장",공공용,서울특별시 노원구 동일로228길 29,서울특별시 노원구 상계동 629,37.66779606,127.0587483,462,560,N,,,상계9동,2020-07-10
"신한은행 마들역점",공공용,서울특별시 노원구 동일로 1546,서울특별시 노원구 상계동 649-4,37.66650278,127.0576864,1000,1212,N,,,상계9동,2020-07-10
"합동빌딩 지하주차장",공공용,서울특별시 노원구 동일로 1529,서울특별시 노원구 상계동 651-7,37.66509022,127.0573136,400,484,N,,,상계8동,2020-07-10
"주공10단지아파트 지하종합상가",공공용,서울특별시 노원구 동일로 1493,서울특별시 노원구 상계동 666-3,37.66164093,127.0579999990,990.14,1200,N,,,상계8동,2020-07-10
"세이브존",공공용,서울특별시 노원구 한글비석로 57,서울특별시 노원구 하계동 284,37.63662376,127.0689159,13500,16363,N,,,하계1동,2020-07-10
"중계그린B상가",공공용,서울특별시 노원구 동일로207길 17,서울특별시 노원구 중계동 503,37.64273512,127.0641718,1250,1515,N,,,"중계2,3동",2020-07-10
"국민은행 마들역점",공공용,서울특별시 노원구 동일로 1534,서울특별시 노원구 상계동 649-5,37.66547193,127.057944,500,606,N,,,상계9동,2020-07-10
"기업은행 지하주차장",공공용,서울특별시 노원구 동일로 1527,서울특별시 노원구 상계동 651-8,37.66479466,127.057395,800,969,N,,,상계8동,2020-07-10
"중계그린아파트 상가",공공용,서울특별시 노원구 동일로 1527,서울특별시 노원구 상계동 651-8,37.66479466,127.057395,350,424,N,,,"중계2,3동",2020-07-10
"건영옴니백화점",공공용,서울특별시 노원구 섬밭로 258,서울특별시 노원구 중계동 506-1,37.63910915,127.0649164,25000,30303,N,,,"중계2,3동",2020-07-10
"정안프라자",공공용,서울특별시 노원구 동일로 1308,서울특별시 노원구 중계동 515-2,37.64597506,127.0641655,1481,1795,N,,,"중계2,3동",2020-07-10
"중계무지개 아파트상가",공공용,서울특별시 노원구 동일로208길 19,서울특별시 노원구 중계동 513,37.6456137,127.0659102,500,606,N,,,"중계2,3동",2020-07-10
"무지개아파트 관리사무소",공공용,서울특별시 노원구 동일로208길 20,서울특별시 노원구 중계동 512,37.64325612,127.0669958,600,727,N,,,"중계2,3동",2020-07-10
"평화사회복지관",공공용,서울특별시 노원구 노원로 331,서울특별시 노원구 중계동 514-3,37.64617737,127.069659,1200,1454,N,,,"중계2,3동",2020-07-10
"목련아파트 상가",공공용,서울특별시 노원구 노원로 333,서울특별시 노원구 중계동 514-3,37.6466314,127.0697637,400,484,N,,,"중계2,3동",2020-07-10
"시영4단지목화아파트 상가",공공용,서울특별시 노원구 노원로19길 31,서울특별시 노원구 중계동 511-2,37.64348576,127.0687546,400,484,N,,,"중계2,3동",2020-07-10
"농협 지하주차장",공공용,서울특별시 노원구 동일로 1553,서울특별시 노원구 상계동 651-1,37.66707623,127.0567937,165.26,200,N,,,상계8동,2020-07-10
"연촌초등학교",공공용,서울특별시 노원구 공릉로58길 36,서울특별시 노원구 하계동 152,37.634416,127.0725121,700,848,N,,,하계1동,2020-07-10
"중계본동주민센터 지하시설",공공용,서울특별시 노원구 중계로 143,서울특별시 노원구 중계동 363-4,37.64780319,127.0802848,330.58,400,N,,,중계본동,2020-07-10
"대명프라자 지하주차장",공공용,서울특별시 노원구 한글비석로 254,서울특별시 노원구 중계동 364-22,37.65040376,127.0770875,892.57,1081,N,,,중계본동,2020-07-10
2001아울렛,공공용,서울특별시 노원구 공릉로 438,서울특별시 노원구 중계동 514-2,37.64612473,127.0671978,2500,3030,N,,,"중계2,3동",2020-07-10
"노원을지병원",공공용,서울특별시 노원구 한글비석로 68,서울특별시 노원구 하계동 280-1,37.6365585,127.0695911,14000,16969,N,,,하계1동,2020-07-10
"상명중학교",공공용,서울특별시 노원구 덕릉로 553,서울특별시 노원구 중계동 515,37.64954799,127.068044,495.87,601,N,,,"중계2,3동",2020-07-10
"상명고등학교",공공용,서울특별시 노원구 덕릉로 553,서울특별시 노원구 중계동 515,37.64954799,127.068044,495.87,601,N,,,"중계2,3동",2020-07-10
