"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"금용아파트",공공용,서울특별시 도봉구 노해로170-0,,37.6492235,127.0279696,3966.95,4808.424242,Y,주차장,,서울특별시 도봉구청,2018-05-15
"쌍문3동사무소",공공용,서울특별시 도봉구 노해로44길9,,37.6489437,127.0279086,244.63,296.5212121,Y,기타,,서울특별시 도봉구청,2018-05-15
"방학2동사무소",공공용,서울특별시 도봉구 시루봉로226,,37.668177,127.0350425,383.34,464.6545455,Y,기타,,서울특별시 도봉구청,2018-05-15
"현대1차아파트지하대피소",공공용,서울특별시 도봉구 해등로242-12,,37.6585281,127.0312211,809.92,981.7212121,Y,주차장,,서울특별시 도봉구청,2018-05-15
"방학1동사무소",공공용,서울특별시 도봉구 방학로2길27,,37.6641869,127.0406367,165.29,200.3515152,Y,기타,,서울특별시 도봉구청,2018-05-15
"극동아파트",공공용,서울특별시 도봉구 시루봉로11길25-5,,37.6643234,127.0268376,2112.41,2560.49697,Y,주차장,,서울특별시 도봉구청,2018-05-15
"도봉구민회관지하대피소",공공용,서울특별시 도봉구 도봉로552,,37.6540005,127.0386044,1619.84,1963.442424,Y,기타,,서울특별시 도봉구청,2018-05-15
"창5동주민센터",공공용,서울특별시 도봉구 도봉로136나길20,,37.6562098,127.0434809,660,800,Y,기타,,서울특별시 도봉구청,2018-05-15
"한양7차아파트대피소",공공용,서울특별시 도봉구 해등로25길41,,37.6560041,127.0338322,2512.41,3045.345455,Y,주차장,,서울특별시 도봉구청,2018-05-15
"현대2차아파트대피소",공공용,서울특별시 도봉구 시루봉로6길53,,37.6591984,127.0306616,661.16,801.4060606,Y,주차장,,서울특별시 도봉구청,2018-05-15
"거성학마을아파트",공공용,서울특별시 도봉구 도당로116,,37.6665669,127.039578,3276.05,3970.969697,Y,기타,,서울특별시 도봉구청,2018-05-15
"백상빌딩",공공용,서울특별시 도봉구 노해로397-15,,37.653355,127.0518097,3371.92,4087.175758,Y,기타,,서울특별시 도봉구청,2018-05-15
"방학3동531신동아",공공용,서울특별시 도봉구 방학로15길40,,37.6591068,127.0234943,8957,10856.9697,Y,기타,,서울특별시 도봉구청,2018-05-15
"청구아파트",공공용,서울특별시 도봉구 시루봉로71,,37.6575265,127.0260117,8824,10695.75758,Y,주차장,,서울특별시 도봉구청,2018-05-15
"방학3동507우성1차아파트",공공용,서울특별시 도봉구 해등로286-5,,37.6578986,127.023934,11871,14389.09091,Y,주차장,,서울특별시 도봉구청,2018-05-15
"방학3동508우성2차아파트",공공용,서울특별시 도봉구 해등로307,,37.6568265,127.0219908,7760,9406.060606,Y,주차장,,서울특별시 도봉구청,2018-05-15
"벽산아파트지하주차장",공공용,서울특별시 도봉구 시루봉로5길48,,37.6587155,127.0254295,8424,10210.90909,Y,기타,,서울특별시 도봉구청,2018-05-15
"창동주공3단지아파트",공공용,서울특별시 도봉구 해등로50,,37.6500415,127.0436076,10527,12760,Y,주차장,,서울특별시 도봉구청,2018-05-15
"삼성아파트지하주차장",공공용,서울특별시 도봉구 노해로66길21,,37.6488798,127.0484783,10527,12760,Y,기타,,서울특별시 도봉구청,2018-05-15
"창동주공4단지아파트",공공용,서울특별시 도봉구 덕릉로350,,37.6441224,127.0479248,10560,12800,Y,주차장,,서울특별시 도봉구청,2018-05-15
"창동주공3단지아파트",공공용,서울특별시 도봉구 해등로48,,37.6485844,127.0437045,583.4,707.1515152,Y,주차장,,서울특별시 도봉구청,2018-05-15
"성원아파트",공공용,서울특별시 도봉구 방학로11길10,,37.6612226,127.0316077,5593,6779.393939,Y,주차장,,서울특별시 도봉구청,2018-05-15
"신동아4단지아파트",공공용,서울특별시 도봉구 방학로200,,37.6626197,127.0299133,3309.11,4011.042424,Y,주차장,,서울특별시 도봉구청,2018-05-15
"현대3차아파트",공공용,서울특별시 도봉구 우이천로38가길32,,37.6518064,127.0216044,916.92,1111.418182,Y,주차장,,서울특별시 도봉구청,2018-05-15
"도봉구시설관리공단",공공용,서울특별시 도봉구 노래로63길43,,37.6525861,127.0440679,1752.07,2123.721212,Y,기타,,서울특별시 도봉구청,2018-05-15
"북부교육청",공공용,서울특별시 도봉구 노해로313,,37.6516859,127.0433904,528.93,641.1272727,Y,기타,,서울특별시 도봉구청,2018-05-15
