"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"답십리1동 (5호선) 답십리역,4번출구(우창프라자앞)",공공용,"서울특별시 동대문구 천호대로 295 (답십리동, 우창프라자아파트)",서울특별시 동대문구 답십리동 494-2,37.566472,127.053822,5890,7138,Y,대합실,02-2171-6226,서울특별시 동대문구 답십리1동,2021-04-15
"답십리1동 청계벽산메가트리움",공공용,서울특별시 동대문구 천호대로 241 (답십리동),서울특별시 동대문구 답십리동 999,37.56980167,127.049433,9429,11427,Y,주차장,02-2171-6226,서울특별시 동대문구 답십리1동,2021-04-15
"답십리1동 청계한신휴플러스(아)",공공용,서울특별시 동대문구 서울시립대로 14 (답십리동),서울특별시 동대문구 답십리동 1002,37.572059,127.047254,12698,39633,Y,주차장,02-2171-6226,서울특별시 동대문구 답십리1동,2021-04-15
"답십리1동 답십리 한화아파트",공공용,서울특별시 동대문구 고미술로 57 (답십리동),서울특별시 동대문구 답십리동 994,37.566995,127.053963,6235,7556,Y,주차장,02-2171-6226,서울특별시 동대문구 답십리1동,2021-04-15
"답십리1동 래미안 위브(아파트)",공공용,"서울특별시 동대문구 답십리로 130 (답십리동, 래미안위브아파트)",서울특별시 동대문구 답십리동 1003,37.572849,127.052429,15732,31188,Y,주차장,02-2171-6226,서울특별시 동대문구 답십리1동,2021-04-15
"답십리2동 우성그린아파트",공공용,"서울특별시 동대문구 답십리로59길 33 (답십리동, 우성그린아파트)",서울특별시 동대문구 답십리동 989-1,37.57506231,127.066506,3944,4772,Y,주차장,02-2171-6252,서울특별시 동대문구 답십리2동,2021-04-15
"답십리2동 두산아파트(105동)",공공용,"서울특별시 동대문구 답십리로56길 21 (답십리동, 두산아파트)",서울특별시 동대문구 답십리동 990,37.570061,127.059845,700,2800,Y,주차장,02-2171-6252,서울특별시 동대문구 답십리2동,2021-04-15
"답십리2동 청솔우성아파트",공공용,"서울특별시 동대문구 전농로10길 20 (답십리동, 답십리청솔우성아파트)",서울특별시 동대문구 답십리동 80,37.574604,127.060116,18800,2600,Y,주차장,02-2171-6252,서울특별시 동대문구 답십리2동,2021-04-15
"답십리2동 동아아파트(104동)",공공용,"서울특별시 동대문구 한천로11길 10-1 (답십리동, 동아아파트)",서울특별시 동대문구 답십리동 10,37.569886,127.061624,24800,3246,Y,주차장,02-2171-6252,서울특별시 동대문구 답십리2동,2021-04-15
"답십리2동 두산임대아파트",공공용,"서울특별시 동대문구 답십리로56길 21-1 (답십리동, 두산아파트)",서울특별시 동대문구 답십리동 990-1,37.569777,127.059237,2248,2720,Y,주차장,02-2171-6252,서울특별시 동대문구 답십리2동,2021-04-15
"답십리2동 청솔2차우성아파트(지하)",공공용,"서울특별시 동대문구 전농로10길 80 (답십리동, 청솔2차우성아파트)",서울특별시 동대문구 답십리동 80-2,37.57549365,127.0619858,1021,21026,Y,주차장,02-2171-6252,서울특별시 동대문구 답십리2동,2021-04-15
"용신동 동대문구청",공공용,서울특별시 동대문구 천호대로 145 (용두동),서울특별시 동대문구 용두동 39-9,37.574333,127.039832,12021,2892,Y,주차장,02-2171-6521,서울특별시 동대문구 용신동,2021-04-15
"용신동 (1호선)신설동역",공공용,"서울특별시 동대문구 왕산로 지하 1 (신설동, 신설동역)",서울특별시 동대문구 신설동 76-5,37.57531948,127.0247019,6248,7573,Y,대합실,02-2171-6521,서울특별시 동대문구 용신동,2021-04-15
"용신동 (2호선)신설동역",공공용,"서울특별시 동대문구 왕산로 지하 1 (신설동, 신설동역)",서울특별시 동대문구 신설동 76-5,37.57531948,127.0247019,3001,3638,Y,대합실,02-2171-6521,서울특별시 동대문구 용신동,2021-04-15
"용신동 (2호선)용두역",공공용,서울특별시 동대문구 천호대로 지하 129 (용두동),서울특별시 동대문구 용두동 47-1,37.57393967,127.0380311,3100,15995,Y,대합실,02-2171-6521,서울특별시 동대문구 용신동,2021-04-15
"용신동 용두두산위브아파트",공공용,"서울특별시 동대문구 정릉천동로 16 (용두동, 용두두산위브)",서울특별시 동대문구 용두동 791,37.573458,127.035305,15660,18980,Y,주차장,02-2171-6521,서울특별시 동대문구 용신동,2021-04-15
"용신동 래미안허브리츠아파트",공공용,"서울특별시 동대문구 정릉천동로 36 (용두동, 래미안허브리츠)",서울특별시 동대문구 용두동 792,37.575482,127.037101,22368,52268,Y,주차장,02-2171-6521,서울특별시 동대문구 용신동,2021-04-15
"용신동 동부시립병원",공공용,"서울특별시 동대문구 무학로 124 (용두동, 시립동부병원)",서울특별시 동대문구 용두동 118-20,37.575346,127.0315113,11580,14036,Y,주차장,02-2171-6521,서울특별시 동대문구 용신동,2021-04-15
"이문1동 삼익아파트",공공용,"서울특별시 동대문구 한천로55길 9 (이문동, 이문동삼익아파트)",서울특별시 동대문구 이문동 73,37.59608005,127.0676103,10622,12852,Y,주차장,02-2171-6471,서울특별시 동대문구 이문1동,2021-04-15
"이문1동 중앙하이츠빌",공공용,"서울특별시 동대문구 외대역동로 101 (이문동, 중앙하이츠빌)",서울특별시 동대문구 이문동 84,37.596772,127.0649114,1559,21600,Y,주차장,02-2171-6471,서울특별시 동대문구 이문1동,2021-04-15
"이문1동 래미안2차아파트",공공용,"서울특별시 동대문구 이문로12길 3-10 (이문동, 래미안이문2차아파트)",서울특별시 동대문구 이문동 311,37.593028,127.060971,16262,19530,Y,주차장,02-2171-6471,서울특별시 동대문구 이문1동,2021-04-15
"이문1동 한국외국어대 교수학습개발원",공공용,서울특별시 동대문구 이문로 107 (이문동),서울특별시 동대문구 이문동 270-1,37.598293,127.057927,2109,2530,Y,강의실,02-2171-6471,서울특별시 동대문구 이문1동,2021-04-15
"이문2동 대우아파트 지하주차장",공공용,"서울특별시 동대문구 한천로58길139(이문동,대우아파트)",서울특별시 동대문구 이문동 45,37.60366138,127.070027,15724,19059,Y,주차장,02-2171-6506,서울특별시 동대문구 이문2동,2021-04-15
"이문2동 이문e편한세상아파트",공공용,"서울특별시 동대문구 한천로63길 10 (이문동, 이문e편한세상아파트)",서울특별시 동대문구 이문동 225,37.60490472,127.0637089,15724,25236,Y,주차장,02-2171-6506,서울특별시 동대문구 이문2동,2021-04-15
"이문2동 이문쌍용아파트",공공용,"서울특별시 동대문구 한천로58길 47 (이문동, 쌍용아파트)",서울특별시 동대문구 이문동 64,37.600749,127.068756,15843,8452,Y,주차장,02-2171-6506,서울특별시 동대문구 이문2동,2021-04-15
"이문2동 이문현대아파트",공공용,"서울특별시 동대문구 한천로58길 107 (이문동, 현대아파트)",서울특별시 동대문구 이문동 54,37.601261,127.069758,18760,7332,Y,주차장,02-2171-6506,서울특별시 동대문구 이문2동,2021-04-15
"장안1동 구민회관",공공용,서울특별시 동대문구 장한로18길 82-9 (장안동),서울특별시 동대문구 장안동 354-5,37.567357,127.073417,681,824,Y,기타,02-2171-6593,서울특별시 동대문구 장안1동,2021-04-15
"장안1동 레미안 장안아파트",공공용,"서울특별시 동대문구 장한로14길 81 (장안동, 래미안장안아파트)",서울특별시 동대문구 장안동 354-2,37.566815,127.072167,25216,30076,Y,주차장,02-2171-6593,서울특별시 동대문구 장안1동,2021-04-15
"장안1동 장안현대홈타운",공공용,서울특별시 동대문구 장안벚꽃로 107 (장안동),서울특별시 동대문구 장안동 336,37.571037,127.075113,15481,18732,Y,주차장,02-2171-6593,서울특별시 동대문구 장안1동,2021-04-15
"장안1동 (5호선)장한평역",공공용,"서울특별시 동대문구 천호대로 지하 405 (장안동, 장한평역)",서울특별시 동대문구 장안동 472-3,37.561501,127.064423,2532,3064,Y,대합실,02-2171-6593,서울특별시 동대문구 장안1동,2021-04-15
"장안1동 현대벤처빌",공공용,"서울특별시 동대문구 장한로 85 (장안동, 장안현대벤처빌)",서울특별시 동대문구 장안동 374-1,37.568537,127.0688033,7260,8000,Y,주차장,02-2171-6593,서울특별시 동대문구 장안1동,2021-04-15
"장안2동 경남호텔",공공용,"서울특별시 동대문구 장한로 110 (장안동, 경남관광호텔)",서울특별시 동대문구 장안동 366-7,37.570113,127.0710053,2433,2944,Y,기타,02-2171-6359,서울특별시 동대문구 장안2동,2021-04-15
"장안2동 한신아파트",공공용,"서울특별시 동대문구 사가정로 245-3 (장안동, 한신아파트)",서울특별시 동대문구 장안동 555-1,37.57999823,127.0721874,6258,7572,Y,주차장,02-2171-6359,서울특별시 동대문구 장안2동,2021-04-15
"장안2동 삼성래미안장안2차",공공용,"서울특별시 동대문구 장안벚꽃로 167 (장안동, 래미안장안2차아파트)",서울특별시 동대문구 장안동 329-3,37.575058,127.074261,22932,27540,Y,주차장,02-2171-6359,서울특별시 동대문구 장안2동,2021-04-15
"장안2동 장안힐스테이트아파트(107동)주차장",공공용,"서울특별시 동대문구 장안벚꽃로1길 7 (장안동, 장안힐스테이트)",서울특별시 동대문구 장안동 329-2,37.576349,127.074528,40710,49300,Y,주차장,02-2171-6359,서울특별시 동대문구 장안2동,2021-04-15
"전농1동 (1호선)청량리역",공공용,"서울특별시 동대문구 왕산로 지하 205 (전농동, 청량리역)",서울특별시 동대문구 전농동 620-69,37.58022614,127.045021,6208,7512,Y,대합실,02-2171-6578,서울특별시 동대문구 전농1동,2021-04-15
"전농1동 전농동신성미소지움아파트",공공용,"서울특별시 동대문구 서울시립대로 75 (전농동, 전농동신성미소지움아파트)",서울특별시 동대문구 전농동 687-60,37.57825367,127.0478462,14736,17850,Y,주차장,02-2171-6578,서울특별시 동대문구 전농1동,2021-04-15
"전농1동 동아아파트",공공용,서울특별시 동대문구 서울시립대로 31 (전농동),서울특별시 동대문구 전농동 645-2,37.57531361,127.045854,11032,13348,Y,주차장,02-2171-6578,서울특별시 동대문구 전농1동,2021-04-15
"전농1동 씨티빌라트",공공용,"서울특별시 동대문구 전농로 222 (전농동, 씨티빌라트)",서울특별시 동대문구 전농동 103-340,37.583941,127.0535991,899,1088,Y,주차장,02-2171-6578,서울특별시 동대문구 전농1동,2021-04-15
"전농1동 롯데백화점 청량리역사점(신)",공공용,"서울특별시 동대문구 왕산로 214 (전농동, 청량리역,롯데백화점)",서울특별시 동대문구 전농동 591-53,37.58419614,127.0511471,32982,39978,Y,주차장,02-2171-6578,서울특별시 동대문구 전농1동,2021-04-15
"전농1동 래미안 크레시티 아파트",공공용,"서울특별시 동대문구 사가정로 65 (전농동, 래미안크레시티아파트)",서울특별시 동대문구 전농동 690,37.575521,127.049678,38955,47218,Y,주차장,02-2171-6578,서울특별시 동대문구 전농1동,2021-04-15
