"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"유원아파트",공공용,서울특별시 동작구 노량진로23가길 20,서울특별시 동작구 본동 482,37.51508958,126.9510269,2727,3305,Y,,,서울특별시 동작구청,2021-05-31
"고려이앤씨",공공용,서울특별시 동작구 노량진로 186,서울특별시 동작구 노량진동 128-2,37.5125748616,126.9460310291,1322,1602,Y,,,서울특별시 동작구청,2021-05-31
"상도건영아파트",공공용,서울특별시 동작구 만양로 26,서울특별시 동작구 상도동 414,37.50763224,126.9495433,8034,9738,Y,,,서울특별시 동작구청,2021-05-31
"삼익아파트",공공용,서울특별시 동작구 만양로 84,서울특별시 동작구 노량진동 330,37.51136769,126.9452247,5246,6358,Y,,,서울특별시 동작구청,2021-05-31
"산본빌딩",공공용,서울특별시 동작구 노량진로 138,서울특별시 동작구 노량진동 56-1,37.51319659,126.9411966,6102,7396,Y,,,서울특별시 동작구청,2021-05-31
"극동아파트",공공용,서울특별시 동작구 매봉로 158,서울특별시 동작구 본동 148-2,37.51144614,126.9515722,1219,1477,Y,,,서울특별시 동작구청,2021-05-31
"본동 신동아아파트",공공용,서울특별시 동작구 매봉로 134,서울특별시 동작구 본동 481,37.51014866,126.9514916,4912,5953,Y,,,서울특별시 동작구청,2021-05-31
"경동윈츠리버아파트",공공용,서울특별시 동작구 노량진로32길 156,서울특별시 동작구 본동 484,37.50939662,126.954487,8754,10610,Y,,,서울특별시 동작구청,2021-05-31
"삼성래미안아파트",공공용,서울특별시 동작구 매봉로 123,서울특별시 동작구 본동 492,37.51014438,126.9498674,20921,25358,Y,,,서울특별시 동작구청,2021-05-31
"한신휴플러스아파트",공공용,서울특별시 동작구 매봉로 99,서울특별시 동작구 본동 487,37.50920702,126.9491306,10881,13189,Y,,,서울특별시 동작구청,2021-05-31
"신동아리버파크",공공용,서울특별시 동작구 만양로 19,서울특별시 동작구 노량진동 325,37.50707192,126.9457209,36975,44818,Y,,,서울특별시 동작구청,2021-05-31
"신동아아파트",공공용,서울특별시 동작구 만양로3길 78,서울특별시 동작구 노량진동 327,37.50635255,126.9411703,6363,7712,Y,,,서울특별시 동작구청,2021-05-31
"노량진역 9호선",공공용,서울특별시 동작구 노량진로 지하 130,서울특별시 동작구 노량진동 60-11,37.51357483,126.9408253,8912,10802,Y,,,서울특별시 동작구청,2021-05-31
"노들역 9호선",공공용,서울특별시 동작구 노량진로 지하 238,서울특별시 동작구 본동 475-1,37.51278023,126.9530643,9020,10933,Y,,,서울특별시 동작구청,2021-05-31
"노량진 우성아파트",공공용,서울특별시 동작구 만양로8길 50,서울특별시 동작구 노량진동 323,37.51030525,126.9468677,26208,31767,Y,,,서울특별시 동작구청,2021-05-31
"노량진 쌍용예가아파트",공공용,서울특별시 동작구 장승배기로16길 134,서울특별시 동작구 노량진동 332,37.51026413,126.9436782,17738,21500,Y,,,서울특별시 동작구청,2021-05-31
"동작구청",공공용,서울특별시 동작구 장승배기로 161,서울특별시 동작구 노량진동 47-2,37.51252922,126.9399439,2380,2884,Y,,,서울특별시 동작구청,2021-05-31
"백이빌딩",공공용,서울특별시 동작구 노량진로 116,서울특별시 동작구 노량진동 42-11,37.51315576,126.938853,1157,1402,Y,,,서울특별시 동작구청,2021-05-31
"노량진2동주민센터",공공용,서울특별시 동작구 장승배기로19길 48,서울특별시 동작구 노량진동 302-97,37.50850577,126.9373186,363,440,Y,,,서울특별시 동작구청,2021-05-31
"화동코웨이상가",공공용,서울특별시 동작구 노량진로6길 45,서울특별시 동작구 노량진동 283-3,37.51094137,126.9359865,1209,1465,Y,,,서울특별시 동작구청,2021-05-31
"기독교방송국",공공용,서울특별시 동작구 노량진로 100,서울특별시 동작구 노량진동 27-2,37.51297098,126.9370027,2221,2692,Y,,,서울특별시 동작구청,2021-05-31
"아이비빌딩",공공용,서울특별시 동작구 장승배기로 171,서울특별시 동작구 노량진동 45-3,37.51301576,126.9399435,3877,4699,Y,,,서울특별시 동작구청,2021-05-31
"장성교회장성사우나",공공용,서울특별시 동작구 장승배기로 113,서울특별시 동작구 노량진동 312-6,37.5079482,126.9393368,3537,4287,Y,,,서울특별시 동작구청,2021-05-31
"청화병원",공공용,서울특별시 동작구 장승배기로 108,서울특별시 동작구 노량진동 311-8,37.50714136,126.9402423,583,706,Y,,,서울특별시 동작구청,2021-05-31
"대방동주민센터",공공용,서울특별시 동작구 여의대방로44길 20,서울특별시 동작구 대방동 350-8,37.50814983,126.9263254,231,280,Y,,,서울특별시 동작구청,2021-05-31
"유한양행",공공용,서울특별시 동작구 노량진로 74,서울특별시 동작구 대방동 49-6,37.51272028,126.9340266550,17266,20928,Y,,,서울특별시 동작구청,2021-05-31
"성원아파트",공공용,서울특별시 동작구 여의대방로44길 9,서울특별시 동작구 대방동 500,37.50973174,126.9259167,2069,2507,Y,,,서울특별시 동작구청,2021-05-31
"보라매코오롱하늘채아파트",공공용,서울특별시 동작구 여의대방로24다길 40,서울특별시 동작구 대방동 509,37.49851408,126.9228789,5616,6807,Y,,,서울특별시 동작구청,2021-05-31
"솔표빌딩",공공용,서울특별시 동작구 노량진로 26,서울특별시 동작구 대방동 339-1,37.51295198,126.9289267,8727,10578,Y,,,서울특별시 동작구청,2021-05-31
"사당1동주민센터",공공용,서울특별시 동작구 동작대로17길 28,서울특별시 동작구 사당동 1004-52,37.48307246,126.9787711,591,716,Y,,,서울특별시 동작구청,2021-05-31
"한국엔지니어링진흥협회",공공용,서울특별시 동작구 남부순환로 2017,서울특별시 동작구 사당동 1049-1,37.47620194,126.9727902,803,973,Y,,,서울특별시 동작구청,2021-05-31
"사당역",공공용,서울특별시 동작구 동작대로 지하 3,서울특별시 동작구 사당동 588-44,37.47686318,126.9815947,28490,34533,Y,,,서울특별시 동작구청,2021-05-31
"쌍립빌딩",공공용,서울특별시 동작구 동작대로 59,서울특별시 동작구 사당동 1008-22,37.4820006226,126.9814849,12226,14819,Y,,,서울특별시 동작구청,2021-05-31
"삼성아파트",공공용,서울특별시 동작구 사당로26길 130-6,서울특별시 동작구 사당동 1037-9,37.47803381,126.9776465,5270,6387,Y,,,서울특별시 동작구청,2021-05-31
"르메이에르아파트",공공용,서울특별시 동작구 사당로20길 119,서울특별시 동작구 사당동 1141,37.47843302,126.973617,4824,5847,Y,,,서울특별시 동작구청,2021-05-31
"동작역 4호선",공공용,서울특별시 동작구 현충로 257,서울특별시 동작구 동작동 327-1,37.50286965,126.9802674,1031,1249,Y,,,서울특별시 동작구청,2021-05-31
"사당신동아아파트5단지",공공용,서울특별시 동작구 동작대로29길 118,서울특별시 동작구 사당동 1137-1,37.49104067,126.9771496,10024,12150,Y,,,서울특별시 동작구청,2021-05-31
"사당동삼성아파트",공공용,서울특별시 동작구 동작대로35아길 14,서울특별시 동작구 사당동 1140,37.49310268,126.9799578,2174,2635,Y,,,서울특별시 동작구청,2021-05-31
"이수역 7호선",공공용,서울특별시 동작구 사당로 지하 310,서울특별시 동작구 사당동 144-4,37.48501541,126.9810228,18757,22735,Y,,,서울특별시 동작구청,2021-05-31
"사당2동주민센터",공공용,서울특별시 동작구 동작대로29길 52,서울특별시 동작구 사당동 105-12,37.48871285,126.9792534,231,280,Y,,,서울특별시 동작구청,2021-05-31
"사당극동아파트",공공용,서울특별시 동작구 동작대로29길 119,서울특별시 동작구 사당동 105,37.49088908,126.9760551,10479,12701,Y,,,서울특별시 동작구청,2021-05-31
"사당우성아파트2단지",공공용,서울특별시 동작구 동작대로29길 91,서울특별시 동작구 사당동 105,37.48802032,126.9762957,6497,7875,Y,,,서울특별시 동작구청,2021-05-31
"총신대역 4호선",공공용,서울특별시 동작구 동작대로 지하 117,서울특별시 동작구 사당동 736-1,37.48755284,126.9821981,2640,3200,Y,,,서울특별시 동작구청,2021-05-31
"동작역 9호선",공공용,서울특별시 동작구 현충로 지하 220,서울특별시 동작구 동작동 326,37.50306746,126.9779376,15955,19339,Y,,,서울특별시 동작구청,2021-05-31
"대림아파트",공공용,서울특별시 동작구 사당로17길 52,서울특별시 동작구 사당동 169-8,37.48742859,126.973148,360,436,Y,,,서울특별시 동작구청,2021-05-31
"현대아파트",공공용,서울특별시 동작구 사당로13길 86,서울특별시 동작구 사당동 169-32,37.48761176,126.9705021,963,1167,Y,,,서울특별시 동작구청,2021-05-31
"사당3동주민센터",공공용,서울특별시 동작구 사당로17길 86,서울특별시 동작구 사당동 169-12,37.4866859,126.9720402,198,240,Y,,,서울특별시 동작구청,2021-05-31
"경남아너스빌",공공용,서울특별시 동작구 사당로9가길 82,서울특별시 동작구 사당동 1134,37.48828122,126.9671322,7550,9151,Y,,,서울특별시 동작구청,2021-05-31
"사당롯데캐슬아파트",공공용,서울특별시 동작구 사당로27길 181,서울특별시 동작구 사당동 1149,37.49055293,126.9716271,6578,7973,Y,,,서울특별시 동작구청,2021-05-31
"삼성래미안아파트",공공용,서울특별시 동작구 사당로23바길 9,서울특별시 동작구 사당동 1133,37.48960806,126.9691896,44480,53915,Y,,,서울특별시 동작구청,2021-05-31
"롯데캐슬아파트",공공용,서울특별시 동작구 사당로27길 190,서울특별시 동작구 사당동 1132,37.49096018,126.9715998,29117,35293,Y,,,서울특별시 동작구청,2021-05-31
"남성역",공공용,서울특별시 동작구 사당로 지하 218,서울특별시 동작구 사당동 산 25-33,37.48444411,126.9717063,4879,5913,Y,,,서울특별시 동작구청,2021-05-31
KCC아파트,공공용,서울특별시 동작구 사당로20나길 57,서울특별시 동작구 사당동 1153,37.48159744,126.9739596,4298,5209,Y,,,서울특별시 동작구청,2021-05-31
"사당삼익그린뷰아파트",공공용,서울특별시 동작구 남부순환로255길 21,서울특별시 동작구 사당동 1150,37.47737589,126.9688916,6732,8160,Y,,,서울특별시 동작구청,2021-05-31
"진흥아파트",공공용,서울특별시 동작구 사당로16아길 43,서울특별시 동작구 사당동 1142,37.48056197,126.969329,3743,4536,Y,,,서울특별시 동작구청,2021-05-31
"사당휴먼시아아파트",공공용,서울특별시 동작구 사당로16길 96,서울특별시 동작구 사당동 1154,37.47949539,126.9701389,13395,16236,Y,,,서울특별시 동작구청,2021-05-31
"사당제5동주민센터",공공용,서울특별시 동작구 사당로2가길 219,서울특별시 동작구 사당동 228-11,37.48566105,126.9669796,323,391,Y,,,서울특별시 동작구청,2021-05-31
"사당자이아파트",공공용,서울특별시 동작구 사당로2가길 102,서울특별시 동작구 사당동 1139,37.4883730263,126.9634174477,13777,16699,Y,,,서울특별시 동작구청,2021-05-31
"남해오네뜨아파트",공공용,서울특별시 동작구 사당로2가길 173,서울특별시 동작구 사당동 1143,37.48701215,126.9655272,4944,5992,Y,,,서울특별시 동작구청,2021-05-31
"삼호그린아파트",공공용,서울특별시 동작구 사당로2가길 188,서울특별시 동작구 사당동 1138,37.48644271,126.9655229,7647,9269,Y,,,서울특별시 동작구청,2021-05-31
"장은해그린아파트",공공용,서울특별시 동작구 사당로2길 40,서울특별시 동작구 사당동 1145,37.4919166,126.9634127,2983,3615,Y,,,서울특별시 동작구청,2021-05-31
"상도역",공공용,서울특별시 동작구 상도로 지하 272,서울특별시 동작구 상도1동 702-1,37.50320931,126.9477006,9240,11200,Y,,,서울특별시 동작구청,2021-05-31
"숭실대학교한국기독교박물관",공공용,서울특별시 동작구 상도로 369,서울특별시 동작구 상도동 511,37.4964296,126.9551598,5300,6424,Y,,,서울특별시 동작구청,2021-05-31
"숭실대입구역",공공용,서울특별시 동작구 상도로 지하 378,서울특별시 동작구 상도동 514,37.49581289,126.954061,9355,11339,Y,,,서울특별시 동작구청,2021-05-31
"힐스테이트 상도 센트럴파크",공공용,서울특별시 동작구 상도로 346-1,서울특별시 동작구 상도동 531,37.4967899772,126.9516674531,44696,54176,Y,,,서울특별시 동작구청,2021-05-31
"힐스테이트 상도 프레스티지",공공용,서울특별시 동작구 상도로 346-2,서울특별시 동작구 상도동 533,37.49475091,126.9482719,39551,47940,Y,,,서울특별시 동작구청,2021-05-31
"삼성래미안3차아파트",공공용,서울특별시 동작구 상도로53길 8,서울특별시 동작구 상도동 431,37.50086213,126.9540534,1650,2000,Y,,,서울특별시 동작구청,2021-05-31
