"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"한청빌딩 지하대피시설",공공용,"서울특별시 마포구 독막로 291 (염리동, 한청실업빌딩)",서울특별시 마포구 염리동 161번지 7호,37.5447373100,126.9454854000,605,730,Y,,02-3153-8332,마포구청,2021-08-12
"재화스퀘어 지하대피시설",공공용,"서울특별시 마포구 독막로 311 (염리동, 재화스퀘어)",서울특별시 마포구 염리동 168번지 9호,37.5439965080,126.9474812253,6033,7310,Y,,02-3153-8332,마포구청,2021-08-12
"이대전철역",공공용,서울특별시 마포구 신촌로 지하 180 (대흥동),서울특별시 마포구 대흥동 8번지 85호,37.5567963900,126.9457573000,8023,32664,Y,,02-3153-8332,마포구청,2021-08-12
"신촌전철역",공공용,서울특별시 마포구 신촌로 지하 90 (노고산동),서울특별시 마포구 노고산동 31번지 11호,37.5554400800,126.9361204000,9428,37656,Y,,02-3153-8332,마포구청,2021-08-12
"거구장대피소",공공용,서울특별시 마포구 백범로 23 (신수동),서울특별시 마포구 신수동 63번지 14호,37.5524351200,126.9375580000,2726,10904,Y,,02-3153-8332,마포구청,2021-08-12
KT 지하대피시설,공공용,"서울특별시 마포구 숭문길 13 (염리동, 한국통신전산지원단)",서울특별시 마포구 염리동 85번지 2호,37.5476455700,126.9451348000,1231,1490,Y,,02-3153-8332,마포구청,2021-08-12
"서교동주민센터",공공용,서울특별시 마포구 동교로15길 7 (서교동),서울특별시 마포구 서교동 478번지 5호,37.5551093100,126.9145907000,448.54,543,Y,,02-3153-8332,마포구청,2021-08-12
"아현전철역",공공용,"서울특별시 마포구 신촌로 지하 270 (아현동, 아현역)",서울특별시 마포구 아현동 354번지 23호,37.5573592800,126.9560333000,3498,7838,Y,,02-3153-8332,마포구청,2021-08-12
"염리동주민센터",공공용,"서울특별시 마포구 숭문길 14 (염리동, 염리동 주민센터)",서울특별시 마포구 염리동 147번지 14호,37.5470727700,126.9456467000,246,290,Y,,02-3153-8332,마포구청,2021-08-12
"뉴한일빌딩",공공용,서울특별시 마포구 백범로 130 (염리동),서울특별시 마포구 염리동 156번지 1호,37.5461571600,126.9452173000,610,730,Y,,02-3153-8332,마포구청,2021-08-12
"서울지방검찰청 서부지청",공공용,"서울특별시 마포구 마포대로 174 (공덕동, 서부지방법원,서부지방검찰청)",서울특별시 마포구 공덕동 105번지 1호,37.5496538500,126.9557662000,4380,5300,Y,,02-3153-8332,마포구청,2021-08-12
"서울지방법원 서부지원",공공용,"서울특별시 마포구 마포대로 174 (공덕동, 서부지방법원,서부지방검찰청)",서울특별시 마포구 공덕동 105번지 1호,37.5496538500,126.9557662000,2876,3480,Y,,02-3153-8332,마포구청,2021-08-12
"마포지하철역",공공용,"서울특별시 마포구 마포대로 지하 33 (도화동, 마포역)",서울특별시 마포구 도화동 160번지,37.5395837900,126.9459191000,9025,10939,Y,,02-3153-8332,마포구청,2021-08-12
"교보생명(주)",공공용,서울특별시 마포구 신촌로 134 (노고산동),서울특별시 마포구 노고산동 1번지 39호,37.5559252800,126.9404614000,9640,38568,Y,,02-3153-8332,마포구청,2021-08-12
