"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"신촌지하철역",공공용,"서울특별시 마포구 신촌로 지하 90 (노고산동, 신촌역)",서울특별시 마포구 노고산동 31번지 11호,37.55544008,126.9361204,7580,9188,Y,기타,02-330-8222,서울특별시 서대문구청,2021-08-01
"북아현두산아파트(전동지하)",공공용,"서울특별시 서대문구 이화여대8길 62 (북아현동, 두산아파트)",서울특별시 서대문구 북아현동 1009번지,37.55972501,126.9507306,4000,4848,Y,주차장,02-330-8171,서울특별시 서대문구청,2021-08-01
"신촌현대백화점",공공용,"서울특별시 서대문구 신촌로 83 (창천동, 현대백화점신촌점)",서울특별시 서대문구 창천동 30번지 33호,37.55608144,126.9358437,27522,33360,Y,기타,02-330-8222,서울특별시 서대문구청,2021-08-01
"신촌현대백화점 지하연결통로",공공용,"서울특별시 서대문구 신촌로 83 (창천동, 현대백화점신촌점)",서울특별시 서대문구 창천동 30번지 33호,37.55608144,126.9358437,1950,2364,Y,기타,02-330-8222,서울특별시 서대문구청,2021-08-01
"요진주상복합빌딩",공공용,"서울특별시 서대문구 수색로 102 (북가좌동, 요진주상복합아파트)",서울특별시 서대문구 북가좌동 150번지,37.57286503,126.9083005454,7809,9465,Y,주차장,02-330-8555,서울특별시 서대문구청,2021-08-01
"진흥아파트(전동지하)",공공용,"서울특별시 서대문구 모래내로 319 (홍은동, 진흥아파트)",서울특별시 서대문구 홍은동 459번지,37.579932,126.9325311,2706,3280,Y,지하주차장,02-330-8509,서울특별시 서대문구청,2021-08-01
"쌍용스윗닷홈아파트",공공용,"서울특별시 서대문구 거북골로 91-6 (남가좌동, 남가좌동쌍용스윗닷홈)",서울특별시 서대문구 남가좌동 380번지,37.5754681,126.9195484,1092,1324,Y,지하주차장,02-330-8532,서울특별시 서대문구청,2021-08-01
"효신빌딩",공공용,"서울특별시 서대문구 통일로 472 (홍제동, 효신빌딩)",서울특별시 서대문구 홍제동 299번지 2호,37.5905000927,126.942709,268,325,Y,주차장,02-330-8420,서울특별시 서대문구청,2021-08-01
"명지대학교(시설팀)",공공용,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교)",서울특별시 서대문구 남가좌동 50번지 3호,37.58037792,126.9213485308,1980,2400,Y,주차장,02-330-8532,서울특별시 서대문구청,2021-08-01
"가좌전화국",공공용,서울특별시 서대문구 응암로 121 (북가좌동),서울특별시 서대문구 북가좌동 333번지 1호,37.58373144,126.9136432,3511,4256,Y,주차장,02-330-1716,서울특별시 서대문구청,2021-08-01
"홍제지하철역",공공용,"서울특별시 서대문구 통일로 지하 440-1 (홍제동, 홍제역)",서울특별시 서대문구 홍제동 161번지 1호,37.58870893,126.9442441,11623,14088,Y,기타,02-330-8402,서울특별시 서대문구청,2021-08-01
"미성아파트(전동지하)",공공용,"서울특별시 서대문구 연희로41길 114 (홍은동, 미성맨션아파트)",서울특별시 서대문구 홍은동 186번지 1호,37.59406364,126.9356255,495,600,Y,주차장,02-330-8509,서울특별시 서대문구청,2021-08-01
"현대아파트(전동지하)",공공용,"서울특별시 서대문구 연희로 377 (홍은동, 현대아파트)",서울특별시 서대문구 홍은동 202번지 5호,37.59100583,126.9393193,3562,4317,Y,주차장,02-330-8509,서울특별시 서대문구청,2021-08-01
"서강1차아파트",공공용,"서울특별시 서대문구 연희로41길 142 (홍은동, 서강아파트)",서울특별시 서대문구 홍은동 186번지 22호,37.59471898,126.934565,653,791,Y,주차장,02-330-8509,서울특별시 서대문구청,2021-08-01
"그랜힐튼호텔",공공용,"서울특별시 서대문구 연희로 353 (홍은동, 그랜드힐튼호텔)",서울특별시 서대문구 홍은동 201번지 1호,37.58941077,126.9353577,2498,3027,Y,주차장,02-330-8509,서울특별시 서대문구청,2021-08-01
"북가좌삼호아파트(전동지하)",공공용,"서울특별시 서대문구 거북골로 154 (북가좌동, 북가좌삼호아파트)",서울특별시 서대문구 북가좌동 449번지,37.576503,126.9137828,3795,4600,Y,주차장,02-330-1716,서울특별시 서대문구청,2021-08-01
"독립문지하철역",공공용,"서울특별시 서대문구 통일로 지하 247 (현저동, 독립문역)",서울특별시 서대문구 현저동 101번지,37.57441036,126.9577485,8283,10040,Y,기타,02-330-8225,서울특별시 서대문구청,2021-08-01
"독립문삼호APT대피시설(전동지하)",공공용,"서울특별시 서대문구 독립문로 12 (영천동, 삼호아파트)",서울특별시 서대문구 영천동 100번지,37.57035655,126.9596524,1346,1632,Y,지하주차장,02-330-8225,서울특별시 서대문구청,2021-08-01
"독립문극동APT대피시설(전동지하)",공공용,"서울특별시 서대문구 독립문공원길 13 (현저동, 독립문극동아파트)",서울특별시 서대문구 현저동 200번지,37.571986,126.9583159,3000,3636,Y,지하주차장,02-330-8225,서울특별시 서대문구청,2021-08-01
"독립문극동임대APT(전동지하)",공공용,"서울특별시 서대문구 독립문공원길 95 (현저동, 독립문극동아파트)",서울특별시 서대문구 현저동 201번지,37.57295314,126.9544846,2000,2424,Y,주차장,02-330-8225,서울특별시 서대문구청,2021-08-01
"독립문극동APT상가",공공용,"서울특별시 서대문구 독립문공원길 17 (현저동, 독립문극동아파트)",서울특별시 서대문구 현저동 200번지,37.57238038,126.9551984490,1452,1760,Y,기타,02-330-8225,서울특별시 서대문구청,2021-08-01
"홍제현대아파트주차장(전동지하)",공공용,"서울특별시 서대문구 통일로39가길 57 (홍제동, 홍제현대아파트)",서울특별시 서대문구 홍제동 331번지,37.58990026,126.9409869,3500,4242,Y,주차장,02-330-8402,서울특별시 서대문구청,2021-08-01
