"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
2호선 상왕십리역,공공용,서울특별시 성동구 왕십리로 지하 374,서울특별시 성동구 하왕십리동 946-14,37.5644687111,127.0290312213,5900.85,7153,Y,지하철역사,02-2286-7227,왕십리2동주민센터,2020-09-15
"한신무학아파트",공공용,서울특별시 성동구 왕십리로31나길 18,서울특별시 성동구 하왕십리동 990,37.563030,127.028088,398.4,483,Y,아파트 주차장,02-2286-7227,왕십리2동주민센터,2020-09-15
"하왕풍림아이원아파트",공공용,서울특별시 성동구 난계로84,서울특별시 성동구 하왕십리동 1061,37.5591314196,127.0240799491,2868.65,3477,Y,아파트 주차장,02-2286-7227,왕십리2동주민센터,2020-09-15
"신영지웰아파트",공공용,서울특별시 성동구 무학봉길 76,서울특별시 성동구 하왕십리동 1064,37.5607789154,127.0309417633,4557,5524,Y,아파트 주차장,02-2286-7227,왕십리2동주민센터,2020-09-15
"대한적십자사",공공용,서울특별시 성동구 고산자로 356,서울특별시 성동구 마장동 523-1,37.5714215341,127.038411,231.41,280,Y,창고,02-2286-7242,마장동주민센터,2020-09-15
"한국전력성동지사",공공용,서울특별시 성동구 마장로27길 13,서울특별시 성동구 마장동 479-2,37.5682119631,127.0341761488,5166.7,6263,Y,지하주차장,02-2286-7242,마장동주민센터,2020-09-15
5호선 마장역,공공용,서울특별시 성동구 마장로 지하296,서울특별시 성동구 마장동 772,37.5662827804,127.0431634385,4734,5738,Y,지하철역사,02-2286-7242,마장동주민센터,2020-09-15
"삼성아파트(지하)",공공용,서울특별시 성동구 마장로 273,서울특별시 성동구 마장동 817,37.565812,127.040268,8830,10703,Y,아파트 주차장,02-2286-7242,마장동주민센터,2020-09-15
SH공사 마장아파트,공공용,서울특별시 성동구 마조로15가길 23,서울특별시 성동구 마장동 831,37.5646371921,127.0403883826,11791.79,14293,Y,아파트 주차장,02-2286-7242,마장동주민센터,2020-09-15
"한양대 백남학술정보관",공공용,서울특별시 성동구 왕십리로 222,서울특별시 성동구 사근동 110,37.5545035492,127.0466112167,6742.3,8172,Y,"교육장, 창고",02-2286-7276,사근동주민센터,2020-09-15
"한양대 사범대 본관",공공용,서울특별시 성동구 왕십리로 222,서울특별시 성동구 사근동 110,37.5545035492,127.0466112167,919.74,1115,Y,"교육장, 창고",02-2286-7276,사근동주민센터,2020-09-15
"한양대 신소재공학관",공공용,서울특별시 성동구 왕십리로 222,서울특별시 성동구 사근동 110,37.5545035492,127.0466112167,6166.21,7474,Y,"교육장, 창고",02-2286-7276,사근동주민센터,2020-09-15
"한양대 올림픽체육관",공공용,서울특별시 성동구 왕십리로 222,서울특별시 성동구 사근동 110,37.5545035492,127.0466112167,9123.6,11059,Y,"교육장, 창고",02-2286-7276,사근동주민센터,2020-09-15
"한양대 공업센터 별관",공공용,서울특별시 성동구 왕십리로 222,서울특별시 성동구 사근동 110,37.5545035492,127.0466112167,771.16,935,Y,"교육장, 창고",02-2286-7276,사근동주민센터,2020-09-15
"한양대 자연과학관",공공용,서울특별시 성동구 왕십리로 222,서울특별시 성동구 사근동 110,37.5545035492,127.0466112167,3333.08,4040,Y,"교육장, 창고",02-2286-7276,사근동주민센터,2020-09-15
"한양대 경제금융관",공공용,서울특별시 성동구 왕십리로 222,서울특별시 성동구 사근동 110,37.5545035492,127.0466112167,781.46,947,Y,"교육장, 창고",02-2286-7276,사근동주민센터,2020-09-15
"한양대 한양종합기술연구원",공공용,서울특별시 성동구 왕십리로 222,서울특별시 성동구 사근동 110,37.5545035492,127.0466112167,15345.82,18601,Y,"교육장, 창고",02-2286-7276,사근동주민센터,2020-09-15
"한양대 정보통신관",공공용,서울특별시 성동구 왕십리로 222,서울특별시 성동구 사근동 110,37.5545035492,127.0466112167,1554.01,1884,Y,"교육장, 창고",02-2286-7276,사근동주민센터,2020-09-15
"한양대 제2법학관",공공용,서울특별시 성동구 왕십리로 222,서울특별시 성동구 사근동 110,37.5545035492,127.0466112167,918,1113,Y,"교육장, 창고",02-2286-7276,사근동주민센터,2020-09-15
KT행당지사,공공용,서울특별시 성동구 고산자로 212,서울특별시 성동구 행당동 318-26,37.558920,127.034404,2007.93,2434,Y,"창고, 주차장",02-2286-7295,행당1동주민센터,2020-09-15
"소월아트홀",공공용,서울특별시 성동구 왕십리로 281,서울특별시 성동구 행당동 142-16,37.5593111067,127.0360073968,330,400,Y,"교육장, 창고",02-2286-7295,행당1동주민센터,2020-09-15
5호선 왕십리역,공공용,서울특별시 성동구 왕십리로 지하 300,서울특별시 성동구 행당동 192,37.561222,127.036657,1649.59,2000,Y,지하철역사,02-2286-7295,행당1동주민센터,2020-09-15
"삼부아파트",공공용,서울특별시 성동구 왕십리로 280,서울특별시 성동구 행당동 147,37.560205,127.038020,9168.04,11113,Y,지하주차장,02-2286-7295,행당1동주민센터,2020-09-15
"이스타빌",공공용,서울특별시 성동구 왕십리로 309,서울특별시 성동구 행당동 287-15,37.5613776986,127.034530,6047,7330,Y,지하주차장,02-2286-7295,행당1동주민센터,2020-09-15
"레노스블랑쉬",공공용,서울특별시 성동구 고산자로 202,서울특별시 성동구 행당동 319-36,37.558259,127.034422,2922.63,3543,Y,지하주차장,02-2286-7295,행당1동주민센터,2020-09-15
