"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"한성대입구역",공공용,서울특별시 성북구 삼선교로 지하 1 (삼선동1가),,37.58839398,127.005951,4881,5916,y,시설주,2241-5003,성북동,2021-03-19
"성신여대역",공공용,"서울특별시 성북구 동소문로 지하 102 (동선동4가, 성신여대입구역)",,37.592758,127.0164772,7780,9430,y,시설주,2241-5082,동선동,2021-03-19
"고대부고 지하보도",공공용,"서울특별시 성북구 정릉로 157 (정릉동, 백산빌딩)",,37.60786272,127.0026637,120,146,y,시설주,2241-5367,정릉3동,2021-03-19
"아남아파트",공공용,서울특별시 성북구 종암로36길 52 (하월곡동),,37.6060485,127.034574,900,1090,y,시설주,2241-5582,월곡1동,2021-03-19
"돈암현대아파트지하주차장",공공용,서울특별시 성북구 정릉로 404 (돈암동),,37.604222,127.0287965,15662,18984,y,시설주,2241-5129,돈암1동,2021-03-19
"고려대학교 안암병원",공공용,서울특별시 성북구 고려대로 73 (안암동5가),,37.58711178,127.0263579,1143,1386,y,시설주,2241-5203,안암동,2021-03-19
"석관동 삼성아파트",공공용,서울특별시 성북구 한천로68길 51 (석관동),,37.61024474,127.065623,11504,13944,y,시설주,2241-5765,석관동,2021-03-19
"석관동 중앙하이츠",공공용,서울특별시 성북구 한천로76길 73 (석관동),,37.61105138,127.0667767,15154,18368,y,시설주,2241-5765,석관동,2021-03-19
"석관동 두산아파트",공공용,서울특별시 성북구 화랑로48길 16 (석관동),,37.61376388,127.0689945,17976,21789,y,시설주,2241-5765,석관동,2021-03-19
"석관동 코오롱아파트",공공용,서울특별시 성북구 한천로 509 (석관동),,37.6069867,127.065798,15979,19368,y,시설주,2241-5767,석관동,2021-03-19
"길음현대아파트 지하주차장",공공용,서울특별시 성북구 길음로13길 11 (길음동),,37.60822141,127.020227,11411,13831,y,시설주,2241-5443,길음1동,2021-03-19
"범양아파트 지하주차장",공공용,서울특별시 성북구 정릉로 402-16 (돈암동),,37.60385912,127.0276322,23695,28721,y,시설주,2241-5129,돈암1동,2021-03-19
"풍림아파트 지하 주차장",공공용,서울특별시 성북구 북악산로 913 (돈암동),,37.59654767,127.0230185,26153,31700,y,시설주,2241-5129,돈암1동,2021-03-19
"삼성아파트 지하주차장",공공용,서울특별시 성북구 동소문로34길 24 (돈암동),,37.59899113,127.0231416,74044,89750,y,시설주,2241-5129,돈암1동,2021-03-19
"상월곡동역사(지하철6호선)",공공용,서울특별시 성북구 화랑로 지하 157 (상월곡동),,37.60626351,127.0483262,6600,8000,y,시설주,2241-5636,월곡2동,2021-03-19
"동소문송산아파트 주차장",공공용,서울특별시 성북구 동소문로3길 101 (동소문동4가),,37.592353,127.0111599,11361,13770,y,시설주,2241-5003,성북동,2021-03-19
"한성대학교 주차장",공공용,서울특별시 성북구 삼선교로16길 116 (삼선동2가),,37.58321113,127.0103900048,932,1129,y,시설주,2241-5042,삼선동,2021-03-19
"한진아파트 지하주차장",공공용,서울특별시 성북구 성북로4길 52 (돈암동),,37.5944725333,127.0127060378,37000,44848,y,시설주,2241-5165,돈암2동,2021-03-19
"코오롱아파트(삼선동)",공공용,서울특별시 성북구 삼선교로23길 23 (삼선동4가),,37.59084772,127.0130166,2597,3147,y,시설주,2241-5042,삼선동,2021-03-19
"길음역",공공용,"서울특별시 성북구 동소문로 지하 248 (길음동, 길음역)",,37.6031822,127.0248234,8260,10012,y,시설주,2241-5443,길음1동,2021-03-19
"삼부아파트",공공용,서울특별시 성북구 동소문로 248 (길음동),,37.60346697,127.0245563,12839,15562,y,시설주,2241-5443,길음1동,2021-03-19
"월곡역사(지하철6호선)",공공용,서울특별시 성북구 월곡로 지하 107 (하월곡동),,37.60142249,127.0411842,7334,8889,y,시설주,2241-5636,월곡2동,2021-03-19
"월곡 동신아파트",공공용,서울특별시 성북구 오패산로3길 17 (하월곡동),,37.604516,127.0345451,18284,22162,y,시설주,2241-5582,월곡1동,2021-03-19
"동아에코빌아파트 주차장",공공용,서울특별시 성북구 장월로1길 28 (상월곡동),,37.60877294,127.0456142,34487,41802,y,시설주,2241-5636,월곡2동,2021-03-19
"신세계이마트미아점",공공용,서울특별시 성북구 도봉로 17 (길음동),,37.61085386,127.029839,4114,4986,y,시설주,2241-5489,길음제2동,2021-03-19
"안암역",공공용,"서울특별시 성북구 고려대로 지하 89 (안암동5가, 안암역)",,37.586292,127.0292108,10587,12832,y,시설주,2241-5203,안암동,2021-03-19
"보문역",공공용,서울특별시 성북구 보문로 지하 116 (보문동1가),,37.58532917,127.019391,6952,7900,y,시설주,2241-5247,보문동,2021-03-19
"성북청소년수련관",공공용,서울특별시 성북구 한천로660-9 (장위동),,37.617699,127.055718,2975,3606,y,시설주,2241-5724,장위3동,2021-03-19
"돌곶이역",공공용,서울특별시 성북구 화랑로 지하 243 (석관동),,37.61055223,127.0564245,7443,9021,y,시설주,2241-5765,석관동,2021-03-19
"삼성래미안아파트 지하주차장",공공용,서울특별시 성북구 종암로25길 30 (종암동),,37.60149406,127.0310784,69351,84061,y,시설주,2241-5525,종암동,2021-03-19
"샹그레빌아파트 지하주차장",공공용,서울특별시 성북구 회기로5길 100 (하월곡동),,37.59621119,127.0411043,12014,14562,y,시설주,2241-5636,월곡2동,2021-03-19
"길음지하보도",공공용,서울특별시 성북구 길음로 2 (길음동),,37.60434991,127.0246789,350,426,y,시설주,2241-5443,길음1동,2021-03-19
"장위1동주민센터",공공용,서울특별시 성북구 장위로 61 (장위동),,37.61406789,127.043642,420,509,y,시설주,2241-5647,장위1동,2021-03-19
"성북구청(지하1~4층)",공공용,서울특별시 성북구 보문로 168 (삼선동5가),,37.5894561,127.0168479,11611,14073,y,시설주,2241-5042,삼선동,2021-03-19
"월곡래미안루나밸리아파트 지하주차장",공공용,서울특별시 성북구 월곡로14길 26 (하월곡동),,37.60023267,127.0426512,35462,42984,y,시설주,2241-5636,월곡2동,2021-03-19
"석관동 래미안아파트 지하주차장",공공용,서울특별시 성북구 화랑로 214 (석관동),,37.60915823,127.0548651,29712,36014,y,시설주,2241-5765,석관동,2021-03-19
"고려대학교 이과대학 하나스퀘어 지하주차장",공공용,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스)",,37.58870342,127.0316981,15559,18859,y,시설주,2241-5203,안암동,2021-03-19
"안암래미안아파트 지하주차장104동",공공용,서울특별시 성북구 고려대로 17가길 64 (안암동1가),,37.58921716,127.0232065,17331,21007,y,시설주,2241-5203,안암동,2021-03-19
"정릉중앙하이츠빌 2단지아파트 지하주차장",공공용,서울특별시 성북구 정릉로26길 8 (정릉동),,37.60386546,127.010849,24544,29750,y,시설주,2241-5323,정릉2동,2021-03-19
"장월sh빌1단지아파트 지하주차장",공공용,서울특별시 성북구 한천로101길 54 (장위동),,37.62274104,127.047698,7439,9017,y,시설주,2241-5724,장위3동,2021-03-19
"정릉우성아파트",공공용,서울특별시 성북구 북악산로 813 (정릉동),,37.60114042,127.0149435,731,886,y,시설주,2241-5283,정릉1동,2021-03-19
"길음동 동부센트리빌아파트",공공용,서울특별시 성북구 숭인로2길 60 (길음동),,37.6089632,127.0236203,54959,66616,y,시설주,2241-5489,길음제2동,2021-03-19
"성북힐스테이트",공공용,서울특별시 성북구 동소문로44길 43 (하월곡동),,37.606547,127.0303784,12656,15340,y,시설주,2241-5489,길음제2동,2021-03-19
"동원베네스트아파트",공공용,서울특별시 성북구 화랑로 271 (장위동),,37.61217284,127.058888,1729,1426,y,시설주,2241-5683,장위2동,2021-03-19
"장위우방아파트",공공용,서울특별시 성북구 화랑로 235 (장위동),,37.61054192,127.0553554,4821,5010,y,시설주,2241-5683,장위2동,2021-03-19
"장위초등학교",공공용,서울특별시 성북구 장월로8가길 41 (장위동),,37.6114417,127.0500057,1335,1401,y,시설주,2241-5683,장위2동,2021-03-19
"힐스테이트3차(아)정릉4동",공공용,서울특별시 성북구 보국문로 116 (정릉동),,37.61514249,127.007777,22237,29954,y,시설주,2241-5402,정릉4동,2021-03-19
"대우아파트(정릉4동)",공공용,서울특별시 성북구 보국문로30길 15 (정릉동),,37.61743121,127.0029903,26865,32563,y,시설주,2241-5402,정릉4동,2021-03-19
"래미안월곡 아파트",공공용,서울특별시 성북구 오패산로 90 (하월곡동),,37.609954,127.036953,6123,74218,y,시설주,2241-5582,월곡1동,2021-03-19
"월곡두산위브 아파트",공공용,서울특별시 성북구 오패산로 46 (하월곡동),,37.60747438,127.0387096,111014,134562,y,시설주,2241-5582,월곡1동,2021-03-19
"월곡두산위브아파트(임대)  월곡1동",공공용,서울특별시 성북구 오패산로 46 (하월곡동),,37.60747438,127.0387096,14767,17899,y,시설주,2241-5582,월곡1동,2021-03-19
"월곡3에스에이치빌  월곡1동",공공용,서울특별시 성북구 오패산로 90 (하월곡동),,37.60994727,127.0369124,5713,6924,y,시설주,2241-5582,월곡1동,2021-03-19
"한신휴(아) 지하2,3층주차장",공공용,서울특별시 성북구 동소문로15길 99 (동소문동7가),,37.59560487,127.0138146,16993,20594,y,시설주,2241-5082,동선동,2021-03-19
"길음래미안 1차아파트",공공용,서울특별시 성북구 길음로9길 40 (길음동),,37.60584987,127.0209874,16367,19839,y,시설주,2241-5443,길음1동,2021-03-19
"길음래미안 2차아파트",공공용,서울특별시 성북구 길음로 74 (길음동),,37.6092896639,127.0210339251,13983,16949,y,시설주,2241-5443,길음1동,2021-03-19
"길음래미안 3차아파트",공공용,서울특별시 성북구 길음로 16 (길음동),,37.6070856,127.0232755,18554,22499,y,시설주,2241-5443,길음1동,2021-03-19
"길음뉴타운 대림(아) e편한세상",공공용,서울특별시 성북구 길음로 118 (길음동),,37.61132431,127.0208485,33000,40000,y,시설주,2241-5443,길음1동,2021-03-19
"길음뉴타운 2,3단지(아) 대우푸르지오",공공용,서울특별시 성북구 길음로 119 (길음동),,37.61049971,127.0163724,47601,57698,y,시설주,2241-5443,길음1동,2021-03-19
"길음래미안아파트 4차아파트(길음뉴타운8단지)",공공용,서울특별시 성북구 길음로 33 (길음동),,37.60504961,127.022011,32000,38787,y,시설주,2241-5443,길음1동,2021-03-19
"길음래미안 5차아파트(길음뉴타운9단지)",공공용,서울특별시 성북구 길음로9길 50 (길음동),,37.60269641,127.0209503,19360,23466,y,시설주,2241-5443,길음1동,2021-03-19
"길음두산위브아파트(길음뉴타운 7단지)",공공용,서울특별시 성북구 길음로13길 22 (길음동),,37.6094433,127.0193259,6528,7912,y,시설주,2241-5443,길음1동,2021-03-19
"꿈의숲 대명루첸아파트 지하주차장",공공용,서울특별시 성북구 월계로36길 27 (장위동),,37.62144056,127.0463288,25709,31162,y,시설주,2241-5724,장위3동,2021-03-19
