"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"신월3동주민센터",공공용,서울특별시 양천구 남부순환로54길 5 (신월동),서울특별시 양천구 신월동 167- 5,37.5336304,126.829078,200,242,Y,주차장,02-2620-4394,서울특별시 양천구,2021-05-20
"오목교역",공공용,"서울특별시 양천구 오목로 지하 342 (목동, 오목교역)",서울특별시 양천구 목동 406-30,37.52445124,126.8753527,12427,15063,Y,기타,02-2620-4394,서울특별시 양천구,2021-05-20
"목동역",공공용,"서울특별시 양천구 오목로 지하 245 (목동, 목동역)",서울특별시 양천구 목동 926-3,37.526178,126.864728,7405,8975,Y,기타,02-2620-4394,서울특별시 양천구,2021-05-20
"방송회관",공공용,"서울특별시 양천구 목동동로 233 (목동, 한국방송회관)",서울특별시 양천구 목동 923-5,37.52698061,126.871381,14778,17912,Y,주차장,02-2620-4394,서울특별시 양천구,2021-05-20
"한국통신",공공용,서울특별시 양천구 목동서로 201 (목동),서울특별시 양천구 목동 924,37.529428,126.871104,16129,19550,Y,주차장,02-2620-4394,서울특별시 양천구,2021-05-20
"한국전파진흥협회",공공용,"서울특별시 양천구 목동중앙로13나길 3 (목동, 한국전파진흥협회)",서울특별시 양천구 목동 124-1,37.54617446,126.880614,1113,1349,Y,주차장,02-2620-4394,서울특별시 양천구,2021-05-20
"양천우체국",공공용,"서울특별시 양천구 목동서로 117 (목동, 양천우체국)",서울특별시 양천구 목동 905-16,37.532864,126.8762031,4145,5024,Y,주차장,02-2620-4394,서울특별시 양천구,2021-05-20
"양천도서관",공공용,"서울특별시 양천구 목동서로 113 (목동, 양천도서관)",서울특별시 양천구 목동 905,37.53355948,126.8762291,1024,1241,Y,주차장,02-2620-4394,서울특별시 양천구,2021-05-20
"서울에너지공사",공공용,서울특별시 양천구 목동서로 20 (목동),서울특별시 양천구 목동 900,37.540116,126.883763,816,989,Y,기타,02-2620-4394,서울특별시 양천구,2021-05-20
"양정중고등학교",공공용,"서울특별시 양천구 안양천로 1039 (목동, 양정중학교.양정고등학교)",서울특별시 양천구 목동 911-2,37.53539226,126.8877343,1315,1593,Y,주차장,02-2620-4394,서울특별시 양천구,2021-05-20
