"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"영등포구청(지하상황실)",공공용,"서울특별시 영등포구 당산로 123 (당산동3가, 영등포구청)",서울특별시 영등포구 당산동3가 385번지 1호,37.5259631570,126.8963671305,552.64,670,Y,회의실,02-2670-3000,구청장,2020-09-18
"영등포시장앞지하상가",공공용,서울특별시 영등포구 영등포로 219 (영등포동5가),서울특별시 영등포구 영등포동5가 20번지 62호,37.520122,126.9057495442,1266.12,1534,Y,상가,02-2290-6487,소장,2020-09-18
"영등포로터리지하상가",공공용,"서울특별시 영등포구 영중로 9 (영등포동4가, 신세계백화점)",서울특별시 영등포구 영등포동4가 434번지 5호,37.5171482,126.905517,6333.91,7677,Y,상가,02-2290-6539,소장,2020-09-18
"영등포역앞지하상가",공공용,"서울특별시 영등포구 경인로 846 (영등포동, 영등포 민자역사)",서울특별시 영등포구 영등포동 618번지 496호,37.51566912,126.907633,4684.32,5677,Y,상가,02-3667-8681,소장,2020-09-18
"지하철5호선신길전철역",공공용,"서울특별시 영등포구 경인로114가길 지하 9 (영등포동1가, 신길역)",서울특별시 영등포구 영등포동1가 35번지,37.517664,126.914356,13104.19,15883,Y,지하철역,02-6311-5251,역장,2020-09-18
"영등포시장역",공공용,"서울특별시 영등포구 양산로 지하 200 (영등포동5가, 영등포시장역)",서울특별시 영등포구 영등포동5가 62번지 1호,37.522744,126.904908,14052.96,17033,Y,지하철역,02-6311-5241,역장,2020-09-18
"중소기업중앙회",공공용,"서울특별시 영등포구 은행로 30 (여의도동, 중소기업중앙회)",서울특별시 영등포구 여의도동 16번지 2호,37.528189,126.922644,8019,9720,Y,주차장,02-2124-3045,시설팀장,2020-09-18
"여의도국회앞지하보도(더샾아일랜드파크앞)",공공용,"서울특별시 영등포구 의사당대로 38 (여의도동, 여의도더샵아일랜드파크)",서울특별시 영등포구 여의도동 17번지,37.5260304622,126.9186176,3666,4443,Y,보도,02-2670-1076,동장,2020-09-18
"지하철5호선여의나루역",공공용,"서울특별시 영등포구 여의동로 지하 343 (여의도동, 여의나루역)",서울특별시 영등포구 여의도동 84번지 4호,37.5270851610,126.9328639549,5067.01,6141,Y,지하철역,02-6311-5271,역장,2020-09-18
5호선여의도역,공공용,"서울특별시 영등포구 여의나루로 지하 40 (여의도동, 여의도역)",서울특별시 영등포구 여의도동 3번지,37.521828,126.924431,6823,8270,Y,지하철역,02-6311-5261,역장,2020-09-18
63한화생명빌딩,공공용,"서울특별시 영등포구 63로 50 (여의도동, 63한화생명빌딩)",서울특별시 영등포구 여의도동 60번지,37.5196641552,126.9399093380,22725,27545,Y,주차장,02-789-6325,시설담당,2020-09-18
"지하철 2호선 영등포구청역",공공용,서울특별시 영등포구 당산로 지하 121 (당산동3가),서울특별시 영등포구 당산동3가 270번지 1호,37.525689,126.8966268983,7414.91,8988,Y,지하철역,02-6110-2361,역장,2020-09-18
