"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
CJ나인파크,공공용,서울특별시 용산구 백범로90다길 12,,37.53635216,126.9692111,20839,25259,Y,,,서울특별시 용산구청,2020-05-06
LG한강자이아파트,공공용,서울특별시 용산구 이촌로64길 15,,37.52035451,126.9713625,19800,24000,Y,,,서울특별시 용산구청,2020-05-06
LS용산타워,공공용,서울특별시 용산구 한강대로 92,,37.52817422,126.967522,8778,10640,Y,,,서울특별시 용산구청,2020-05-06
YTN서울타워,공공용,서울특별시 용산구 남산공원길 105,,37.55112113,126.9878685,2482,3008,Y,,,서울특별시 용산구청,2020-05-06
"갑을빌딩",공공용,서울특별시 용산구 한강대로 350,,37.54964805,126.9721977,7894,9568,Y,,,서울특별시 용산구청,2020-05-06
"국립중앙박물관",공공용,서울특별시 용산구 서빙고로 137,,37.52470233,126.9777412,17787,21560,Y,,,서울특별시 용산구청,2020-05-06
"금호베스트빌",공공용,서울특별시 용산구 서빙고로51길 68-14,,37.523122,126.992122,8788,10652,Y,,,서울특별시 용산구청,2020-05-06
"남산3호터널",공공용,서울특별시 용산구 신흥로16길 40,,37.54511328,126.9879238,22859,27708,Y,,,서울특별시 용산구청,2020-05-06
"남영동주민센터",공공용,서울특별시 용산구 두텁바위로 25,,37.54577435,126.9748244,1815,2200,Y,,,서울특별시 용산구청,2020-05-06
"녹사평역",공공용,서울특별시 용산구 녹사평대로 지하 195,,37.53483097,126.9870294,12266,14868,Y,,,서울특별시 용산구청,2020-05-06
"대림아파트",공공용,서울특별시 용산구 이촌로2가길 122,,37.52546691,126.9544773,5676,6880,Y,,,서울특별시 용산구청,2020-05-06
"리버빌아파트",공공용,서울특별시 용산구 보광로5길 40,,37.52407011,127.0012851,3087,3742,Y,,,서울특별시 용산구청,2020-05-06
"리버힐삼성아파트",공공용,서울특별시 용산구 효창원로 17,,37.53443194,126.9501815,33429,40520,Y,,,서울특별시 용산구청,2020-05-06
"반도아파트",공공용,서울특별시 용산구 이촌로 324-10,,37.51728602,126.9821684,1832,2221,Y,,,서울특별시 용산구청,2020-05-06
"보광동주민센터",공공용,서울특별시 용산구 장문로 95,,37.526301,127.000181,660,800,Y,,,서울특별시 용산구청,2020-05-06
"북한강아파트",공공용,서울특별시 용산구 이촌로2가길 66,,37.52757856,126.9537067,4237,5136,Y,,,서울특별시 용산구청,2020-05-06
