"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"은평경찰서",공공용,"서울특별시 은평구 연서로 365 (불광동, 은평경찰서)",서울특별시 은평구 불광동 24,37.6278145900,126.9291574000,1074.0,886,Y,기타,02-351-5081,불광2동주민센터,2021-07-01
"메트로타워",공공용,"서울특별시 은평구 통일로 856 (불광동, 메트로타워)",서울특별시 은평구 불광동 311-13,37.6196340000,126.9215216000,11092.0,9151,Y,지하주차장,02-351-5081,불광2동주민센터,2021-07-01
"미미아파트(전동 지하)",공공용,"서울특별시 은평구 갈현로29길 11 (갈현동, 미미아파트)",서울특별시 은평구 갈현동 538,37.6192343000,126.9139647000,8499.0,7012,Y,지하주차장,02-351-5093,갈현2동주민센터,2021-07-01
"한솔아파트(전동 지하)",공공용,"서울특별시 은평구 갈현로23길 41 (갈현동, 한솔아파트)",서울특별시 은평구 갈현동 539,37.6180043000,126.9101330000,5031.0,4151,Y,지하주차장,02-351-5093,갈현2동주민센터,2021-07-01
"우남아파트(전동 지하)",공공용,"서울특별시 은평구 서오릉로 258 (갈현동, 우남아파트)",서울특별시 은평구 갈현동 540,37.6176791700,126.9068079000,6119.0,5048,Y,지하주차장,02-351-5093,갈현2동주민센터,2021-07-01
"은평구청(보건소)",공공용,"서울특별시 은평구 은평로 195 (녹번동, 은평구종합청사)",서울특별시 은평구 녹번동 84,37.6024515000,126.9288236000,674.0,556,Y,기타,02-351-5003,녹번동주민센터,2021-07-01
"은평문화예술회관",공공용,"서울특별시 은평구 녹번로 16 (녹번동, 은평문화예술회관)",서울특별시 은평구 녹번동 85-4,37.6036744000,126.9279028000,5117.0,4222,Y,지하주차장,02-351-5003,녹번동주민센터,2021-07-01
"역촌역(6호선)",공공용,"서울특별시 은평구 서오릉로 지하 63 (녹번동, 6호선 역촌역사무소)",서울특별시 은평구 녹번동 144-69,37.6060392300,126.9229674000,6645.0,5482,Y,기타,02-351-5003,녹번동주민센터,2021-07-01
"불광역(3호선)",공공용,"서울특별시 은평구 통일로 지하 723-1 (대조동, 3,6호선 불광역사무소)",서울특별시 은평구 대조동 14-1,37.6102061800,126.9299850000,6412.0,5290,Y,기타,02-351-5184,대조동주민센터,2021-07-01
"연신내역(3호선)",공공용,"서울특별시 은평구 통일로 지하 849 (갈현동, 3,6호선 연신내역사무소)",서울특별시 은평구 갈현동 397,37.6189618200,126.9211644000,8896.0,7339,Y,기타,02-351-5093,갈현1동주민센터,2021-07-01
"구산역(6호선)",공공용,"서울특별시 은평구 연서로 지하 137-1 (구산동, 6호선 구산역사무소)",서울특별시 은평구 구산동 1,37.6112106000,126.9171814000,4844.0,3996,Y,기타,02-351-5175,구산동주민센터,2021-07-01
"현재트윈빌아파트(전동 지하)",공공용,"서울특별시 은평구 서오릉로20길 5-10 (갈현동, 현재트윈빌아파트)",서울특별시 은평구 갈현동 542-1,37.6168696000,126.9084284000,7560.0,6237,Y,지하주차장,02-351-5093,갈현2동주민센터,2021-07-01
"연신내역(6호선)",공공용,"서울특별시 은평구 통일로 지하 849 (갈현동, 3,6호선 연신내역사무소)",서울특별시 은평구 갈현동 397,37.6189618200,126.9211644000,8489.0,7003,Y,기타,02-351-5093,갈현1동주민센터,2021-07-01
"독바위역(6호선)",공공용,"서울특별시 은평구 불광로 지하 129-1 (불광동, 6호선 독바위역사무소)",서울특별시 은평구 불광동 13-33,37.6183996100,126.9328090000,5620.0,4637,Y,기타,02-351-5035,불광1동주민센터,2021-07-01
"시립은평병원",공공용,"서울특별시 은평구 백련산로 90 (응암동, 은평병원)",서울특별시 은평구 응암동 232-3,37.5939697200,126.9232108000,2903.0,2395,Y,지하주차장,02-351-5243,응암2동주민센터,2021-07-01
"응암역(6호선)",공공용,"서울특별시 은평구 증산로 지하 477 (역촌동, 6호선 응암역사무소)",서울특별시 은평구 역촌동 85-41,37.5987433200,126.9155147000,8149.0,6723,Y,기타,02-351-5305,역촌동주민센터,2021-07-01
"시립서북병원",공공용,"서울특별시 은평구 갈현로7길 49 (역촌동, 서울서북병원)",서울특별시 은평구 역촌동 31-1,37.6043580400,126.9056649000,9788.0,8075,Y,기타,02-351-5305,역촌동주민센터,2021-07-01
"새절역(6호선)",공공용,"서울특별시 은평구 증산로 지하 400 (신사동, 6호선 새절역사무소)",서울특별시 은평구 신사동 337-5,37.5918261500,126.9139102000,7048.0,5815,Y,기타,02-351-5363,신사2동주민센터,2021-07-01
"증산역(6호선)",공공용,"서울특별시 은평구 증산로 지하 306 (증산동, 6호선 증산역사무소)",서울특별시 은평구 증산동 199-8,37.5841936700,126.9100560000,8722.0,7196,Y,기타,02-351-5393,증산동주민센터,2021-07-01
"디지털미디어시티역(6호선)",공공용,"서울특별시 은평구 수색로 지하 175 (증산동, 6호선 디지털미디어시티역)",서울특별시 은평구 증산동 223-25,37.5771630600,126.9019272000,12436.0,10260,Y,기타,02-351-5393,증산동주민센터,2021-07-01
"불광역(6호선)",공공용,"서울특별시 은평구 통일로 지하 723-1 (대조동, 3,6호선 불광역사무소)",서울특별시 은평구 대조동 14-1,37.6102061800,126.9299850000,8645.0,7132,Y,기타,02-351-5184,대조동주민센터,2021-07-01
"갈현현대1차아파트(전동 지하)",공공용,"서울특별시 은평구 갈현로33길 24 (갈현동, 갈현동현대아파트)",서울특별시 은평구 갈현동 537,37.6219697000,126.9139706000,12051.0,9942,Y,지하주차장,02-351-5093,갈현1동주민센터,2021-07-01
"코오롱하늘채아파트(전동 지하)",공공용,"서울특별시 은평구 갈현로29길 62 (갈현동, 코오롱하늘채아파트)",서울특별시 은평구 갈현동 545,37.6233585600,126.9109150000,8195.0,6761,Y,지하주차장,02-351-5093,갈현1동주민센터,2021-07-01
"건영아파트(전동 지하)",공공용,"서울특별시 은평구 갈현로45길 57 (갈현동, 갈현동건영아파트)",서울특별시 은평구 갈현동 541-1,37.6289753400,126.9133825000,6321.0,5215,Y,지하주차장,02-351-5093,갈현1동주민센터,2021-07-01
"은평구민체육센터",공공용,"서울특별시 은평구 진관1로 40 (진관동, 은평구민체육센터)",서울특별시 은평구 진관동 362,37.6304386000,126.9235811000,3722.0,3071,Y,주차장,02-351-5454,진관동주민센터,2021-07-01
"은평노인종합복지관",공공용,"서울특별시 은평구 연서로 415 (진관동, 은평노인종합복지관)",서울특별시 은평구 진관동 156-6,37.6322515300,126.9299824000,889.0,733,Y,기타,02-351-5454,진관동주민센터,2021-07-01
"북한산현대홈타운아파트(전동 지하)",공공용,"서울특별시 은평구 불광로2길 7 (불광동, 북한산현대홈타운아파트)",서울특별시 은평구 불광동 633-1,37.6122187400,126.9326651000,11474.0,9466,Y,지하주차장,02-351-5035,불광1동주민센터,2021-07-01
"이랜드아파트(전동 지하)",공공용,"서울특별시 은평구 은평터널로 121-6 (신사동, 이랜드타운아파트)",서울특별시 은평구 신사동 367,37.5902757200,126.9036446000,5015.0,4137,Y,지하주차장,02-351-5363,신사2동주민센터,2021-07-01
"대주파크빌아파트(전동 지하)",공공용,"서울특별시 은평구 증산로15길 50 (신사동, 대주파크빌)",서울특별시 은평구 신사동 368,37.5906829300,126.9081143000,2529.0,2086,Y,지하주차장,02-351-5363,신사2동주민센터,2021-07-01
"구파발역(3호선)",공공용,"서울특별시 은평구 진관2로 지하 15-25 (진관동, 3호선 구파발역사무소)",서울특별시 은평구 진관동 67-26,37.6368429600,126.9187436000,5442.0,4490,Y,기타,02-351-5454,진관동주민센터,2021-07-01
"대림한숲타운아파트(전동 지하)",공공용,"서울특별시 은평구 은평터널로 65 (수색동, 대림한숲타운아파트)",서울특별시 은평구 수색동 415-1,37.5869095300,126.8992288000,17300.0,14273,Y,지하주차장,02-351-5428,수색동주민센터,2021-07-01
"이마트",공공용,"서울특별시 은평구 은평로 111 (응암동, 은평이마트)",서울특별시 은평구 응암동 90-1,37.6008262800,126.9205131000,29412.0,24265,Y,지하주차장,02-351-5212,응암1동주민센터,2021-07-01
"녹번역(3호선)",공공용,"서울특별시 은평구 통일로 지하 602-1 (녹번동, 지하철3호선 녹번역)",서울특별시 은평구 녹번동 55,37.6007420000,126.9360183000,8107.0,6688,Y,기타,02-351-5003,녹번동주민센터,2021-07-01
"해주드림빌아파트(전동 지하)",공공용,"서울특별시 은평구 응암로 366 (녹번동, 해주드림빌)",서울특별시 은평구 녹번동 279-1,37.6040534200,126.9229196000,3309.0,2730,Y,지하주차장,02-351-5003,녹번동주민센터,2021-07-01
"진로아파트(전동 지하)",공공용,"서울특별시 은평구 통일로 586-19 (녹번동, 녹번JR아파트)",서울특별시 은평구 녹번동 280-1,37.6002490900,126.9375815000,9121.0,7525,Y,지하주차장,02-351-5003,녹번동주민센터,2021-07-01
"갈현현대아파트(전동 지하)",공공용,"서울특별시 은평구 서오릉로21길 36 (구산동, 갈현현대아파트)",서울특별시 은평구 구산동 382,37.6127727200,126.9049747000,10119.0,8348,Y,지하주차장,02-351-5175,구산동주민센터,2021-07-01
