"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"롯데백화점",공공용,서울특별시 중구 남대문로 81,,37.564729,126.9817316,63954,77520,Y,,,서울특별시 중구청,2021-06-01
"한국은행앞지하보도",공공용,서울특별시 중구 남대문로 39,,37.56251583,126.9797219,356,431,Y,,,서울특별시 중구청,2021-06-01
"남대문앞지하보도",공공용,서울특별시 중구 세종대로 50,,37.56092582,126.9762483787,442,535,Y,,,서울특별시 중구청,2021-06-01
"부영빌딩",공공용,서울특별시 중구 세종대로9길 42,,37.56165692,126.9738321,2821,3419,Y,,,서울특별시 중구청,2021-06-01
"남대문로지하쇼핑센터",공공용,서울특별시 중구 남대문로 지하14,,37.56101264,126.977916,3059,3707,Y,,,서울특별시 중구청,2021-06-01
"프라자호텔",공공용,서울특별시 중구 소공로 119,,37.56466351,126.9780915,13993,16961,Y,,,서울특별시 중구청,2021-06-01
"소공지하도상가",공공용,서울특별시 중구 소공로 116,,37.56485828,126.9789516,2310,2800,Y,,,서울특별시 중구청,2021-06-01
2호선시청역지하철승강장,공공용,서울특별시 중구 서소문로 지하127,,37.56357818,126.9753889,8322,10087,Y,,,서울특별시 중구청,2021-06-01
"삼성본관",공공용,서울특별시 중구 세종대로 67,,37.56238169,126.9755613,8655,10490,Y,,,서울특별시 중구청,2021-06-01
"대한상공회의소",공공용,서울특별시 중구 세종대로 39,,37.56071266,126.9737736,5029,6095,Y,,,서울특별시 중구청,2021-06-01
"소공지하쇼핑센터",공공용,서울특별시 중구 소공로 지하102,,37.56404395,126.9799388,5655,6854,Y,,,서울특별시 중구청,2021-06-01
"경향아트힐",공공용,서울특별시 중구 정동길 3,,37.5681732680,126.9699761132,476,576,Y,,,서울특별시 중구청,2021-06-01
"대한항공",공공용,서울특별시 중구 서소문로 117,,37.56357791,126.9741258,5700,6909,Y,,,서울특별시 중구청,2021-06-01
"농협중앙회",공공용,서울특별시 중구 새문안로 16,,37.56649939,126.9685558,1585,1921,Y,,,서울특별시 중구청,2021-06-01
1호선서울역지하철승강장,공공용,서울특별시 중구 세종대로 지하2,,37.55715885,126.9725526,9292,11263,Y,,,서울특별시 중구청,2021-06-01
"서울역우체국앞지하보도",공공용,서울특별시 중구 통일로 21,,37.55758745,126.9714025,495,600,Y,,,서울특별시 중구청,2021-06-01
"남산입구지하보도",공공용,서울특별시 중구 소월로 3,,37.55937249,126.9762007,620,751,Y,,,서울특별시 중구청,2021-06-01
"회현지하도상가",공공용,서울특별시 중구 소공로 지하58,,37.56066733,126.9818457,287,347,Y,,,서울특별시 중구청,2021-06-01
4호선회현역지하철승강장,공공용,서울특별시 중구 퇴계로 지하54,,37.55853676,126.9782381,10233,12403,Y,,,서울특별시 중구청,2021-06-01
"삼익패션타운",공공용,서울특별시 중구 남대문시장8길 7,,37.56043619,126.9789574,1442,1747,Y,,,서울특별시 중구청,2021-06-01
"연세봉래빌딩",공공용,서울특별시 중구 칠패로 36,,37.55939701,126.9728868,1808,2191,Y,,,서울특별시 중구청,2021-06-01
"단암타워빌딩",공공용,서울특별시 중구 소월로 10,,37.55853981,126.9754132,1650,2000,Y,,,서울특별시 중구청,2021-06-01
4호선서울역지하철승강장,공공용,서울특별시 중구 한강대로 405,,37.55472902,126.969525,18070,21903,Y,,,서울특별시 중구청,2021-06-01
"중구회현체육센터",공공용,서울특별시 중구 퇴계로12길 78,,37.55603257,126.9816386,1056,1280,Y,,,서울특별시 중구청,2021-06-01
1호선시청역지하철승강장,공공용,서울특별시 중구 세종대로 지하101,,37.56543816,126.976982,8616,10443,Y,,,서울특별시 중구청,2021-06-01
"을지로지하상가",공공용,서울특별시 중구 을지로 지하88,,37.56615326,126.9868693327,14430,17490,Y,,,서울특별시 중구청,2021-06-01
2호선을지로입구역지하철승강장,공공용,서울특별시 중구 을지로 지하42,,37.56605176,126.9823741,10408,12615,Y,,,서울특별시 중구청,2021-06-01
"회현지하쇼핑센터",공공용,서울특별시 중구 소공로 지하58,,37.56066733,126.9818457,7678,9306,Y,,,서울특별시 중구청,2021-06-01
"조양빌딩신관",공공용,서울특별시 중구 삼일대로6길 5,,37.56254231,126.9893064,2851,3455,Y,,,서울특별시 중구청,2021-06-01
"명동역지하철승강장",공공용,서울특별시 중구 퇴계로 지하126,,37.56090935,126.9859474,9875,11969,Y,,,서울특별시 중구청,2021-06-01
"명동지하쇼핑센터",공공용,서울특별시 중구 남대문로 지하72,,37.56356497,126.9820895,1758,2130,Y,,,서울특별시 중구청,2021-06-01
"천수빌딩KEB하나은행",공공용,서울특별시 중구 수표로 67,,37.56735363,126.9892921,7187,8711,Y,,,서울특별시 중구청,2021-06-01
