"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"뉴한두빌라(지하주차장)",공공용,서울특별시 중랑구 면목로84길 8,서울특별시 중랑구 면목동 226,37.5918062,127.0872261,388,470,Y,주차장,02-2094-6017,면목본동주민센터,2020-12-09
"면목초등학교",공공용,서울특별시 중랑구 면목로 434,서울특별시 중랑구 면목동 221,37.5906965996,127.0872878229,198,240,Y,자료실,02-2094-6017,면목본동주민센터,2020-12-09
"혜원여고",공공용,서울특별시 중랑구 봉우재로58길 39,서울특별시 중랑구 망우동 519,37.5932798745,127.0970427112,795,963,Y,학습장,02-2094-6534,망우제3동주민센터,2020-12-09
"송곡여자고등학교",공공용,서울특별시 중랑구 양원역로 67,서울특별시 중랑구 망우동 252,37.6066890425,127.1051454510,1157,1402,Y,무용실,02-2094-6498,망우본동주민센터,2020-12-09
"동서울농협",공공용,서울특별시 중랑구 망우로 290,서울특별시 중랑구 상봉동 115,37.5958061,127.0847014459,422,511,Y,지하주차장,02-2094-6293,상봉제2동주민센터,2020-12-09
KT 중랑지사,공공용,서울특별시 중랑구 봉우재로 54,서울특별시 중랑구 면목동 180,37.5907011882,127.0792508846,321,389,Y,구내식당,02-2094-6056,면목제2동주민센터,2020-12-09
"고웅산업",공공용,서울특별시 중랑구 봉우재로70길 96,서울특별시 중랑구 망우동 530,37.5913648,127.0967227,1904,2307,Y,주차장,02-2094-0231,망우제3동주민센터,2020-12-09
"상아빌딩",공공용,서울특별시 중랑구 용마산로 494,서울특별시 중랑구 망우동 410,37.5949757275,127.1002367,689,835,Y,"만화방,단란주점",02-2094-6534,망우제3동주민센터,2020-12-09
"그린프라자",공공용,서울특별시 중랑구 동일로 775,서울특별시 중랑구 중화동 303,37.5996433,127.0794341,450,545,Y,체육시설,02-2094-6375,중화제2동주민센터,2020-12-09
"이대병설미디어고",공공용,서울특별시 중랑구 망우로73길 56,서울특별시 중랑구 망우동 220,37.6031323992,127.1053323962,961,1164,Y,무용실,02-2094-6498,망우본동주민센터,2020-12-09
"상봉터미널",공공용,서울특별시 중랑구 상봉로 117,서울특별시 중랑구 상봉동 83,37.5966105389,127.0925939320,6598,7997,Y,지하상가,02-2094-6293,상봉제2동주민센터,2020-12-09
"송곡고등학교",공공용,서울특별시 중랑구 양원역로 50,서울특별시 중랑구 망우동 239,37.6058454355,127.1064637349,1504,1823,Y,체육관,02-2094-6490,망우본동주민센터,2020-12-09
"용마한신2차아파트",공공용,서울특별시 중랑구 사가정로71길 11,서울특별시 중랑구 면목동 1073,37.5809895060,127.0942884988,5656,6855,Y,지하주차장,02-2094-6105,면목제3.8동주민센터,2020-12-09
"메가박스 (구 : 뉴월드씨네마)",공공용,서울특별시 중랑구 망우로30길 3,서울특별시 중랑구 상봉동 130,37.5930326,127.0747358,2277,2760,Y,지하주차장,02-2094-6293,상봉제2동주민센터,2020-12-09
"한국전력공사동대문중랑지사",공공용,서울특별시 중랑구 동일로 862,서울특별시 중랑구 묵동 181,37.6074439,127.0792372,1124,1362,Y,구내식당,02-2094-6412,묵1동주민센터,2020-12-09
"용마한신아파트1차 상가",공공용,서울특별시 중랑구 사가정로71길 19,서울특별시 중랑구 면목동 1077,37.5808368956,127.0950525988,367,444,Y,지하주차장,02-2094-6105,면목제3.8동주민센터,2020-12-09
"용마한신1차아파트3동",공공용,서울특별시 중랑구 사가정로71길 19,서울특별시 중랑구 면목동 1077,37.5808368956,127.0950525988,567,687,Y,창고,02-2094-6105,면목제3.8동주민센터,2020-12-09
"동부제일병원",공공용,서울특별시 중랑구 망우로 511,서울특별시 중랑구 망우동 128,37.6008839257,127.1095471545,532,644,Y,물리치료실,02-2094-6498,망우본동주민센터,2020-12-09
