"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"남산포스코더샵103동지하주차장",공공용,울산광역시 남구 봉월로 133,울산광역시 남구 신정동 1334-38,35.54419892,129.3059189,3507,4251,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"울산광역시 시청(본관,의사당 지하1층주차장)",공공용,울산광역시 남구 중앙로 201,울산광역시 남구 신정동 646-4,35.53794783,129.3112563,5443,6598,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"풍림엑슬루타워A동지하주차장",공공용,울산광역시 남구 봉월로 167,울산광역시 남구 신정동 1880,35.54821686,129.3074673,29461,35710,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"성수빌딩지하주차장",공공용,울산광역시 남구 중앙로 151,울산광역시 남구 신정동 661-6,35.5346536,129.3139153,231,280,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"성곡빌딩지하주차장",공공용,울산광역시 남구 두왕로 337,울산광역시 남구 신정동 1100-6,35.5314593,129.3067844,198,240,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"한화생명지하주차장",공공용,울산광역시 남구 중앙로 179,울산광역시 남구 신정동 649-7,35.53719982,129.3126723,4793,5810,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"신정현대아파트지하주차장(102동앞)",공공용,울산광역시 남구 문수로410번길 10,울산광역시 남구 신정동 1634,35.53241518,129.2974992,11065,13412,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"공업탑로타리지하보도",공공용,울산광역시 남구 문수로 지하 487-1,울산광역시 남구 신정동 1127-61,35.53251851,129.3066206,496,601,Y,지하보도,052-226-5463,울산광역시 남구청,2021-05-26
"문수로아이파크 1단지지하주차장(106동앞)",공공용,울산광역시 남구 문수로409번길 20,울산광역시 남구 신정동 1639-1,35.53520308,129.2981608,20481,24825,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"문수로아이파크 2단지지하주차장(207동앞)",공공용,울산광역시 남구 문수로409번길 23,울산광역시 남구 신정동 1639-51,35.53678358,129.2980648,21942,26596,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"대공원월드메르디앙지하주차장(103동앞)",공공용,울산광역시 남구 대공원로 207,울산광역시 남구 신정동 1868,35.5315877,129.304407,13993,16961,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"문수로2차 아이파크 1단지지하주차장(106동앞)",공공용,울산광역시 남구 동산로 69번길 13,울산광역시 남구 신정동 1889,35.5374709,129.3021293,34587,41924,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"문수로2차 아이파크 2단지지하주차장)202동앞)",공공용,울산광역시 남구 동산로 69번길 14,울산광역시 남구 신정동 1890,35.53675568,129.3042462,24943,30234,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"삼창빌딩지하주차장",공공용,울산광역시 남구 신정로 95,울산광역시 남구 신정동 168-9,35.5402315,129.3199632,288.8,350,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"대원빌딩지하주차장",공공용,울산광역시 남구 중앙로 230,울산광역시 남구 신정동 176-6,35.5414913,129.3118841,410,497,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"화성빌딩지하주차장",공공용,울산광역시 남구 중앙로 260,울산광역시 남구 신정동 495-43,35.5439948,129.3108398,562,681,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"경남은행지하주차장",공공용,울산광역시 남구 중앙로 202,울산광역시 남구 신정동 583-3,35.5389299,129.3128724,2400,2909,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"메트로빌딩지하주차장",공공용,울산광역시 남구 돋질로 69,울산광역시 남구 신정동 585-9,35.5386598,129.313588,3270.5,3964,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"강변센트럴하이츠지하주차장(101동)",공공용,울산광역시 남구 중앙로290번길 53,울산광역시 남구 신정동 319,35.5481709,129.314852,32211.78,39045,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"두산위브더제니스지하주차장",공공용,울산광역시 남구 신정로203번길 61,울산광역시 남구 신정동 1877,35.5484331,129.3101466,17048,20664,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"울산신정푸르지오아파트지하주차장(102동,111동)",공공용,울산광역시 남구 팔등로 85,울산광역시 남구 신정동 318,35.54701568,129.3137217,58901.99,71396,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"프라자 빌딩",공공용,울산광역시 남구 삼산로 24,울산광역시 남구 신정동 706-3,35.5326961,129.3104233,294,356,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"효천빌딩",공공용,울산광역시 남구 삼산로 48,울산광역시 남구 신정동 685-4,35.5333918,129.3130026,664,805,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"한라무지개아파트",공공용,울산광역시 남구 두왕로272번길 17-14,울산광역시 남구 신정동 899,35.52735644,129.3126807,545,661,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"한라백조아파트",공공용,울산광역시 남구 중앙로63번길 16,울산광역시 남구 신정동 872,35.52731579,129.3162994,1914,2320,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"삼진파크",공공용,울산광역시 남구 두왕로322번길 12,울산광역시 남구 신정동 1821-2,35.530875,129.3093457,397,481,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"영보가든맨션",공공용,울산광역시 남구 두왕로244번길 30,울산광역시 남구 신정동 942-10,35.52521817,129.3146078,661,801,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"(주)템포",공공용,울산광역시 남구 수암로 4,울산광역시 남구 신정동 1094,35.53167766,129.308587,205,248,Y,주차장,052-226-5462,울산광역시 남구청,2021-05-26
"신정현대홈타운(301동)지하주차장",공공용,울산광역시 남구 수암로129번길 25,울산광역시 남구 신정동 851,35.52976833,129.321694,23032,27918,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"신정현대홈타운(402동)지하주차장",공공용,울산광역시 남구 대암로 51,울산광역시 남구 신정동 851,35.53174271,129.3226217,16772,20330,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
"신성미소지움1단지지하주차장(104동)",공공용,울산광역시 남구 대암로 25,울산광역시 남구 신정동 1852,35.53102343,129.3187958,16495,19994,Y,주차장,052-226-5463,울산광역시 남구청,2021-05-26
