"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
e편한세상전하 101~108동 지하,공공용,울산광역시 동구 봉수로 290 (전하동),울산광역시 동구 전하동 630번지 1호,35.5125060832,129.423531,28702,34790,Y,지하주차장,052-209-4313,전하2동주민센터,2020-07-22
e편한세상전하 109~116동 지하,공공용,울산광역시 동구 봉수로 290 (전하동),울산광역시 동구 전하동 630번지 1호,35.5125060832,129.423514,56753,68791,Y,지하주차장,052-209-4313,전하2동주민센터,2020-07-22
KT동울산지사,공공용,"울산광역시 동구 방어진순환도로 775 (전하동, KT동울산지사)",울산광역시 동구 전하동 639번지 1호,35.510947,129.430244,1911,2316,Y,주차장,052-209-4313,전하2동주민센터,2020-07-22
"광희빌딩(지하주차장)",공공용,울산광역시 동구 방어진순환도로 1141 (서부동),울산광역시 동구 서부동 590번지 8호,35.539294,129.424214,562,681,Y,지하주차장,052-209-4375,남목1동주민센터,2020-07-22
"금강아파트 201동",공공용,"울산광역시 동구 봉수로 170 (화정동, 금강아파트)",울산광역시 동구 화정동 149번지 1호,35.50233987,129.4175737,662,802,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"금강아파트 202동",공공용,"울산광역시 동구 봉수로 170 (화정동, 금강아파트)",울산광역시 동구 화정동 149번지 1호,35.502375,129.4175737,654,792,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"꽃바위현대아파트",공공용,"울산광역시 동구 화잠9길 45 (방어동, 꽃바위현대아파트)",울산광역시 동구 방어동 971번지,35.4834279631,129.4087843797,2645,3206,Y,기타,052-209-4164,방어동주민센터,2020-07-22
"남목그린타워(주차장)",공공용,"울산광역시 동구 옥류로 87 (동부동, 남목그린타워)",울산광역시 동구 동부동 424번지 1호,35.54624644,129.4247216,990,1200,Y,주차장,052-209-4375,남목1동주민센터,2020-07-22
"남목현대아파트",공공용,"울산광역시 동구 남목12길 17 (동부동, 남목현대아파트)",울산광역시 동구 동부동 672번지,35.54585008,129.4272233,1155,1400,Y,기타,052-209-4433,남목3동주민센터,2020-07-22
"남목현대아파트(지하층)",공공용,"울산광역시 동구 제기천길 7-10 (서부동, 남목현대아파트)",울산광역시 동구 서부동 591번지,35.538631,129.424561,568,688,Y,기타,052-209-4375,남목1동주민센터,2020-07-22
"대경넥스빌 103동~106동 앞 지하주차장",공공용,"울산광역시 동구 바드래길 110 (전하동, 전하대경넥스빌)",울산광역시 동구 전하동 301번지 28호,35.5171157508,129.4262473480,6578,7973,Y,지하주차장,052-209-4287,전하1동주민센터,2020-07-22
"대송현대아파트 101동",공공용,"울산광역시 동구 대송1길 10 (화정동, 대송현대아파트)",울산광역시 동구 화정동 175번지,35.4989923702,129.4182534835,786,952,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"대송현대아파트 102동",공공용,"울산광역시 동구 대송1길 10 (화정동, 대송현대아파트)",울산광역시 동구 화정동 175번지,35.4989923702,129.4182534835,771,934,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"대송현대아파트 103동",공공용,"울산광역시 동구 대송2길 10 (화정동, 대송현대아파트)",울산광역시 동구 화정동 162번지,35.49991066,129.4179328,771,934,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"대송현대아파트 104동",공공용,"울산광역시 동구 대송2길 10 (화정동, 대송현대아파트)",울산광역시 동구 화정동 162번지,35.499925,129.4179328,771,934,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"대송현대아파트 201동",공공용,"울산광역시 동구 대송3길 10 (화정동, 대송현대아파트)",울산광역시 동구 화정동 161번지 1호,35.50116245,129.4175164,771,934,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"대송현대아파트 202동",공공용,"울산광역시 동구 대송3길 10 (화정동, 대송현대아파트)",울산광역시 동구 화정동 161번지 1호,35.50116245,129.4175164,771,934,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"대송현대아파트 203동",공공용,"울산광역시 동구 대송3길 10 (화정동, 대송현대아파트)",울산광역시 동구 화정동 161번지 1호,35.501131,129.4175164,771,934,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"대송현대아파트 204동",공공용,"울산광역시 동구 봉수로 162 (화정동, 대송현대아파트)",울산광역시 동구 화정동 149번지 2호,35.5019138,129.4174767,733,888,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"대송현대아파트 301동",공공용,"울산광역시 동구 대송4길 5 (화정동, 대송현대아파트)",울산광역시 동구 화정동 136번지,35.50387083,129.4174345,234,283,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"대송현대아파트 302동",공공용,울산광역시 동구 대송4길 5-0 (화정동),울산광역시 동구 화정동 136번지,35.503458,129.417325,360,436,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"대송현대아파트 303동",공공용,울산광역시 동구 대송4길 5-0 (화정동),울산광역시 동구 화정동 136번지,35.503089,129.417197,360,436,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"대왕암엘크루아파트주차장 지하2층",공공용,울산광역시 동구 등대4길 26 (방어동),울산광역시 동구 방어동 59번지 1호,35.48883585,129.4320508,17572,21299,Y,지하주차장,052-209-4164,방어동주민센터,2020-07-22
"대하크리스탈 101동(지하)",공공용,"울산광역시 동구 양지5길 5 (화정동, 대하크리스탈)",울산광역시 동구 화정동 851번지 6호,35.495658,129.419736,564,683,Y,기타,052-209-4224,화정동주민센터,2020-07-22
"동구보건소 지하주차장",공공용,"울산광역시 동구 봉수로 155 (화정동, 동구청사)",울산광역시 동구 화정동 222번지,35.5047924215,129.4165894372,2300,2787,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"동구청",공공용,"울산광역시 동구 봉수로 155 (화정동, 동구청사)",울산광역시 동구 화정동 222번지,35.5047924215,129.4165894372,182,220,Y,기타,052-209-4253,대송동주민센터,2020-07-22
"동남로얄하이츠빌라 지하주차장",공공용,"울산광역시 동구 바드래1길 21 (전하동, 동남로얄하이츠빌라)",울산광역시 동구 전하동 312번지 10호,35.517244,129.430236,688,833,Y,지하주차장,052-209-4287,전하1동주민센터,2020-07-22
"동부경찰서 지하",공공용,"울산광역시 동구 진성4길 11 (전하동, 동부경찰서)",울산광역시 동구 전하동 666번지 1호,35.5085425821,129.4283832,846,1025,Y,교육장,052-209-4313,전하2동주민센터,2020-07-22
"동부아파트 101동",공공용,"울산광역시 동구 안산로 50 (동부동, 현대패밀리동부아파트)",울산광역시 동구 동부동 150번지,35.5425475,129.4302360186,495,600,Y,기타,052-209-4433,남목3동주민센터,2020-07-22
"동부아파트 103동",공공용,"울산광역시 동구 안산로 50 (동부동, 현대패밀리동부아파트)",울산광역시 동구 동부동 150번지,35.5425475,129.4302360186,495,600,Y,기타,052-209-4433,남목3동주민센터,2020-07-22
"동부아파트 104동",공공용,"울산광역시 동구 안산로 50 (동부동, 현대패밀리동부아파트)",울산광역시 동구 동부동 150번지,35.5425475,129.4302360186,495,600,Y,기타,052-209-4433,남목3동주민센터,2020-07-22
