"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"문화청솔아파트",공공용,울산광역시 북구 호계로 327-8(신천동),,35.632434,129.3494384,1758,2131,Y,,,울산광역시 북구청,2021-06-21
"현대으뜸타운",공공용,울산광역시 북구 매곡본길 54(매곡동),,35.63835121,129.3597689,1289,1562,Y,,,울산광역시 북구청,2021-06-21
"무지개1차아파트",공공용,울산광역시 북구 제내5길 26(신천동),,35.6348004,129.3520606,1752,2124,Y,,,울산광역시 북구청,2021-06-21
"협성노블리스",공공용,울산광역시 북구 호계로 309-20(신천동),,35.63084467,129.3489845,10171,12328,Y,,,울산광역시 북구청,2021-06-21
"호계주공1차아파트",공공용,울산광역시 북구 동대12길 30(호계동),,35.63115671,129.3572922,3335,4042,Y,,,울산광역시 북구청,2021-06-21
"호계주공2차아파트",공공용,울산광역시 북구 동대11길 36(호계동),,35.63229087,129.3548183,5682,6887,Y,,,울산광역시 북구청,2021-06-21
"월드메르디앙아파트1단지",공공용,울산광역시 북구 매산로 65(매곡동),,35.63993628,129.3613794,70646,85632,Y,,,울산광역시 북구청,2021-06-21
"월드메르디앙아파트2단지",공공용,울산광역시 북구 매산로 66(매곡동),,35.64160884,129.3579152,44669,54144,Y,,,울산광역시 북구청,2021-06-21
"호계1차 한양수자인아파트",공공용,울산광역시 북구 호수중앙로 46(호계동),,35.62269374,129.3601449,8126,9850,Y,,,울산광역시 북구청,2021-06-21
"삼우타운",공공용,울산광역시 북구 화정1길 28(중산동),,35.65841619,129.3430034,833,1010,Y,,,울산광역시 북구청,2021-06-21
"한라신천지타운",공공용,울산광역시 북구 갈밭길 1(신천동),,35.634401,129.3482607,1973,2392,Y,,,울산광역시 북구청,2021-06-21
"호계청구그린타워",공공용,울산광역시 북구 호계로 402(신천동),,35.63892066,129.3475284,1728,2095,Y,,,울산광역시 북구청,2021-06-21
"현대글로리아아파트",공공용,울산광역시 북구 이화5길 23(중산동),,35.6625962,129.3374123,3198,3876,Y,,,울산광역시 북구청,2021-06-21
"중산현대아파트",공공용,울산광역시 북구 이화5길 20(중산동),,35.6628676,129.338281,1695,2055,Y,,,울산광역시 북구청,2021-06-21
"매곡푸르지오아파트1단지",공공용,울산광역시 북구 신천로 92(매곡동),,35.64599364,129.3535745,28877,35002,Y,,,울산광역시 북구청,2021-06-21
"신천엠코타운",공공용,울산광역시 북구 신천소공원로 15(신천동),,35.6452173,129.3473031,33344,40417,Y,,,울산광역시 북구청,2021-06-21
"원동현대아파트",공공용,울산광역시 북구 고래로 2(천곡동),,35.63183966,129.3435629,3690,4473,Y,,,울산광역시 북구청,2021-06-21
"쌍용아진그린타운2단지",공공용,울산광역시 북구 아진로 75(상안동),,35.63055214,129.3391388,2899,3514,Y,,,울산광역시 북구청,2021-06-21
