"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"다운아파트대피소",공공용,"울산광역시 중구 다운6길 16 (다운동, 다운아파트)",울산광역시 중구 다운동 768,35.56546083,129.2673395,5289.28,6411,Y,아파트 창고,052-223-5373,울산광역시 중구청,2020-10-27
"나산빌딩대피소",공공용,울산광역시 중구 다운로 2 (다운동),울산광역시 중구 다운동 519-10,35.55610682,129.275886,793.39,962,Y,아파트 창고,052-290-4680,울산광역시 중구청,2020-10-27
"삼성아파트대피소",공공용,"울산광역시 중구 운곡3길 24 (다운동, 삼성아파트)",울산광역시 중구 다운동 620,35.55941861,129.274875,4740.52,5746,Y,아파트 창고,052-249-9663,울산광역시 중구청,2020-10-27
"시민교회비상대피소",공공용,울산광역시 중구 운곡안길 24 (다운동),울산광역시 중구 다운동 519-2,35.557267,129.2775751,2228.11,2701,Y,아파트 창고,052-277-6091,울산광역시 중구청,2020-10-27
"현대아파트대피소",공공용,"울산광역시 중구 운곡3길 23 (다운동, 현대아파트)",울산광역시 중구 다운동 590,35.55999177,129.2727695,2069.43,2508,Y,아파트 창고,052-223-4569,울산광역시 중구청,2020-10-27
"다운동아아파트 지하주차장",공공용,"울산광역시 중구 다운로 175 (다운동, 동아아파트)",울산광역시 중구 다운동 702,35.56825275,129.265689,12145.51,14722,Y,아파트 주차장,052-222-1087,울산광역시 중구청,2020-10-27
"병영삼일아파트 101동 주차장",공공용,울산광역시 중구 남외로 88(남외동),울산광역시 중구 남외동 475-5,35.56824674,129.3459172,1686,2044,Y,아파트 주차장,052-296-4330,울산광역시 중구청,2020-10-27
"병영삼일아파트 102동 주차장",공공용,울산광역시 중구 남외로 88(남외동),울산광역시 중구 남외동 475-5,35.56824674,129.3459172,1531,1856,Y,아파트 주차장,052-296-4330,울산광역시 중구청,2020-10-27
"병영삼일아파트 201동 주차장",공공용,울산광역시 중구 남외로 88(남외동),울산광역시 중구 남외동 475-5,35.56824674,129.3459172,853,1034,Y,아파트 주차장,052-296-4330,울산광역시 중구청,2020-10-27
"병영삼일아파트 101동 건물지하",공공용,울산광역시 중구 남외로 88(남외동),울산광역시 중구 남외동 475-5,35.56824674,129.3459172,1487,1802,Y,아파트 창고,052-296-4330,울산광역시 중구청,2020-10-27
"병영삼일아파트 102동 건물지하",공공용,울산광역시 중구 남외로 88(남외동),울산광역시 중구 남외동 475-5,35.56824674,129.3459172,1487,1802,Y,아파트 창고,052-296-4330,울산광역시 중구청,2020-10-27
"병영삼일아파트 103동 건물지하",공공용,울산광역시 중구 남외로 88(남외동),울산광역시 중구 남외동 475-5,35.56824674,129.3459172,1487,1802,Y,아파트 창고,052-296-4330,울산광역시 중구청,2020-10-27
"병영삼일아파트 201동 건물지하",공공용,울산광역시 중구 남외로 88(남외동),울산광역시 중구 남외동 475-5,35.56824674,129.3459172,1487,1802,Y,아파트 창고,052-296-4330,울산광역시 중구청,2020-10-27
"장애인 문화센터",공공용,울산광역시 중구 해오름18길 7(남외동),울산광역시 중구 남외동 1033-9,35.56055684,129.3433769,525,636,Y,장애인 문화센터,052-294-1966,울산광역시 중구청,2020-10-27
"보건소",공공용,울산광역시 중구 외솔큰길 225(남외동),울산광역시 중구 남외동 603-2,35.569448,129.350456,232,281,Y,보건소,052-211-4000,울산광역시 중구청,2020-10-27
"남외푸르지오 1차 주차장",공공용,울산광역시 중구 남외3길 33(남외동),울산광역시 중구 남외동 506-1,35.56494419,129.3490627,27798,33695,Y,아파트 주차장,052-281-0300,울산광역시 중구청,2020-10-27
"서영현대골든타워",공공용,울산광역시 중구 산전길 29 (동동),울산광역시 중구 동동 470-6,35.57222892,129.349668,1157.03,1402,Y,아파트,052-294-3332,울산광역시 중구청,2020-10-27
"성진파크맨션",공공용,울산광역시 중구 병영6길 35 (동동),울산광역시 중구 동동 470-7,35.571944,129.3495535,284.3,345,Y,아파트,052-298-3076,울산광역시 중구청,2020-10-27
"월성개나리타운",공공용,울산광역시 중구 산전5길 15-5 (동동),울산광역시 중구 동동 139-1,35.576225,129.348714,495.87,601,Y,아파트,052-290-4720,울산광역시 중구청,2020-10-27
"광명파크",공공용,울산광역시 중구 동천5길 40 (동동),울산광역시 중구 서동 41-3,35.581433,129.3446949,595.04,721,Y,아파트,052-292-0483,울산광역시 중구청,2020-10-27
"두강팔레스",공공용,울산광역시 중구 동천4길 31 (서동),울산광역시 중구 서동 34-1,35.58298547,129.344847,1586.78,1923,Y,아파트,052-296-3473,울산광역시 중구청,2020-10-27
"병영교회",공공용,울산광역시 중구 병영성길 89 (서동),울산광역시 중구 서동 260-2,35.574494,129.3457946,628.1,761,Y,교회,052-292-5357,울산광역시 중구청,2020-10-27
"서동현대아파트",공공용,울산광역시 중구 동천1길 31 (서동),울산광역시 중구 서동 34-2,35.58349755,129.3461588,1685.96,2044,Y,아파트,052-292-2529,울산광역시 중구청,2020-10-27
