"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"한양아파트",공공용,"인천광역시 계양구 계양대로120번길 10 (작전동, 한양아파트)",인천광역시 계양구 작전동 854번지 4호,37.53406798,126.7231715,1289.26,1562,Y,지하대피소,032-450-5215,인천광역시 계양구청,2021-07-20
"작전동 중앙하이츠아파트",공공용,"인천광역시 계양구 효서로303번길 20 (작전동, 중앙하이츠아파트)",인천광역시 계양구 작전동 99번지 5호,37.53000921,126.7305543,528.93,641,Y,지하주차장,032-450-5215,인천광역시 계양구청,2021-07-20
"현대1차아파트",공공용,"인천광역시 계양구 길마로 70 (효성동, 현대1차아파트)",인천광역시 계양구 효성동 21번지 11호,37.53318366,126.7127613,3702.5,4488,Y,지하주차장,032-450-5215,인천광역시 계양구청,2021-07-20
"계산현대아파트",공공용,"인천광역시 계양구 계산로 171 (계산동, 현대아파트)",인천광역시 계양구 계산동 66번지,37.53768415,126.7328618,12856,15583,Y,지하주차장,032-450-5215,인천광역시 계양구청,2021-07-20
"한아름아파트",공공용,"인천광역시 계양구 봉오대로743번길 25 (작전동, 한아름아파트)",인천광역시 계양구 작전동 72번지 2호,37.53310606,126.7311993,1223.15,1482,Y,지하주차장,032-450-5215,인천광역시 계양구청,2021-07-20
"현대2차아파트",공공용,"인천광역시 계양구 길마로 83 (효성동, 현대2차아파트)",인천광역시 계양구 효성동 24번지 49호,37.53418112,126.7136746,1685.96,2043,Y,지하주차장,032-450-5215,인천광역시 계양구청,2021-07-20
"현대3차아파트",공공용,"인천광역시 계양구 새벌로133번길 4 (효성동, 현대3차아파트)",인천광역시 계양구 효성동 280번지 5호,37.52968694,126.7169261,1997,2420,Y,지하주차장,032-450-5215,인천광역시 계양구청,2021-07-20
"인정프린스아파트",공공용,"인천광역시 계양구 계산새로5번길 14 (계산동, 인정프린스아파트)",인천광역시 계양구 계산동 57번지 2호,37.53875845,126.7288586,1742,2111,Y,지하주차장,032-450-5215,인천광역시 계양구청,2021-07-20
"계산3동 뉴서울아파트",공공용,"인천광역시 계양구 장제로755번길 6-10 (계산동, 뉴서울1차아파트)",인천광역시 계양구 계산동 288번지 5호,37.53564131,126.7336335,1042,1263,Y,지하주차장,032-450-5215,인천광역시 계양구청,2021-07-20
"현대아파트",공공용,"인천광역시 계양구 주부토로 435 (작전동, 현대아파트)",인천광역시 계양구 작전동 859번지 14호,37.53303955,126.7276901,5090.94,6170,Y,지하주차장,032-450-5215,인천광역시 계양구청,2021-07-20
