"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"금호아파트",공공용,"인천광역시 남동구 구월로 73 (간석동, 금호아파트)",인천광역시 남동구 간석동 495-5,37.45753164,126.69969820,3543,4294,Y,지하주차장,032-453-5300,인천광역시 남동구 간석1동 행정복지센터,2020-12-04
KT 인천지사,공공용,"인천광역시 남동구 경인로 508 (간석동, KT인천지사)",인천광역시 남동구 간석동 520-3,37.45974735,126.69634810,1423,1725,Y,지하주차장,032-453-5300,인천광역시 남동구 간석1동 행정복지센터,2020-12-04
"인천시청역",공공용,"인천광역시 남동구 예술로258번길 5 (간석동, 덕산아파트)",인천광역시 남동구 간석동 908,37.45760051,126.70247760,6236,6413,Y,"승강장,대합실",032-453-5300,인천광역시 남동구 간석1동 행정복지센터,2020-12-04
"현대홈타운",공공용,"인천광역시 남동구 구월로 65 (간석동, 현대홈타운아파트)",인천광역시 남동구 간석동 900-153,37.45753839,126.69810180,13396,11029,Y,지하주차장,032-453-5300,인천광역시 남동구 간석1동 행정복지센터,2020-12-04
"다정한마을서해그랑블아파트",공공용,"인천광역시 남동구 구월로157번길 7 (간석동, 다정한마을서해아파트)",인천광역시 남동구 간석동 408-1,37.45751268,126.70618640,6950,4066,Y,지하주차장,032-453-5300,인천광역시 남동구 간석1동 행정복지센터,2020-12-04
"올리브아울렛",공공용,"인천광역시 남동구 남동대로 880 (간석동, 올리브백화점)",인천광역시 남동구 간석동 205-1,37.46094783,126.70886270,5553,5730,Y,지하주차장,032-453-5320,인천광역시 남동구 간석2동 행정복지센터,2020-12-04
"교원공제회관",공공용,"인천광역시 남동구 백범로 357 (간석동, 한국교직원공제회인천회관)",인천광역시 남동구 간석동 172-1,37.46529916,126.71078870,6600,8000,Y,지하주차장,032-453-5320,인천광역시 남동구 간석2동 행정복지센터,2020-12-04
"태화오피스텔",공공용,인천광역시 남동구 남동대로916번길 23 (간석동),인천광역시 남동구 간석동 179-3,37.46421822,126.70965430,3550,4300,Y,지하주차장,032-453-5320,인천광역시 남동구 간석2동 행정복지센터,2020-12-04
"어울림아파트",공공용,"인천광역시 남동구 석산로 138 (간석동, 금호어울림마을아파트)",인천광역시 남동구 간석동 938-1,37.46007670,126.70665090,13750,10592,Y,지하주차장,032-453-5320,인천광역시 남동구 간석2동 행정복지센터,2020-12-04
"석천사거리역",공공용,"인천광역시 남동구 구월로 지하 181 (구월동, 석천사거리역)",인천광역시 남동구 구월동 73-3,37.45677581,126.71049410,3806,4613,Y,기타,032-453-5320,인천광역시 남동구 간석2동 행정복지센터,2020-12-04
"두진아파트",공공용,인천광역시 남동구 호구포로 899 (간석동),인천광역시 남동구 간석동 917-7,37.46272861,126.72016960,2998,3630,Y,지하주차장,032-453-5340,인천광역시 남동구 간석3동 행정복지센터,2020-12-04
"동원아파트",공공용,인천광역시 남동구 간석로 29 (간석동),인천광역시 남동구 간석동 83-12,37.46752387,126.71119780,1543,1870,Y,지하주차장,032-453-5340,인천광역시 남동구 간석3동 행정복지센터,2020-12-04
"간석오거리역",공공용,"인천광역시 남동구 경인로 지하 642 (간석동, 간석오거리역)",인천광역시 남동구 간석동 239-3,37.46664592,126.70816110,12082,14644,Y,기타,032-453-5340,인천광역시 남동구 간석3동 행정복지센터,2020-12-04
"이삭아파트",공공용,"인천광역시 남동구 용천로176번길 109 (간석동, 이삭아파트)",인천광역시 남동구 간석동 934,37.46526931,126.72014900,1418,1718,Y,지하주차장,032-453-5340,인천광역시 남동구 간석3동 행정복지센터,2020-12-04
