"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"햇살요양병원",공공용,인천광역시 미추홀구 인중로 13,인천광역시 미추홀구 숭의동 343-15,37.4624793757,126.6410163475,264,320,Y,,032-880-4849,인천광역시 미추홀구청,2021-04-14
"극동아파트",공공용,인천광역시 미추홀구 석정로126번길 12-33,인천광역시 미추홀구 숭의동 84-1,37.4678645482,126.6485815022,2479,3004,Y,,032-880-4849,인천광역시 미추홀구청,2021-04-14
"로터리빌딩",공공용,인천광역시 미추홀구 인중로 9,인천광역시 미추홀구 숭의동 343-9,37.4622416321,126.6413236882,1487,1802,Y,,032-880-4849,인천광역시 미추홀구청,2021-04-14
"숭의한화꿈에그린아파트",공공용,인천광역시 미추홀구 석정로126번길 23,인천광역시 미추홀구 숭의동 86-1,37.4670918408,126.6497940764,1356,1643,Y,,032-880-4849,인천광역시 미추홀구청,2021-04-14
"파란마을아파트",공공용,인천광역시 미추홀구 참외전로 302,인천광역시 미추홀구 숭의동 129-9,37.4659416467,126.6475619726,10642,12899,Y,,032-880-4849,인천광역시 미추홀구청,2021-04-14
"동아시티월드",공공용,인천광역시 미추홀구 독배로 443,인천광역시 미추홀구 숭의동 295-35,37.4588358957,126.6481511903,11190,13563,Y,,032-880-4849,인천광역시 미추홀구청,2021-04-14
"제물포지하상가",공공용,인천광역시 미추홀구 경인로 지하 125,인천광역시 미추홀구 숭의동 59-20,37.4669348167,126.6564000314,3761,4558,Y,,032-880-4849,인천광역시 미추홀구청,2021-04-14
"삼화아파트",공공용,인천광역시 미추홀구 한나루로 489,인천광역시 미추홀구 용현동 8-3,37.4506879283,126.6669441658,924,1120,Y,,032-880-4849,인천광역시 미추홀구청,2021-04-14
"동아아파트주차장",공공용,인천광역시 미추홀구 능해길 32,인천광역시 미추홀구 용현동 572-3,37.4581058178,126.6393371189,1980,2400,Y,,032-880-4849,인천광역시 미추홀구청,2021-04-14
"용현대우A 지하주차장1",공공용,인천광역시 미추홀구 아암대로29번길 13,인천광역시 미추홀구 용현동 573-2,37.4585266190,126.6375506349,4672,5663,Y,,032-880-4849,인천광역시 미추홀구청,2021-04-14
"용현대우A 지하주차장2",공공용,인천광역시 미추홀구 아암대로29번길 13,인천광역시 미추홀구 용현동 573-2,37.4585266190,126.6375506349,2123,2573,Y,,032-880-4849,인천광역시 미추홀구청,2021-04-14
"용현성원상떼빌아파트 지하 1",공공용,인천광역시 미추홀구 낙섬동로 104,인천광역시 미추홀구 용현동 649,37.4539789496,126.6449375106,2653,3215,Y,,032-880-4849,인천광역시 미추홀구청,2021-04-14
