"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"팬더아파트",공공용,인천광역시 부평구 갈월동로 34,인천광역시 부평구 갈산동 369,37.51038034,126.7302215,1818,2204,Y,지하주차장,032-509-8435,갈산2동,2020-08-03
"한국아파트",공공용,인천광역시 부평구 갈월동로 40,인천광역시 부평구 갈산동 369,37.51096885,126.7306854,1884,2284,Y,지하주차장,032-509-8424,갈산1동,2020-08-03
"두산아파트",공공용,인천광역시 부평구 갈월동로 45,인천광역시 부평구 갈산동 368,37.5111195669,126.7288254180,7173,8695,Y,지하주차장,032-509-8435,갈산2동,2020-08-03
"아주아파트",공공용,인천광역시 부평구 갈월서로 26,인천광역시 부평구 갈산동 374,37.5100329512,126.7233822402,1487,1802,Y,지하주차장,032-509-8435,갈산2동,2020-08-03
"하나아파트",공공용,인천광역시 부평구 갈월서로 45,인천광역시 부평구 갈산동 362,37.51064243,126.7220182,1983,2404,Y,지하주차장,032-509-8435,갈산2동,2020-08-03
"태화아파트",공공용,인천광역시 부평구 갈월서로 46,인천광역시 부평구 갈산동 363,37.5106076658,126.7240994689,7702,9336,Y,지하주차장,032-509-8424,갈산1동,2020-08-03
"현대1주구101동외 15개동",공공용,인천광역시 부평구 경원대로 1269,인천광역시 부평구 산곡동 307,37.4905050859,126.7064070912,12305,10579,Y,지하주차장,032-509-8385,산곡3동,2020-08-03
"백영아파트",공공용,인천광역시 부평구 경원대로 1086,인천광역시 부평구 십정동 216,37.4786029303,126.6957109,1450,1758,Y,지하주차장,032-509-8605,십정1동,2020-08-03
"부평금호어울림아파트",공공용,인천광역시 부평구 경원대로1110번길 20,인천광역시 부평구 십정동 609,37.4785674554,126.6973956811,5700,6909,Y,지하주차장,032-509-8605,십정1동,2020-08-03
"그린힐주상복합아파트",공공용,인천광역시 부평구 경인로 1038,인천광역시 부평구 부개동 270,37.4865628,126.7352369151,661,801,Y,지하주차장,032-509-8465,부개1동,2020-08-03
"부평삼거리 지하철역",공공용,인천광역시 부평구 경인로 765,인천광역시 부평구 십정동 592,37.47792516,126.7100198,7800,9455,Y,지하주차장,032-509-8324,부평3동,2020-08-03
"동수지하철역",공공용,인천광역시 부평구 경인로 877,인천광역시 부평구 부평동 686,37.48538284,126.717856,4958,6010,Y,지하주차장,032-509-8314,부평2동,2020-08-03
"라일실크빌아파트",공공용,인천광역시 부평구 경인로980번길 34,인천광역시 부평구 부평동 632-3,37.4864992820,126.7282767266,2337,2832,Y,지하주차장,032-509-8354,부평6동,2020-08-03
"인천메트로 부평역",공공용,인천광역시 부평구 광장로 16,인천광역시 부평구 부평동 738-21,37.4895692843,126.7233082,23179,28096,Y,지하주차장,032-509-8305,부평1동,2020-08-03
"부평역",공공용,인천광역시 부평구 경원대로 1418,인천광역시 부평구 부평동 185-1,37.4909354,126.7263404,8075,9788,Y,지하주차장,032-509-8305,부평1동,2020-08-03
"부평역지하상가",공공용,,인천광역시 부평구 부평동 126-10,37.493195107,126.725551013,9374,11362,Y,지하주차장,032-509-8305,부평1동,2020-08-03
"부평중앙지하상가",공공용,,인천광역시 부평구 부평동 126-10,37.493199605,126.725548169,6164,7472,Y,지하주차장,032-509-8305,부평1동,2020-08-03
"행복한마을서해그랑블아파트",공공용,인천광역시 부평구 굴포로 158,인천광역시 부평구 삼산동 454-4,37.5115128575,126.7386190328,27351,4282,Y,지하주차장,032-509-8455,삼산2동,2020-08-03
"주공a1단지",공공용,인천광역시 부평구 길주남로 143,인천광역시 부평구 부개동 496-2,37.5052585562,126.7380120188,5220,6327,Y,지하주차장,032-509-8487,부개3동,2020-08-03
"주공a3단지",공공용,인천광역시 부평구 길주남로 144,인천광역시 부평구 부개동 498-5,37.5021391886,126.7387829004,6896,8359,Y,지하주차장,032-509-8487,부개3동,2020-08-03
