"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"진주아파트2단지 아파트",공공용,인천광역시 서구 장고개로309번길 24 (진주2단지아파트 9동),인천광역시 서구 가좌동 30-4,37.49155063,126.6846127,4287.62,5188,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"민방위교육장",정부지원,인천광역시 서구 가정로294번길 20,인천광역시 서구 석남동 483,37.5109009,126.6748921,807,978,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"신명1차아파트",공공용,인천광역시 서구 건지로250번길 34 (신명아파트 101동),인천광역시 서구 가좌동 148-3,37.49589435,126.669596,1540.5,1864,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"진주아파트3단지 아파트",공공용,인천광역시 서구 장고개로309번길 29 (진주아파트 302동),인천광역시 서구 가좌동 30-86,37.49230656,126.6820751,3266.13,3959,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"뉴서울아파트",공공용,"인천광역시 서구 봉오대로283번길 6 (가정동, 가정뉴서울아파트)",인천광역시 서구 가정동 284-401,37.52493456,126.6821242,2406.62,2916,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"태화아파트",공공용,,인천광역시 서구 석남동 109-55,37.50918138,126.6799543,4846.3,5874,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"덕산아파트",공공용,"인천광역시 서구 서달로123번길 4 (석남동, 덕산아파트)",인천광역시 서구 석남동 487,37.51030472,126.6784494,1652.9,2002,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"신인향아파트",공공용,인천광역시 서구 건지로334번길 26 (인향아파트 나동),인천광역시 서구 가좌동 193-1,37.49606708,126.6787728,809.92,981,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"원흥아파트",공공용,"인천광역시 서구 율도로15번길 26-8 (신현동, 원흥아파트)",인천광역시 서구 신현동 200-4,37.5154373,126.6642126,4959,6011,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"효성아파트",공공용,"인천광역시 서구 새오개로 53 (신현동, 효성아파트)",인천광역시 서구 신현동 151-3,37.51510384,126.6649434,8265,10018,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"대주아파트",공공용,,인천광역시 서구 마전동 342-8,37.61017815,126.6677336,6046.31,7328,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"진주아파트4단지 아파트",공공용,"인천광역시 서구 장고개로309번길 19 (가좌동, 진주아파트)",인천광역시 서구 가좌동 30-100,37.4910403,126.6824236,3196.71,3874,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"진주아파트5단지 아파트",공공용,"인천광역시 서구 장고개로337번길 13 (가좌동, 진주아파트5단지)",인천광역시 서구 가좌동 30-102,37.4928049,126.6855736,5193.41,6295,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"하나3차아파트",공공용,"인천광역시 서구 봉오대로318번길 21 (가정동, 하나아파트)",인천광역시 서구 가정동 341-15,37.5257317,126.6846252,5798.37,7028,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"한국아파트1단지 아파트",공공용,"인천광역시 서구 서달로163번길 16 (가정동, 한국아파트)",인천광역시 서구 가정동 567,37.5134653,126.677049,1824.8,2211,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"한국아파트2단지 아파트",공공용,"인천광역시 서구 서달로163번길 10 (가정동, 한국아파트)",인천광역시 서구 가정동 568,37.51450074,126.6780764,2092.57,2532,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"한신빌리지",공공용,,인천광역시 서구 가정동 546,37.52210116,126.6853104,3824.81,4628,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"동진아파트",공공용,,인천광역시 서구 석남동 111-56,37.51127999,126.6806182,2271.08,2753,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"인천광역시 서구청",공공용,"인천광역시 서구 서곶로 307 (심곡동, 서구청)",인천광역시 서구 심곡동 244,37.54503499,126.6755978,826.45,1001,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"심곡한국아파트",공공용,"인천광역시 서구 탁옥로74번길 3 (심곡동, 한국아파트)",인천광역시 서구 심곡동 302,37.54320951,126.6785365,5315.73,6444,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"연희동남아파트",공공용,인천광역시 서구 심곡로132번길 17,인천광역시 서구 심곡동 287,37.54579258,126.683442,4628.12,5610,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"신현대아파트",공공용,"인천광역시 서구 원적로47번길 35 (가좌동, 신현대아파트)",인천광역시 서구 가좌동 217,37.4913803,126.6763577,2247.94,2725,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"노인복지회관",공공용,,인천광역시 서구 석남동 598,37.51090922,126.6759176,526,638,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"신동아아파트",공공용,인천광역시 서구 서달로123번길 12-4 (석남동),인천광역시 서구 석남동 486-1,37.5100083,126.6776549,1738.85,2108,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"가좌시범공단",공공용,인천광역시 서구 봉수대로 141 (현광아파트형공장 a동),인천광역시 서구 가좌동 178-78,37.48820855,126.6598897,3738.86,4532,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"풍림아파트",공공용,"인천광역시 서구 원적로47번길 6 (가좌동, 풍림아파트)",인천광역시 서구 가좌동 214,37.49175297,126.6799676,9560.37,11589,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"심곡광명아파트",공공용,"인천광역시 서구 심곡로 11 (심곡동, 광명아파트)",인천광역시 서구 심곡동 336-1,37.54277217,126.6715319,10777,13063,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"백천빌딩",공공용,인천광역시 서구 가정로394번길 1,인천광역시 서구 가정동 494-8,37.52017546,126.6734082,860,1042,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"길운씨티빌",공공용,"인천광역시 서구 서곶로 11 (가정동, 길운씨티빌)",인천광역시 서구 가정동 556,37.51970742,126.681259,4446.3,5389,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"인천광역시인재개발원",공공용,인천광역시 서구 심곡로 98,인천광역시 서구 심곡동 307,37.54096936,126.6808944,892.57,1082,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"극동늘푸른아파트",공공용,"인천광역시 서구 승학로 198 (심곡동, 극동늘푸른아파트)",인천광역시 서구 심곡동 259-2,37.5408517,126.6731903,20460,24800,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"신현교회",공공용,인천광역시 서구 신현로 13,인천광역시 서구 신현동 292-5,37.5146412,126.6716572,1521,1843,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"현대아파트",공공용,"인천광역시 서구 원적로 91 (가좌동, 현대아파트)",인천광역시 서구 가좌동 122-2,37.49495128,126.6818757,6138,7440,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"영진아파트",공공용,"인천광역시 서구 가현로 168 (마전동, 영진아파트)",인천광역시 서구 마전동 927-5,37.60482023,126.6621044,7067.8,8567,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"동남아파트",공공용,"인천광역시 서구 완정로 242 (금곡동, 금곡동남아파트)",인천광역시 서구 금곡동 722-2,37.60457766,126.650586,6548.79,7938,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"신명아파트",공공용,"인천광역시 서구 검단로 834 (불로동, 퀸스타운신명아파트)",인천광역시 서구 불로동 312-2,37.61694397,126.6910637,13590,16473,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"탑스빌아파트",공공용,,인천광역시 서구 당하동 895-1,37.59200163,126.6755234,21041,25504,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"동부아파트",공공용,"인천광역시 서구 검단로 851 (불로동, 불로동부아파트)",인천광역시 서구 불로동 179,37.61964893,126.6918318,4859.53,5891,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"서구문화회관",공공용,인천광역시 서구 서달로 190,인천광역시 서구 가정동 430-21,37.51569923,126.6798899,2479.35,3005,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"엘지원당자이아파트",공공용,"인천광역시 서구 원당대로839번길 34 (원당동, 엘지원당자이아파트)",인천광역시 서구 원당동 823-1,37.5949109,126.6985965,16063,19470,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"서해그랑블아파트",공공용,,인천광역시 서구 검암동 595-3,37.56705529,126.6750445,19104,23156,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"현대아파트",공공용,,인천광역시 서구 마전동 1004,37.59866467,126.6747014,4251.26,5144,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"월드메르디앙아파트",공공용,"인천광역시 서구 신석로 71 (석남동, 월드메르디앙아파트)",인천광역시 서구 석남동 446,37.51160233,126.6687306,20298,24604,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"우림필유아파트",공공용,"인천광역시 서구 염곡로 198 (석남동, 우림필유)",인천광역시 서구 석남동 588,37.501921,126.6683601,7904.17,9581,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"경남아너스빌아파트",공공용,"인천광역시 서구 염곡로 172 (석남동, 경남아너스빌아파트)",인천광역시 서구 석남동 593,37.49955233,126.6688865,12585,15255,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"대원레스피아 아파트",공공용,,인천광역시 서구 마전동 127-1,37.61158998,126.6616241,8168.63,9902,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"신현이편한세상 하늘채 아파트",공공용,"인천광역시 서구 가정로 387 (신현동, 신현이편한세상하늘채)",인천광역시 서구 신현동 302-1,37.52167915,126.6727509,140301,170061,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"검단 힐스테이트 1차 아파트",공공용,,인천광역시 서구 마전동 997-3,37.60054433,126.6648852,6696.32,26832,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"중흥S1단지아파트",공공용,"인천광역시 서구 청라라임로 131 (연희동, 중흥에스클래스)",인천광역시 서구 연희동 762-2,37.53871056,126.6526677,36140,43806,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"중흥S2단지아파트",공공용,"인천광역시 서구 청라에메랄드로 113 (연희동, 중흥에스클래스)",인천광역시 서구 연희동 796-13,37.53431086,126.6553899,15577,18881,Y,,032-560-4283,인천광역시 서구청,2021-07-28
"웰카운티아파트",공공용,"인천광역시 서구 청라에메랄드로 156 (연희동, 청라지구17단지웰카운티)",인천광역시 서구 연희동 776-2,37.53871464,126.6579881,25222,30572,Y,,032-560-4283,인천광역시 서구청,2021-07-28
