"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"건영아파트",공공용,인천광역시 연수구 먼우금로 83번길12,인천광역시 연수구 동춘동 938,37.4086523674,126.6670482283,9197,11147,Y,지하주차장,032-749-8873,인천광역시 연수구청,2020-09-24
"국제업무지구역",공공용,인천광역시 연수구 인천타워대로 지하 334,인천광역시 연수구 송도동 78,37.4003040965,126.6301543151,4065,4927,Y,지하역사,032-749-8873,인천광역시 연수구청,2020-09-24
"금호아파트",공공용,인천광역시 연수구 선학로100,인천광역시 연수구 선학동 350,37.4260245929,126.7009333460,2347,2844,Y,지하주차장,032-749-8873,인천광역시 연수구청,2020-09-24
"뉴서울아파트",공공용,인천광역시 연수구 선학로101,인천광역시 연수구 선학동 352,37.4256131888,126.7006837210,3342,4050,Y,지하주차장,032-749-8873,인천광역시 연수구청,2020-09-24
"대동아파트",공공용,인천광역시 연수구 선학로74번길17,인천광역시 연수구 선학동 353,37.4243772,126.7016901,1372,1663,Y,지하주차장,032-749-8873,인천광역시 연수구청,2020-09-24
"대우1차아파트",공공용,인천광역시 연수구 원인재로237,인천광역시 연수구 연수동 579,37.4175743376,126.6873859430,3808,4615,Y,지하주차장,032-749-8873,인천광역시 연수구청,2020-09-24
"대우삼환아파트",공공용,인천광역시 연수구 원인재로88,인천광역시 연수구 동춘동 925-7,37.4064862836,126.6782942624,8463,10258,Y,지하주차장,032-749-8873,인천광역시 연수구청,2020-09-24
"더샵퍼스트월드",공공용,인천광역시 연수구 해돋이로107,인천광역시 연수구 송도동 4-1,37.3925412909,126.6476802812,96695,117206,Y,지하주차장,032-749-8873,인천광역시 연수구청,2020-09-24
"동남아파트",공공용,인천광역시 연수구 새말로21,인천광역시 연수구 연수동 536,37.4237138,126.6742851,6612,8014,Y,지하주차장,032-749-8873,인천광역시 연수구청,2020-09-24
"동막역",공공용,인천광역시 연수구 경원대로 80,인천광역시 연수구 동춘동 927-1,37.39823146,126.6736997,4185,5072,Y,지하역사,032-749-8873,인천광역시 연수구청,2020-09-24
"동보아파트",공공용,인천광역시 연수구 솔샘로120,인천광역시 연수구 청학동 559-1,37.42580756,126.6626484,2532,3069,Y,지하주차장,032-749-8873,인천광역시 연수구청,2020-09-24
"동춘역",공공용,인천광역시 연수구 경원대로 지하 180,인천광역시 연수구 동춘동 926-11,37.4049075930,126.6807470854,4185,5072,Y,지하역사,032-749-8873,인천광역시 연수구청,2020-09-24
"두손(메카오피스텔)",공공용,인천광역시 연수구 먼우금로194,인천광역시 연수구 연수동 597,37.4143340943,126.676985,7422,8996,Y,지하주차장,032-749-8873,인천광역시 연수구청,2020-09-24
