"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"백령면 1호",정부지원,인천광역시 옹진군 백령면 백령로316번길 91 (백령초등학교),인천광역시 옹진군 백령면 진촌리 1047,37.97538375,124.7153333,390,273,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
"백령면 6호",정부지원,인천광역시 옹진군 백령면 백령로316번길 25-31 (백령6호 대피소),인천광역시 옹진군 백령면 진촌리 1063-3,37.97420247,124.713877,166,116,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
"백령면 9호",정부지원,인천광역시 옹진군 백령면 백령로278번길 61-2 (백령9호대피호),인천광역시 옹진군 백령면 진촌리 875,37.97396175,124.7184475,665,465,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
"백령면 13호",정부지원,인천광역시 옹진군 백령면 관창길 74 (마을회관),인천광역시 옹진군 백령면 진촌리 1798-1,37.97735171,124.692677,166,133,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
"백령면 4호",정부지원,인천광역시 옹진군 백령면 백령로 10-2,인천광역시 옹진군 백령면 진촌리 413-25,37.9520067,124.7313104,219,153,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
"백령면 7호",정부지원,인천광역시 옹진군 백령면 백령로278번길 2-8 (구목욕탕),인천광역시 옹진군 백령면 진촌리 695-3,37.97134101,124.7184808,665,465,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
"백령면 11호",정부지원,인천광역시 옹진군 백령면 사곶로122번길 54-53 (백령11호 대피소),인천광역시 옹진군 백령면 진촌리 533-5,37.95467254,124.7169536,248,173,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
"백령면 12호",정부지원,인천광역시 옹진군 백령면 사곶로 139,인천광역시 옹진군 백령면 진촌리 산 40-68,37.95281531,124.7217261,232,162,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
"백령면 3,5호",정부지원,인천광역시 옹진군 백령면 백령남로 8,인천광역시 옹진군 백령면 진촌리 634-1,37.96895908,124.7177217,504,352,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
"백령면 15호",정부지원,인천광역시 옹진군 백령면 백령로 783,인천광역시 옹진군 백령면 북포리 413-7,37.9606618,124.6685298,226,158,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
"백령면 16호",정부지원,인천광역시 옹진군 백령면 백령로 710,인천광역시 옹진군 백령면 북포리 240,37.96384663,124.6750689,215,150,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
"백령면 8호",정부지원,인천광역시 옹진군 백령면 백령로254번길 132,인천광역시 옹진군 백령면 진촌리 825,37.97489758,124.7209151,172,120,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
"백령면 10호",정부지원,인천광역시 옹진군 백령면 백령로297번길 16-1,인천광역시 옹진군 백령면 진촌리 1184-1,37.97085399,124.7151096,354,248,Y,대피소,032-899-3551,인천광역시 옹진군청 백령면,2020-11-19
