"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
LG인천공항에클라트,공공용,인천광역시 중구 공항로424번길 66,인천광역시 중구 운서동 2850-6,37.43858778,126.4616837,6144,7447,Y,지하주차장,032-741-7221,LG인천공항에클라트관리사무소,2021-05-17
"경남아너스빌아파트",공공용,인천광역시 중구 서해대로 439,인천광역시 중구 신흥동2가 50-1,37.46615783,126.632546,4939,5987,Y,지하주차장,032-762-1929,경남아너스빌아파트관리사무소,2021-05-17
"舊동인천 지하상가",공공용,인천광역시 중구 참외전로 131-15,인천광역시 중구 인현동 1-617,37.47509705,126.6322224,112,136,Y,기타,032-440-3732,인천광역시 중구청,2021-05-17
"남경포브아파트",공공용,인천광역시 중구 제물량로 317,인천광역시 중구 송월동2가 2-5,37.4796178,126.6187068,3574,4332,Y,지하주차장,032-761-5866,남경포브아파트관리사무소,2021-05-17
"누리타워아파트",공공용,인천광역시 중구 인중로 96,인천광역시 중구 신흥동2가 50-10,37.46560756,126.6326216,3451,4183,Y,지하주차장,032-765-3443,누리타워아파트관리사무소,2021-05-17
"대림아파트",공공용,인천광역시 중구 인중로 114,인천광역시 중구 신흥동1가 34-2,37.46711051,126.6303371,4457,5402,Y,지하주차장,032-777-8044,대림아파트관리사무소,2021-05-17
"도원지하보도",공공용,인천광역시 중구 참외전로 244,인천광역시 중구 도원동 12-85,37.46860045,126.6416396,780,945,Y,기타,032-760-7455,인천광역시 중구청,2021-05-17
"동원베네스트 영종타운하우스",공공용,인천광역시 중구 신도시북로43번길 27,인천광역시 중구 운서동 2745-1,37.49994493,126.4821253,586,710,Y,지하주차장,032-751-0588,동원 베네스트영종타운하우스관리사무소,2021-05-17
"동인천 지하상가",공공용,인천광역시 중구 참외전로 131-4,인천광역시 중구 인현동 1-109,37.47454614,126.631804,692,839,Y,기타,032-440-3732,인천광역시 중구청,2021-05-17
"민방위교육장",공공용,인천광역시 중구 우현로20번길 46,인천광역시 중구 신생동 25-1,37.46804427,126.628569,733,888,N,교육장,032-760-7818,인천광역시 중구청,2021-05-17
"삼성아파트",공공용,인천광역시 중구 인중로 111,인천광역시 중구 신생동 38-5,37.46515237,126.6299669,1069,1296,Y,지하주차장,032-891-3881,삼성아파트관리소,2021-05-17
"새인천 지하상가",공공용,인천광역시 중구 참외전로 119,인천광역시 중구 인현동 1-1,37.47578846,126.6314616,395,479,Y,기타,032-440-3732,인천광역시 중구청,2021-05-17
"신포 지하상가",공공용,인천광역시 중구 우현로 37-1,인천광역시 중구 신포동 16-1,37.4707349,126.6277296,4945,5994,Y,기타,032-440-3732,인천광역시 중구청,2021-05-17
"신흥아이파크아파트",공공용,인천광역시 중구 인항로 30,인천광역시 중구 신흥동3가 7-235,37.45738846,126.6331699,5267,6384,Y,지하주차장,032-882-0091,신흥아이파크아파트관리사무소,2021-05-17
"연안부두해양광장",공공용,인천광역시 중구 연안부두로 36,인천광역시 중구 항동7가 60-1,37.45549582,126.6018268,6289,7623,Y,지하주차장,032-763-8144,인천광역시중구시설관리공단,2021-05-17
"영종7단지 LH국민임대아파트",공공용,인천광역시 중구 은하수로 465,인천광역시 중구 중산동 1871-5,37.48434276,126.5516311,3105,3764,Y,지하주차장,032-746-9972,영종7단지LH국민임대아파트관리사무소,2021-05-17
"영종금호1차베스트빌아파트",공공용,인천광역시 중구 신도시남로 15,인천광역시 중구 운서동 2787-1,37.49466178,126.485492,5282,6402,Y,지하주차장,032-751-0213,영종금호1차베스트빌아파트관리사무소,2021-05-17
"영종금호2차 베스트빌아파트",공공용,인천광역시 중구 흰바위로 14,인천광역시 중구 운서동 2788-2,37.49102582,126.4864272,5630,6824,Y,지하주차장,032-751-5533,영종금호2차베스트빌아파트관리사무소,2021-05-17
"영종금호어울림1차아파트",공공용,인천광역시 중구 운서4로 18,인천광역시 중구 운서동 2923,37.48143078,126.5088166,1299,1575,Y,지하주차장,032-751-0213,영종금호어울림1차아파트관리사무소,2021-05-17
"영종동보노빌리티 아파트",공공용,인천광역시 중구 하늘달빛로 65,인천광역시 중구 중산동 1872-2,37.48475122,126.5586523,2317,2808,Y,지하주차장,032-751-8812,영종동보노빌리티아파트관리사무소,2021-05-17
"영종스카이리조트",공공용,인천광역시 중구 용유서로 379,인천광역시 중구 을왕동 773,37.45064505,126.3712711,3894,4720,Y,지하주차장,032-745-9000,영종스카이리조트,2021-05-17
"영종우미린 1단지 아파트",공공용,인천광역시 중구 은하수로 351,인천광역시 중구 중산동 1881-1,37.49342821,126.5568191,6653,8064,Y,지하주차장,032-746-2204,영종우미린1단지아파트관리사무소,2021-05-17
"영종우미린 2단지 아파트",공공용,인천광역시 중구 하늘달빛로 113,인천광역시 중구 중산동 1871-3,37.48775622,126.5536854663,5095,6176,Y,지하주차장,032-746-9747,영종우미린2단지아파트관리사무소,2021-05-17
"영종자이아파트",공공용,인천광역시 중구 운남서로 7,인천광역시 중구 운남동 1550,37.48941996,126.5291796,4047,4905,Y,지하주차장,032-751-0041,영종자이아파트관리사무소,2021-05-17
"영종한라비발디 아파트",공공용,인천광역시 중구 하늘별빛로 86,인천광역시 중구 중산동 1887-1,37.4926296,126.563509,5405,6552,Y,지하주차장,032-747-0766,영종한라비발디아파트관리사무소,2021-05-17
"영종한양수자인 아파트",공공용,인천광역시 중구 은하수로 377,인천광역시 중구 중산동 1878-1,37.49314334,126.5553395,5164,6259,Y,지하주차장,032-746-8809,영종한양수자인아파트관리사무소,2021-05-17
"영종힐스테이트 아파트",공공용,인천광역시 중구 하늘별빛로 66,인천광역시 중구 중산동 1887-2,37.48976877,126.566158,6447,7815,Y,지하주차장,032-752-5692,영종힐스테이트아파트관리사무소,2021-05-17
"월드게이트",공공용,인천광역시 중구 공항로424번길 50,인천광역시 중구 운서동 2850-3,37.43912619,126.460116,6169,7478,Y,지하주차장,032-743-0638,월드베이트관리사무소,2021-05-17
"인천국제공항 제1여객터미널",공공용,인천광역시 중구 공항로 271,인천광역시 중구 운서동 2851,37.44763344,126.4527646,68722,83299,Y,지하주차장,032-741-5977,인천국제공항공사,2021-05-17
"인천국제공항 제2여객터미널",공공용,인천광역시 중구 제2터미널대로 446,인천광역시 중구 운서동 2868,37.47840281,126.4250079,48288,58531,Y,지하주차장,032-741-5977,인천국제공항공사,2021-05-17
"인천보건환경연구원",공공용,인천광역시 중구 서해대로 471,인천광역시 중구 신흥동2가 18-4,37.4683036,126.6350026,1499,1817,Y,지하주차장,032-440-5420,인천보건환경연구원,2021-05-17
"인천역(수인선)",공공용,인천광역시 중구 제물량로 269,인천광역시 중구 선린동 58-1,37.47642686,126.6175812,6900,8364,Y,기타,032-772-0784,인천역,2021-05-17
"인천중구문화회관",공공용,인천광역시 중구 축항대로296번길 81,인천광역시 중구 신흥동3가 69-20,37.44038256,126.6290448,600,727,Y,지하주차장,032-763-8144,인천광역시중구시설관리공단,2021-05-17
"인하대병원",공공용,인천광역시 중구 인항로 27,인천광역시 중구 신흥동3가 7-206,37.45885479,126.6341664,7843,9507,Y,지하주차장,032-890-2875,인하대병원,2021-05-17
"인현 지하상가",공공용,인천광역시 중구 참외전로 114,인천광역시 중구 인현동 8-4,37.4761239,126.6306813,726,880,Y,기타,032-440-3732,인천광역시 중구청,2021-05-17
"중구청 대피호",공공용,인천광역시 중구 신포로27번길 80,인천광역시 중구 관동1가 9-1,37.47343524,126.6216916,571,692,N,"회의, 교육",032-760-7155,인천광역시 중구청,2021-05-17
"중구청 지하 주차장",공공용,인천광역시 중구 신포로27번길 80,인천광역시 중구 관동1가 9-1,37.47347079,126.6215388,1253,1519,Y,지하주차장,032-760-7811,인천광역시 중구청,2021-05-17
"중앙로 지하상가",공공용,인천광역시 중구 우현로87번길 2,인천광역시 중구 인현동 20-11,37.47416941,126.6301836,1228,1488,Y,기타,032-440-3732,인천광역시 중구청,2021-05-17
"풍림8단지아파트",공공용,인천광역시 중구 흰바위로 13,인천광역시 중구 운서동 2787-2,37.49343379,126.4864389,1322,1602,Y,지하주차장,032-746-4497,풍림8단지아파트관리사무소,2021-05-17
"풍림아파트",공공용,인천광역시 중구 인중로 109,인천광역시 중구 신흥동1가 34-8,37.46516924,126.6319065,2725,3303,Y,지하주차장,032-884-9316,풍림아파트관리사무소,2021-05-17
"하버파크호텔",공공용,인천광역시 중구 제물량로 217,인천광역시 중구 항동3가 5,37.4721353,126.6195509,3269,3962,Y,지하주차장,032-770-9615,하버파크호텔,2021-05-17
"한별프라이빌아파트",공공용,인천광역시 중구 인중로63번길 28,인천광역시 중구 신흥동3가 7-9,37.46332126,126.6345154,775,939,Y,지하주차장,032-891-2646,한별프라이빌아파트관리사무소,2021-05-17
"한중문화관",공공용,인천광역시 중구 제물량로 238,인천광역시 중구 항동1가 1-2,37.4735399,126.6187688,1324,1605,Y,지하주차장,032-760-7865,한중문화관,2021-05-17
