"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"강진의료원",공공용,전라남도 강진군 강진읍 탐진로 5,전라남도 강진군 강진읍 서성리 305번지 26호,34.6372553,126.757457,697.52,845,Y,식당,061-430-1332,강진의료원,2021-02-08
"청자마트",공공용,전라남도 강진군 강진읍 평동2길 30,전라남도 강진군 강진읍 평동리 175번지 6호,34.63803187,126.7680318,1258.02,1525,Y,주차장,061-434-3900,㈜해강,2021-02-08
KT강진지점,공공용,전라남도 강진군 강진읍 영랑로 8-0,전라남도 강진군 강진읍 남성리 23번지 5호,34.381234,126.461268,827.82,1003,Y,창고,061-430-0073,KT강진지점,2021-02-08
"강진경찰서",공공용,전라남도 강진군 강진읍 탐진로 119 (강진경찰서),전라남도 강진군 강진읍 남성리 129번지 2호,34.6421989,126.7680428,273.84,332,Y,창고,061-430-7335,강진경찰서,2021-02-08
"한국전력공사강진지사",공공용,전라남도 강진군 강진읍 목리길 50-0,전라남도 강진군 강진읍 동성리 123번지,34.380624,126.464095,542.97,658,Y,창고,061-430-2255,한국전력공사강진지사,2021-02-08
"신강진전력소",공공용,전라남도 강진군 성전면 무위사로 110-0,전라남도 강진군 성전면 월하리 216번지 7호,34.433333,126.420391,209.8,254,Y,창고,061-430-2312,신강진전력소,2021-02-08
"씨엔에스2차아파트",공공용,전라남도 강진군 강진읍 탐진로 60,전라남도 강진군 강진읍 서성리 97번지,34.6380397,126.7638628,1222.64,1482,Y,주차장,,씨엔에스2차아파트,2021-02-08
"강진군청",공공용,전라남도 강진군 강진읍 탐진로 111-0,전라남도 강진군 강진읍 남성리 108번지 1호,34.383149,126.460183,436,528,Y,식당,061-430-3385,강진군청,2021-02-08
"대아아파트",공공용,전라남도 강진군 강진읍 중앙동길 6-0,전라남도 강진군 강진읍 평동리 244번지 1호,34.380761,126.455649,99.17,120,Y,주차장,061-430-8646,대아아파트,2021-02-08
"강진교육지원청",공공용,전라남도 강진군 강진읍 금릉6길 8-0,전라남도 강진군 강진읍 평동리 4번지,34.380771,126.461302,82.65,100,Y,창고,061-430-1505,강진교육지원청,2021-02-08
"건우1차아파트",공공용,전라남도 강진군 강진읍 고성길 3,전라남도 강진군 강진읍 서성리 67번지 1호,34.6374496,126.7619367,99.17,120,Y,주차장,,건우1차아파트,2021-02-08
"금산주상복합빌딩",공공용,전라남도 강진군 강진읍 영랑로1길 31,전라남도 강진군 강진읍 남성리 25번지 7호,34.6388896,126.7719571,297.52,361,Y,주차장,,금산주상복합빌딩,2021-02-08
"금호아파트",공공용,전라남도 강진군 강진읍 평동2길 31-0,전라남도 강진군 강진읍 평동리 231번지 2호,34.381529,126.460207,1322.32,1603,Y,주차장,061-433-9735,금호아파트,2021-02-08
"씨엔에스3차아파트",공공용,전라남도 강진군 강진읍 서문길 29-9,전라남도 강진군 강진읍 서성리 234번지,34.6401437,126.7627921,3884,4708,Y,주차장,061-432-8181,씨엔에스3차아파트,2021-02-08
"금호상가",공공용,전라남도 강진군 강진읍 중앙로 88 (금호상가),전라남도 강진군 강진읍 평동리 231번지,34.6379761,126.7671891,1081,1310,Y,주차장,,(유)백산,2021-02-08
"제일교회",공공용,전라남도 강진군 강진읍 중앙로 81,전라남도 강진군 강진읍 서성리 146번지 10호,34.6381655,126.7664021,165.29,200,Y,창고,061-434-0675,제일교회,2021-02-08
"에덴교회",공공용,전라남도 강진군 강진읍 삼일로 43-0,전라남도 강진군 강진읍 서성리 63번지 5호,34.381027,126.454595,330.58,401,Y,창고,061-434-3376,에덴교회,2021-02-08
"강진읍교회",공공용,전라남도 강진군 강진읍 연지길 12,전라남도 강진군 강진읍 남성리 41번지 2호,34.6399949,126.7683972,608.27,737,Y,창고,061-433-8001,강진읍교회,2021-02-08
"제일맨션",공공용,전라남도 강진군 강진읍 신성길 31,전라남도 강진군 강진읍 서성리 146번지 8호,34.637976,126.7661148,363.64,441,Y,창고,061-434-2387,제일맨션,2021-02-08
"계산교회",공공용,전라남도 강진군 군동면 군동계산길 10,전라남도 강진군 군동면 호계리 705번지,34.6455302,126.7869662,310.75,377,Y,창고,061-434-3204,계산교회,2021-02-08
"한국농어촌공사강진완도지사",공공용,전라남도 강진군 강진읍 초지길 24-0,전라남도 강진군 강진읍 평동리 15번지 9호,34.380649,126.462348,102.95,125,Y,창고,061-430-7723,한국농어촌공사강진완도지사,2021-02-08
"강진등기소",공공용,전라남도 강진군 강진읍 중앙로 212 (강진군법원등기소),전라남도 강진군 강진읍 동성리 19번지 4호,34.6417401,126.779333,105.84,128,Y,창고,,강진등기소,2021-02-08
"강진아트홀",공공용,전라남도 강진군 강진읍 영랑로1길 9,전라남도 강진군 강진읍 남성리 23번지 2호,34.638136,126.7705351,2746,3328,Y,주차장,061-430-3972,강진아트홀,2021-02-08
