"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"고흥군청",공공용,전라남도 고흥군 고흥읍 흥양길 40,전라남도 고흥군 고흥읍 옥하리 200,34.6107654853,127.2852563739,363.27,440,Y,지하식당,061-830-5268,고흥군,2020-09-29
KT고흥지점,정부지원,전라남도 고흥군 고흥읍 여산당촌길 8,전라남도 고흥군 고흥읍 서문리 219,34.6077990433,127.2823072390,181.64,220,Y,창고,061-832-0007,KT고흥지점,2020-09-29
"고흥교육청",공공용,전라남도 고흥군 고흥읍 백련장전길 36,전라남도 고흥군 고흥읍 등암리 326,34.5974365891,127.2776571707,188.24,228,Y,창고,061-830-2000,고흥교육청,2020-09-29
"고흥우체국",공공용,전라남도 고흥군 고흥읍 봉황길 5,전라남도 고흥군 고흥읍 옥하리 205,34.6103060536,127.2847414970,85.86,104,Y,창고,061-830-2332,고흥우체국,2020-09-29
"고흥종합병원",공공용,전라남도 고흥군 고흥읍 고흥로 1935,전라남도 고흥군 고흥읍 남계리 186,34.6216911672,127.2942499107,990.75,1200,Y,식당 등,061-835-6000,고흥종합병원,2020-09-29
"고흥경찰서",공공용,전라남도 고흥군 고흥읍 흥양길 42,전라남도 고흥군 고흥읍 옥하리 292,34.6112057630,127.2841680206,165.13,200,Y,체력단련장,061-830-0224,고흥경찰서,2020-09-29
"고흥우회배수로",정부지원,전라남도 고흥군 고흥읍 고흥로 1723,전라남도 고흥군 고흥읍 남계리 920-5,34.6069244053,127.2831513949,6226,7546,Y,군수,061-830-5268,고흥군,2020-09-29
"아리랑뷔페",정부지원,전라남도 고흥군 고흥읍 백련장전길 21,전라남도 고흥군 고흥읍 등암리 349,34.5978811962,127.2783223162,165.13,200,Y,식당,061-835-8833,아리랑뷔페,2020-09-29
"고흥동초등학교",공공용,전라남도 고흥군 고흥읍 학교길 56,전라남도 고흥군 고흥읍 호형리 1287,34.6081684559,127.2913551035,1669,2023,Y,체육관,061-834-2244,고흥동초등학교,2020-09-29
"고흥중학교",공공용,전라남도 고흥군 고흥읍 고흥로 1847,전라남도 고흥군 고흥읍 남계리 238,34.6148095690,127.2890617643,734.4,889,Y,체육관,061-835-3958,고흥중학교,2020-09-29
"고흥여중학교",공공용,전라남도 고흥군 고흥읍 흥양길 2,전라남도 고흥군 고흥읍 남계리 429,34.6102085822,127.2885890976,666,806,Y,체육관,061-835-3947,고흥여중학교,2020-09-29
"고흥고등학교",공공용,전라남도 고흥군 고흥읍 학교길 5,전라남도 고흥군 고흥읍 호형리 1259-4,34.6063606333,127.2945046828,1404,1699,Y,체육관,061-830-1750,고흥고등학교,2020-09-29
"고흥산업과학고등학교",공공용,전라남도 고흥군 고흥읍 고흥로 1637-13,전라남도 고흥군 고흥읍 등암리 216,34.6025383309,127.2752090288,516.8,625,Y,체육관,061-835-1006,고흥산업과학고등학교,2020-09-29
"도양우회배수로",정부지원,전라남도 고흥군 도양읍 천마로 20,전라남도 고흥군 도양읍 봉암리 1605-8,34.5363170238,127.1385534488,6148,7452,Y,우회배수로,061-830-5268,고흥군,2020-09-29
"녹동고등학교",공공용,전라남도 고흥군 도양읍 비봉뚝길 108,전라남도 고흥군 도양읍 용정리 1315-1,34.5388242875,127.1421118397,1359,1644,Y,체육관,061-842-0184,녹동고등학교,2020-09-29
"녹동중학교",공공용,전라남도 고흥군 도양읍 비봉로 60,전라남도 고흥군 도양읍 봉암리 1824,34.5356345544,127.1366963468,821.5,993,Y,체육관,061-844-4005,녹동중학교,2020-09-29
"녹동초등학교",공공용,전라남도 고흥군 도양읍 천마로 83,전라남도 고흥군 도양읍 봉암리 1547-1,34.5295774202,127.1398098271,752,910,Y,체육관,061-842-2981,녹동초등학교,2020-09-29
