"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"곡성경찰서 지하대피소(발전기실)",공공용,전라남도 곡성군 곡성읍 중앙로 161,전라남도 곡성군 곡성읍 읍내리 162-2,35.2838522742,127.2990289108,248,301,Y,경찰서,061-360-6321,곡성경찰서,2020-11-18
"곡성교육지원청 지하대피소(휴게실)",공공용,전라남도 곡성군 곡성읍 군청로 13,전라남도 곡성군 곡성읍 읍내리 310-4,35.27941365,127.2927231,66,80,Y,교육지원청,061-360-6667,곡성교육지원청,2020-11-18
KT곡성지점 지하대피소(사무실),공공용,전라남도 곡성군 곡성읍 학교로 114,전라남도 곡성군 곡성읍 읍내리 710-1,35.2832326,127.2921119,390,473,Y,KT,061-362-0200,KT곡성지점,2020-11-18
"도림아파트 지하대피소",공공용,전라남도 곡성군 곡성읍 삼인동길 15 (시온음악학원),전라남도 곡성군 곡성읍 학정리 535-5,35.284446,127.2905519,681,825,Y,아파트,061-362-5929,도림아파트,2020-11-18
"고운아파트 지하대피소",공공용,전라남도 곡성군 곡성읍 읍내2길 13 (곡성고운아파트),전라남도 곡성군 곡성읍 읍내리 788-6,35.2783246290,127.2922103828,631,765,Y,아파트,,고운아파트,2020-11-18
"한양파크빌 지하대피소",공공용,전라남도 곡성군 옥과면 대학로 142,전라남도 곡성군 옥과면 리문리 224-2,35.2758363506,127.1353248243,777,942,Y,아파트,061-363-4514,한양파크빌,2020-11-18
"곡성사랑병원 지하대피소",공공용,전라남도 곡성군 옥과면 대학로 113,전라남도 곡성군 옥과면 옥과리 285,35.2774377,127.1328147108,722,875,Y,병원,061-360-6071,곡성사랑병원,2020-11-18
"한국도로공사곡성영업소 지하대피소(보일러/발전기실)",공공용,전라남도 곡성군 옥과면 대학로 113,전라남도 곡성군 옥과면 옥과리 285,35.2774377,127.1328147108,120,145,Y,도로공사,061-363-6818,한국도로공사,2020-11-18
"옥과농협 지하대피소",공공용,전라남도 곡성군 옥과면 죽림2길 45 (성암맨션),전라남도 곡성군 옥과면 죽림리 101-1,35.2755692,127.1411387655,489,593,Y,농협,061-362-5105,옥과농협,2020-11-18
"전남과학대학교 도서관 지하대피소(식당)",공공용,전라남도 곡성군 삼기면 호남고속도로 42,전라남도 곡성군 삼기면 괴소리 262-1,35.22742394,127.2254958,364,441,Y,대학교,061-360-5039,전남과학대학교,2020-11-18
"전남과학대학교 우암관 지하대피소",공공용,전라남도 곡성군 곡성읍 곡성로 761,전라남도 곡성군 곡성읍 죽동리 39-5,35.2762788027,127.2879496032,202,245,Y,대학교,061-360-5039,전남과학대학교,2020-11-18
"성암맨션 지하대피소(주차장)",공공용,전라남도 곡성군 곡성읍 삼인동길 21 (곡성한양파크빌),전라남도 곡성군 곡성읍 학정리 535-1,35.2847202,127.2899475,2020,2448,Y,아파트,061-363-0830,성암맨션,2020-11-18
"한국도로공사옥과영업소 지하대피소(보일러/발전기실)",공공용,전라남도 곡성군 입면 금호길 85-63,전라남도 곡성군 입면 서봉리 145,35.3123709937,127.2050388051,120,145,Y,도로공사,061-362-1381,한국도로공사,2020-11-18
"금호타이어㈜곡성공장 본관 지하대피소",공공용,전라남도 곡성군 입면 금호길 85-63,전라남도 곡성군 입면 서봉리 145,35.3123709937,127.2050388051,407,493,Y,공장,061-360-3122,금호타이어㈜,2020-11-18
"금호타이어㈜곡성공장 별관(식당) 지하대피소",공공용,전라남도 곡성군 입면 송전로 9-6 (금호사원임대아파트),전라남도 곡성군 입면 송전리 1049-7,35.3054909942,127.1851579563,790,958,Y,공장,061-360-3122,금호타이어㈜,2020-11-18
"금호사원아파트 지하대피소",공공용,전라남도 곡성군 오산면 호남고속도로 54,전라남도 곡성군 오산면 연화리 1008-5,35.26097095,127.1165396,223,270,Y,아파트,061-360-3122,금호타이어㈜,2020-11-18
