"민방위대피시설명",민방위대피시설구분,소재지도로명주소,소재지지번주소,위도,경도,민방위대피시설면적,대피가능인원수,개방여부,평시활용유형,관리기관전화번호,관리기관명,데이터기준일자
"자유구역청",공공용,전라남도 광양시 광양읍 인덕로 1100,,34.9809767437,127.5836229844,188.43,228,Y,청사,061-797-4909,광양시청(광양읍사무소),2020-09-28
"광양시청",공공용,전라남도 광양시 시청로 33 (중동),,34.94063056,127.6959675,3100,3757,Y,시청,061-797-3503,광양시청(중마동사무소),2020-09-28
"무등파크 지하주차장",공공용,전라남도 광양시 중마로 230 (중동),,34.9455157,127.6896947,3224,3907,Y,주차장,061-797-3503,광양시청(중마동사무소),2020-09-28
"성호1차아파트 지하주차장",공공용,전라남도 광양시 광장로 112-20 (중동),,34.93367511,127.6966793,17126,20758,Y,주차장,061-797-3503,광양시청(중마동사무소),2020-09-28
"태영2차아파트 지하주차장",공공용,전라남도 광양시 광장로 120 (중동),,34.93439458,127.6957047,8118,9840,Y,주차장,061-797-3503,광양시청(중마동사무소),2020-09-28
"금광아파트 지하주차장",공공용,전라남도 광양시 공영로 10 (중동),,34.93457018,127.6902029,1047,1269,Y,주차장,061-797-3503,광양시청(중마동사무소),2020-09-28
"백운메디컬센터",공공용,전라남도 광양시 백운로 1638-11 (금호동),,34.93243091,127.7256819,1024.8,1242,N,기계실,061-797-4872,광양시청(금호동사무소),2020-09-28
"백운생활관 3동",공공용,전라남도 광양시 희망1길 31 (금호동),,34.93438785,127.7300335,231.41,280,N,기계실,061-797-4872,광양시청(금호동사무소),2020-09-28
"백운쇼핑센터",공공용,전라남도 광양시 폭포사랑길 99 (금호동),,34.9402183,127.7319554,945.46,1146,N,기계실,061-797-4872,광양시청(금호동사무소),2020-09-28
"목우상가B",공공용,전라남도 광양시 광포로 72 (광영동),,34.96440147,127.7200774,317.85,385,N,기계실,061-797-4858,광양시청(광영동사무소),2020-09-28
"상아아파트 가동 지하",공공용,전라남도 광양시 금영로 182 (광영동),,34.966424,127.7182731,904.68,1096,Y,주차장,061-797-4858,광양시청(광영동사무소),2020-09-28
"현대아파트 104동 지하",공공용,전라남도 광양시 광영로 141 (광영동),,34.96545453,127.7157637,572.04,693,N,기계실,061-797-4858,광양시청(광영동사무소),2020-09-28
"현대아파트 108동 지하",공공용,전라남도 광양시 광영로 141 (광영동),,34.96545453,127.7157637,572.04,693,N,기계실,061-797-4858,광양시청(광영동사무소),2020-09-28
"현대아파트 109동 지하",공공용,전라남도 광양시 광영로 141 (광영동),,34.96545453,127.7157637,572.64,462,N,기계실,061-797-4858,광양시청(광영동사무소),2020-09-28
"현대아파트 110동 지하",공공용,전라남도 광양시 광영로 141 (광영동),,34.96545453,127.7157637,381.36,619,N,기계실,061-797-4858,광양시청(광영동사무소),2020-09-28
"현대아파트 101동 지하",공공용,전라남도 광양시 광영로 141 (광영동),,34.96545453,127.7157637,511.32,413,N,기계실,061-797-4858,광양시청(광영동사무소),2020-09-28
"현대아파트 102동 지하",공공용,전라남도 광양시 광영로 141 (광영동),,34.96545453,127.7157637,340.88,825,N,기계실,061-797-4858,광양시청(광영동사무소),2020-09-28
"현대아파트 103동 지하",공공용,전라남도 광양시 광영로 141 (광영동),,34.96545453,127.7157637,680.99,693,N,기계실,061-797-4858,광양시청(광영동사무소),2020-09-28
"현대아파트 105동 지하",공공용,전라남도 광양시 광영로 141 (광영동),,34.96545453,127.7157637,572.04,693,N,기계실,061-797-4858,광양시청(광영동사무소),2020-09-28
